icl_example_index,token_role,layer,feature_dim,target_dim,best_alpha,cv_mse,alpha_pinned,train_sample_count,test_sample_count,train_mse,test_mse,train_mean_squared_l2,test_mean_squared_l2
1,pre_label_token,0,4096,4096,0.1,0.18488897383213043,True,3400,1190,0.16686232388019562,0.2090066765536781,683.4680786132812,856.0913668592437
1,pre_label_token,1,4096,4096,31622.776601683792,0.14401869475841522,False,3400,1190,0.06890260428190231,0.19163258015608586,282.22509765625,784.9270548844538
1,pre_label_token,2,4096,4096,10000.0,0.1373656690120697,False,3400,1190,0.04702076315879822,0.1929897067927513,192.5970458984375,790.4858455882353
1,pre_label_token,3,4096,4096,10000.0,0.1330910176038742,False,3400,1190,0.04412664845585823,0.19333264326848904,180.7427520751953,791.890493697479
1,pre_label_token,4,4096,4096,31622.776601683792,0.12904883921146393,False,3400,1190,0.048124879598617554,0.1868710012996898,197.11949157714844,765.4235950630252
1,pre_label_token,5,4096,4096,10000.0,0.1271827071905136,False,3400,1190,0.03999408334493637,0.19324613458970014,163.81576538085938,791.5361541491596
1,pre_label_token,6,4096,4096,10000.0,0.12718699872493744,False,3400,1190,0.04026015102863312,0.1935335976736886,164.90557861328125,792.7136226365546
1,pre_label_token,7,4096,4096,10000.0,0.1278447061777115,False,3400,1190,0.04033198207616806,0.1930602883090492,165.19979858398438,790.7749409138655
1,pre_label_token,8,4096,4096,10000.0,0.12751734256744385,False,3400,1190,0.04015429690480232,0.1921912602015904,164.4720001220703,787.2154017857143
1,pre_label_token,9,4096,4096,31622.776601683792,0.12705394625663757,False,3400,1190,0.04581668600440025,0.186168451068782,187.6651611328125,762.5459821428572
1,pre_label_token,10,4096,4096,31622.776601683792,0.1257239282131195,False,3400,1190,0.04444120451807976,0.18755284397541977,182.0311737060547,768.2164587710084
1,pre_label_token,11,4096,4096,31622.776601683792,0.12486337870359421,False,3400,1190,0.04436466842889786,0.18799564618022502,181.71768188476562,770.0301667542017
1,pre_label_token,12,4096,4096,31622.776601683792,0.12517328560352325,False,3400,1190,0.043966617435216904,0.1881425328615333,180.08726501464844,770.6318342962185
1,pre_label_token,13,4096,4096,31622.776601683792,0.12619151175022125,False,3400,1190,0.04438379406929016,0.1881713514568425,181.7960205078125,770.7498424369747
1,pre_label_token,14,4096,4096,31622.776601683792,0.12667103111743927,False,3400,1190,0.045024268329143524,0.18781628488492566,184.4193878173828,769.2955028886555
1,pre_label_token,15,4096,4096,31622.776601683792,0.12710395455360413,False,3400,1190,0.045253168791532516,0.18796649419960856,185.35696411132812,769.9107602415967
1,pre_label_token,16,4096,4096,31622.776601683792,0.12847550213336945,False,3400,1190,0.045721713453531265,0.18753281120492632,187.27613830566406,768.1344143907563
1,pre_label_token,17,4096,4096,10000.0,0.12807287275791168,False,3400,1190,0.035526931285858154,0.1930915576069295,145.518310546875,790.9030133928571
1,pre_label_token,18,4096,4096,10000.0,0.12787450850009918,False,3400,1190,0.03532164916396141,0.19339047119397076,144.67747497558594,792.1273700105043
1,pre_label_token,19,4096,4096,10000.0,0.1284872442483902,False,3400,1190,0.03522081300616264,0.19315461711723264,144.2644500732422,791.1612788865547
1,pre_label_token,20,4096,4096,10000.0,0.12899364531040192,False,3400,1190,0.03502508997917175,0.1933442284079159,143.4627685546875,791.9379792542017
1,pre_label_token,21,4096,4096,10000.0,0.12974277138710022,False,3400,1190,0.03526795282959938,0.19308516237916065,144.45753479003906,790.8768448004201
1,pre_label_token,22,4096,4096,10000.0,0.12939037382602692,False,3400,1190,0.03544943034648895,0.19322226067551043,145.20086669921875,791.438405987395
1,pre_label_token,23,4096,4096,10000.0,0.13005055487155914,False,3400,1190,0.035795241594314575,0.19159411582626215,146.61732482910156,784.7695115546219
1,pre_label_token,24,4096,4096,10000.0,0.1292574256658554,False,3400,1190,0.034826554358005524,0.19253542443283467,142.64956665039062,788.6250919117647
1,pre_label_token,25,4096,4096,10000.0,0.12860502302646637,False,3400,1190,0.03442991524934769,0.19478043147495816,141.02493286132812,797.8206407563025
1,pre_label_token,26,4096,4096,10000.0,0.12830889225006104,False,3400,1190,0.03424448519945145,0.19456986499433757,140.26541137695312,796.9581867121849
