condition,mean_acc
baseline,0.0
c0_u0,0.0
c0_u1,0.0007
c0_u2,0.0338
c0_u4,0.1145
c0_u8,0.1295
c1_u0,0.0
c1_u1,0.0125
c1_u2,0.2132
c1_u4,0.3782
c1_u8,0.2784
c2_u0,0.0016
c2_u1,0.0482
c2_u2,0.3464
c2_u4,0.4977
c2_u8,0.3949
c4_u0,0.0562
c4_u1,0.1393
c4_u2,0.3563
c4_u4,0.5349
c4_u8,0.5096
c8_u0,0.0633
c8_u1,0.1007
c8_u2,0.1499
c8_u4,0.3565
c8_u8,0.5309
