task,group,baseline,c0_u0,c0_u1,c0_u2,c0_u4,c0_u8,c1_u0,c1_u1,c1_u2,c1_u4,c1_u8,c2_u0,c2_u1,c2_u2,c2_u4,c2_u8,c4_u0,c4_u1,c4_u2,c4_u4,c4_u8,c8_u0,c8_u1,c8_u2,c8_u4,c8_u8
adjective_to_adverb,train,0.0,0.0,0.0,0.0067,0.04,0.06,0.0,0.0,0.1667,0.3467,0.2867,0.0,0.02,0.5133,0.6933,0.5333,0.0067,0.0133,0.4333,0.7867,0.7333,0.0,0.02,0.0133,0.2733,0.7333
adjective_to_noun,train,0.0,0.0,0.0,0.0,0.0867,0.2467,0.0,0.0133,0.0933,0.3933,0.44,0.0067,0.06,0.2467,0.4733,0.5267,0.2333,0.3533,0.42,0.4333,0.5,0.2067,0.28,0.26,0.34,0.3933
ag_news,heldout,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.0,0.0267,0.1867,0.1867,0.0,0.0,0.0333,0.1867,0.1467,0.0,0.0,0.0,0.1867,0.2133,0.0,0.0,0.0,0.04,0.1867
agent_noun_to_verb,train,0.0,0.0,0.0,0.0067,0.0867,0.26,0.0,0.0067,0.02,0.42,0.5533,0.0067,0.04,0.2867,0.5733,0.6467,0.1467,0.3133,0.5067,0.68,0.68,0.16,0.2533,0.3467,0.4667,0.56
animal_class,train,0.0,0.0,0.0,0.06,0.1267,0.06,0.0,0.0467,0.48,0.3667,0.1267,0.0,0.0867,0.4467,0.52,0.14,0.0067,0.1667,0.44,0.5133,0.38,0.0067,0.08,0.1333,0.4267,0.4467
animal_plant_object,train,0.0,0.0,0.0,0.0067,0.1,0.0733,0.0,0.0,0.1133,0.3533,0.1733,0.0,0.0067,0.1333,0.3733,0.1867,0.0,0.0333,0.16,0.36,0.36,0.0067,0.0133,0.0067,0.2267,0.3533
antonym,train,0.0,0.0,0.0,0.0,0.0267,0.1867,0.0,0.0,0.0067,0.2867,0.28,0.0,0.0,0.0533,0.3467,0.36,0.0067,0.02,0.0933,0.2733,0.3533,0.0,0.0133,0.02,0.06,0.22
article_choice,train,0.0,0.0,0.0,0.0067,0.1133,0.12,0.0,0.0,0.04,0.2667,0.3,0.0,0.0,0.0133,0.3533,0.3333,0.0,0.0,0.0867,0.3133,0.32,0.0,0.0,0.0133,0.18,0.3733
capitalize,train,0.0,0.0,0.0,0.02,0.22,0.3133,0.0,0.0333,0.3,0.6733,0.6,0.0,0.1867,0.7067,0.8267,0.8067,0.0133,0.12,0.7467,0.9,0.9067,0.0067,0.0067,0.1133,0.7067,0.94
capitalize_first_letter,train,0.0,0.0,0.0,0.0133,0.1267,0.0533,0.0,0.0,0.2067,0.4333,0.16,0.0,0.0267,0.48,0.72,0.4933,0.0,0.0467,0.4933,0.7667,0.7133,0.0,0.0067,0.0733,0.4733,0.7733
