task,group,baseline,c0_u0,c0_u1,c0_u2,c0_u4,c0_u8,c1_u0,c1_u1,c1_u2,c1_u4,c1_u8,c2_u0,c2_u1,c2_u2,c2_u4,c2_u8,c4_u0,c4_u1,c4_u2,c4_u4,c4_u8,c8_u0,c8_u1,c8_u2,c8_u4,c8_u8
city-country,train,0.0,0.0,0.0,0.0933,0.1333,0.0267,0.0,0.02,0.5133,0.4733,0.1533,0.0067,0.1133,0.64,0.66,0.3933,0.0267,0.42,0.6133,0.7133,0.66,0.0733,0.16,0.3133,0.62,0.7333
compound_first,train,0.0,0.0,0.0,0.0,0.0467,0.1667,0.0,0.02,0.0467,0.3067,0.3467,0.0133,0.0467,0.2067,0.5,0.4333,0.1933,0.2667,0.4267,0.5733,0.6267,0.18,0.2467,0.3133,0.3,0.6133
concrete_abstract,train,0.0,0.0,0.0,0.0133,0.0667,0.1067,0.0,0.0,0.1133,0.2267,0.16,0.0,0.0,0.1867,0.2133,0.18,0.0,0.0067,0.0733,0.3067,0.2533,0.0,0.0,0.0,0.1,0.2467
contains_letter_e,train,0.0,0.0,0.0,0.1133,0.2,0.0733,0.0,0.0,0.2,0.32,0.1933,0.0,0.0067,0.2533,0.3333,0.2733,0.0,0.0067,0.12,0.36,0.3867,0.0,0.0067,0.0,0.1733,0.4133
country-capital,train,0.0,0.0,0.0067,0.36,0.4333,0.1933,0.0,0.2133,0.6933,0.7067,0.5867,0.0,0.1333,0.6733,0.7267,0.6867,0.0067,0.0733,0.6333,0.68,0.7533,0.0133,0.04,0.1667,0.64,0.76
day_after_textual_date,train,0.0,0.0,0.0,0.0267,0.0,0.0,0.0,0.0,0.06,0.04,0.0,0.0,0.0,0.0933,0.0933,0.0,0.0,0.0,0.0467,0.2733,0.0467,0.0,0.0,0.0067,0.0667,0.1533
ends_with_ing,heldout,0.0,0.0,0.0,0.0467,0.1867,0.12,0.0,0.0133,0.2533,0.3533,0.2533,0.0,0.0,0.1933,0.38,0.3,0.0,0.0067,0.1133,0.4133,0.38,0.0,0.0,0.0133,0.1933,0.3467
english-french,heldout,0.0,0.0,0.0067,0.0,0.0067,0.0,0.0,0.0067,0.2133,0.4867,0.0467,0.0,0.0267,0.3933,0.5133,0.38,0.0067,0.0133,0.3,0.5533,0.5533,0.0,0.0,0.0067,0.24,0.52
english-italian,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.38,0.0667,0.0,0.0133,0.4333,0.5867,0.4,0.0,0.0,0.24,0.5333,0.5467,0.0,0.0,0.0,0.1467,0.5667
english-portuguese,train,0.0,0.0,0.0,0.0,0.0267,0.0,0.0,0.0,0.2467,0.4533,0.1,0.0,0.02,0.4867,0.5333,0.4533,0.0,0.0267,0.32,0.5733,0.62,0.0,0.0,0.0,0.2933,0.6067
english-spanish,train,0.0,0.0,0.0,0.0067,0.0,0.0,0.0,0.0,0.1133,0.3467,0.0333,0.0,0.0067,0.4267,0.56,0.4267,0.0,0.0067,0.36,0.5467,0.62,0.0,0.0,0.0133,0.2,0.5933
first_digit,heldout,0.0,0.0,0.0,0.02,0.0733,0.1,0.0,0.0,0.1,0.2733,0.18,0.0,0.0067,0.1467,0.5667,0.3467,0.0,0.02,0.3133,0.6867,0.6533,0.0133,0.0733,0.16,0.4867,0.6267
first_three_letters,train,0.0,0.0,0.0,0.0067,0.0267,0.06,0.0,0.0,0.1467,0.3,0.26,0.0,0.0333,0.1533,0.3733,0.34,0.0133,0.0933,0.2867,0.38,0.4133,0.02,0.0267,0.0733,0.26,0.3667
french-english,heldout,0.0,0.0,0.0,0.0067,0.0267,0.0933,0.0,0.0,0.0333,0.2667,0.56,0.0133,0.0533,0.26,0.5733,0.7,0.2733,0.52,0.5733,0.6867,0.6667,0.3267,0.4467,0.5733,0.6467,0.7533
french_noun_gender,train,0.0,0.0,0.0,0.0667,0.1,0.0267,0.0,0.0133,0.2467,0.3333,0.0267,0.0,0.0,0.28,0.3733,0.12,0.0,0.0,0.2867,0.4533,0.3133,0.0,0.0,0.0,0.2,0.36
german-english,train,0.0,0.0,0.0,0.0,0.0333,0.0467,0.0,0.0067,0.04,0.2467,0.5133,0.0133,0.0667,0.2333,0.54,0.6267,0.2733,0.52,0.7067,0.7067,0.76,0.3467,0.5,0.54,0.6933,0.7467
german_noun_gender,train,0.0,0.0,0.0,0.0067,0.0933,0.0467,0.0,0.0,0.02,0.1933,0.12,0.0,0.0,0.0333,0.2533,0.16,0.0,0.0,0.0133,0.2333,0.2067,0.0,0.0,0.0,0.0533,0.2467
gerund_to_base,heldout,0.0,0.0,0.0067,0.0067,0.0867,0.38,0.0,0.0067,0.0733,0.5867,0.6,0.0,0.1667,0.5133,0.74,0.7333,0.4533,0.6667,0.8133,0.8933,0.8533,0.4733,0.58,0.6733,0.8267,0.9
gerund_to_past,train,0.0,0.0,0.0,0.0067,0.0867,0.2867,0.0,0.0,0.1467,0.4667,0.4333,0.0,0.0467,0.4867,0.7267,0.6267,0.0,0.1333,0.52,0.7267,0.7133,0.0067,0.02,0.0467,0.34,0.6467
hypernym_category,train,0.0,0.0,0.0,0.0,0.0467,0.0267,0.0,0.0,0.08,0.2867,0.1933,0.0,0.0067,0.1533,0.4,0.2533,0.0067,0.04,0.2133,0.32,0.3933,0.0,0.0333,0.04,0.2,0.4133
initials_two_words,heldout,0.0,0.0,0.0,0.0,0.0,0.0067,0.0,0.0,0.46,0.58,0.2267,0.0,0.0067,0.6067,0.7533,0.68,0.0,0.04,0.3467,0.7533,0.8267,0.0,0.0133,0.1,0.5067,0.74
iso_date_to_month,train,0.0,0.0,0.0,0.0533,0.02,0.0,0.0,0.0067,0.3533,0.1867,0.0133,0.0,0.0267,0.5533,0.36,0.1,0.0,0.16,0.4067,0.56,0.3867,0.0067,0.0933,0.1133,0.2667,0.5
iso_date_year_plus_one,train,0.0,0.0,0.0,0.0133,0.0,0.0,0.0,0.0,0.0733,0.02,0.0333,0.0,0.0,0.0667,0.1133,0.0933,0.0,0.0067,0.06,0.2067,0.1533,0.0,0.0,0.0067,0.0467,0.1867
landmark-country,train,0.0,0.0,0.0,0.0533,0.08,0.0133,0.0,0.02,0.4067,0.36,0.14,0.0,0.0267,0.46,0.46,0.2533,0.0067,0.1333,0.4067,0.4867,0.44,0.0,0.0333,0.1333,0.4,0.5133
language_identification,train,0.0,0.0,0.0,0.0133,0.06,0.0067,0.0,0.0,0.1333,0.3,0.0733,0.0067,0.0,0.1733,0.4,0.2067,0.0,0.0133,0.2333,0.38,0.36,0.0,0.0067,0.0067,0.18,0.3533
larger_of_pair,train,0.0,0.0,0.0,0.0333,0.08,0.0333,0.0,0.0,0.2733,0.2467,0.2,0.0,0.0133,0.3467,0.3667,0.32,0.0133,0.08,0.2733,0.4,0.3933,0.0333,0.08,0.18,0.36,0.4
larger_than_1000,train,0.0,0.0,0.0,0.1333,0.1333,0.0467,0.0,0.0,0.2267,0.2467,0.1667,0.0,0.0067,0.22,0.3333,0.24,0.0,0.0333,0.2,0.3333,0.2867,0.0,0.0267,0.0533,0.26,0.3333
lowercase_first_letter,train,0.0,0.0,0.0,0.0,0.0533,0.0067,0.0,0.0133,0.24,0.4133,0.0867,0.0,0.0,0.4733,0.6333,0.3333,0.0,0.1133,0.4333,0.6933,0.6667,0.02,0.0267,0.1867,0.46,0.7933
lowercase_word,train,0.0,0.0,0.0,0.0,0.0933,0.3867,0.0,0.0067,0.2267,0.7667,0.76,0.0,0.2733,0.7867,0.96,0.8733,0.5067,0.8,0.9467,0.9667,0.9667,0.6,0.7933,0.8467,0.96,0.9667
national_parks,train,0.0,0.0,0.0,0.12,0.1,0.0067,0.0,0.0533,0.4467,0.3133,0.0533,0.0,0.0333,0.42,0.44,0.12,0.0,0.16,0.3,0.4867,0.4133,0.02,0.04,0.2067,0.3533,0.4067
natural_manmade,train,0.0,0.0,0.0,0.0133,0.0333,0.0067,0.0,0.0,0.08,0.1467,0.02,0.0,0.0,0.0933,0.24,0.04,0.0,0.0067,0.02,0.1667,0.14,0.0,0.0,0.0,0.0467,0.1733
next_item,train,0.0,0.0,0.0,0.0133,0.1467,0.2267,0.0,0.0,0.0133,0.2867,0.2933,0.0,0.0,0.04,0.5333,0.4333,0.0,0.0067,0.0133,0.4267,0.6467,0.0,0.0067,0.0067,0.02,0.4867
next_month_of_date,train,0.0,0.0,0.0,0.0867,0.0467,0.0267,0.0,0.0067,0.12,0.1133,0.0467,0.0,0.0133,0.14,0.1533,0.1133,0.0,0.0133,0.1067,0.3067,0.2,0.0,0.0,0.0133,0.0667,0.3067
next_number_digits,train,0.0,0.0,0.0,0.1133,0.4133,0.2333,0.0,0.0,0.24,0.62,0.5667,0.0,0.0067,0.2867,0.7733,0.7467,0.0067,0.0133,0.3667,0.9,0.88,0.0,0.0333,0.0733,0.5933,0.9333
number_word_to_digits,train,0.0,0.0,0.0,0.0667,0.2933,0.2733,0.0,0.0467,0.3733,0.42,0.4333,0.0,0.0533,0.3467,0.4533,0.4933,0.02,0.14,0.3533,0.46,0.4667,0.0867,0.18,0.32,0.4133,0.4333
park-country,train,0.0,0.0,0.0067,0.1267,0.1667,0.0,0.0,0.0133,0.38,0.2867,0.0467,0.0,0.0267,0.42,0.4533,0.0933,0.0067,0.22,0.38,0.4467,0.4133,0.0067,0.1133,0.2533,0.4333,0.42
past_to_base,heldout,0.0,0.0,0.0067,0.0133,0.18,0.5,0.0,0.0133,0.0933,0.6067,0.6733,0.0,0.1467,0.5733,0.74,0.7467,0.28,0.5867,0.7867,0.7933,0.82,0.3667,0.4667,0.6333,0.7333,0.8467
person-instrument,train,0.0,0.0,0.0,0.0067,0.0067,0.0,0.0,0.0067,0.0867,0.1133,0.0,0.0,0.0267,0.1267,0.1067,0.0133,0.0067,0.08,0.1667,0.1733,0.12,0.0,0.0267,0.0933,0.18,0.1467
person-sport,train,0.0,0.0,0.0,0.0067,0.02,0.0067,0.0,0.0133,0.3467,0.3,0.0133,0.0,0.02,0.4,0.46,0.0867,0.0,0.1467,0.46,0.5067,0.2467,0.0,0.0133,0.1133,0.4067,0.4667
person_place_thing,heldout,0.0,0.0,0.0,0.0133,0.1133,0.12,0.0,0.0,0.0533,0.32,0.2667,0.0,0.0,0.0667,0.3467,0.2733,0.0,0.0,0.0333,0.32,0.36,0.0,0.0,0.0,0.0467,0.3067
plural_to_singular,train,0.0,0.0,0.0067,0.0067,0.1333,0.4667,0.0,0.0133,0.2533,0.7867,0.74,0.0133,0.3133,0.7333,0.9133,0.86,0.5133,0.72,0.9,0.9133,0.9067,0.5133,0.6333,0.78,0.84,0.9333
pos_label,heldout,0.0,0.0,0.0,0.02,0.04,0.0267,0.0,0.0,0.1467,0.2733,0.06,0.0,0.0,0.2333,0.34,0.12,0.0,0.0067,0.1867,0.2533,0.2067,0.0,0.0,0.0,0.1933,0.28
present-past,train,0.0,0.0,0.0,0.02,0.28,0.5133,0.0,0.0067,0.52,0.56,0.5667,0.0,0.0733,0.74,0.8,0.7533,0.0333,0.0867,0.54,0.7933,0.82,0.04,0.04,0.0933,0.4467,0.8667
prev_number_digits,train,0.0,0.0,0.0,0.08,0.4333,0.4333,0.0,0.0,0.3667,0.76,0.7733,0.0,0.0,0.42,0.8133,0.8733,0.0,0.0133,0.1333,0.7667,0.9267,0.0,0.0067,0.0467,0.18,0.8133
product-company,train,0.0,0.0,0.0,0.02,0.0467,0.0133,0.0,0.0333,0.2667,0.2267,0.0667,0.0,0.0333,0.3267,0.34,0.2133,0.0133,0.0933,0.28,0.3733,0.32,0.0267,0.0267,0.1133,0.2933,0.4
sentiment,train,0.0,0.0,0.0,0.0533,0.4067,0.42,0.0,0.0,0.1467,0.5533,0.48,0.0,0.0,0.3133,0.5467,0.5133,0.0,0.0067,0.32,0.5067,0.56,0.0,0.0,0.0,0.28,0.54
singular-plural,train,0.0,0.0,0.0,0.0667,0.4733,0.42,0.0,0.02,0.5467,0.7933,0.7533,0.0067,0.2267,0.8467,0.9533,0.8733,0.0333,0.1467,0.8533,0.9333,0.92,0.0333,0.0467,0.06,0.72,0.9267
singular_or_plural,train,0.0,0.0,0.0,0.0533,0.1733,0.06,0.0,0.0,0.1933,0.2933,0.0933,0.0,0.0067,0.24,0.3,0.1267,0.0,0.0,0.1467,0.3933,0.2267,0.0,0.0,0.0067,0.2,0.26
smaller_of_pair,heldout,0.0,0.0,0.0,0.0,0.06,0.08,0.0,0.0,0.24,0.3867,0.2533,0.0,0.02,0.3733,0.4467,0.36,0.0,0.1933,0.3733,0.46,0.46,0.0067,0.2067,0.3133,0.5267,0.5133
spanish-english,heldout,0.0,0.0,0.0,0.0067,0.0067,0.0267,0.0,0.0067,0.0267,0.2133,0.6533,0.0133,0.04,0.1333,0.5733,0.72,0.26,0.52,0.6467,0.7667,0.7667,0.3067,0.5267,0.5667,0.7333,0.78
spanish_noun_gender,train,0.0,0.0,0.0,0.0067,0.0467,0.0267,0.0,0.0,0.16,0.1867,0.0333,0.0,0.0067,0.1933,0.3333,0.1267,0.0,0.0067,0.1667,0.3867,0.2067,0.0,0.0,0.0,0.2,0.3867
starts_with_vowel,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0267,0.0067,0.0,0.0,0.02,0.0467,0.0133,0.0,0.0,0.04,0.1067,0.0467,0.0,0.0,0.0,0.0267,0.0533
third_person_to_base,train,0.0,0.0,0.0,0.0067,0.12,0.52,0.0,0.0,0.2067,0.7667,0.7867,0.0133,0.2733,0.7467,0.92,0.8467,0.5067,0.7667,0.8867,0.9467,0.9133,0.4467,0.6,0.7267,0.8067,0.88
titlecase_phrase,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0533,0.0267,0.0067,0.0,0.0067,0.4533,0.2533,0.02,0.0,0.0133,0.3733,0.7867,0.1667,0.0,0.0,0.0067,0.44,0.74
uppercase_word,heldout,0.0,0.0,0.0067,0.0133,0.2,0.12,0.0,0.0267,0.6333,0.94,0.6733,0.0,0.1867,0.82,0.96,0.9267,0.0,0.0867,0.76,0.92,0.9533,0.0,0.0,0.0467,0.7733,0.9267
us-city-state,train,0.0,0.0,0.0,0.18,0.1067,0.02,0.0,0.14,0.6133,0.5,0.0867,0.0,0.0733,0.5933,0.5867,0.2867,0.0,0.2533,0.5267,0.6,0.4867,0.0133,0.0867,0.28,0.62,0.6067
verb_tense_label,train,0.0,0.0,0.0,0.0067,0.0533,0.04,0.0,0.0,0.0267,0.1667,0.08,0.0,0.0,0.0333,0.16,0.1533,0.0,0.0,0.0133,0.1533,0.1667,0.0,0.0,0.0,0.0133,0.0867
verb_to_third_person,train,0.0,0.0,0.0,0.0067,0.4133,0.5,0.0,0.0133,0.4667,0.74,0.7133,0.0,0.2133,0.72,0.8,0.7867,0.0067,0.06,0.6,0.8333,0.84,0.0,0.0133,0.0333,0.46,0.82
word_polarity,heldout,0.0,0.0,0.0,0.0067,0.1867,0.14,0.0,0.0,0.26,0.4733,0.3333,0.0,0.0,0.2,0.46,0.4067,0.0,0.0,0.1933,0.42,0.5,0.0,0.0,0.0133,0.24,0.5133
