icl_example_index,token_role,k,feature_dim,target_dim,best_alpha,cv_mse,train_sample_count,test_sample_count,train_mse,test_mse,train_mean_squared_l2,test_mean_squared_l2
1,pre_label_token,1,2,2,100.0,81.85010785909799,2600,1170,67.02738952636719,44.46006774902344,134.05477905273438,88.92013549804688
1,pre_label_token,2,4,4,316.22776601683796,68.45268850473258,2600,1170,52.65530014038086,39.14384841918945,210.62120056152344,156.5753936767578
1,pre_label_token,3,6,6,316.22776601683796,59.23935985076122,2600,1170,41.459320068359375,29.73992919921875,248.75592041015625,178.43955993652344
1,pre_label_token,4,8,8,316.22776601683796,52.92357633150541,2600,1170,35.891090393066406,27.355810165405273,287.12872314453125,218.84646606445312
1,pre_label_token,5,10,10,1000.0,54.90475315504808,2600,1170,35.947322845458984,23.25628662109375,359.4732360839844,232.56285095214844
1,pre_label_token,6,12,12,1000.0,50.29352163461539,2600,1170,31.13711929321289,24.593286514282227,373.6453857421875,295.11944580078125
1,pre_label_token,7,14,14,1000.0,46.415830628112126,2600,1170,27.509740829467773,22.455093383789062,385.1363830566406,314.3713073730469
1,pre_label_token,8,16,16,1000.0,44.349722853440504,2600,1170,24.775676727294922,19.73724365234375,396.41082763671875,315.7958984375
1,pre_label_token,9,18,18,1000.0,41.64775603465545,2600,1170,22.59070587158203,18.195791244506836,406.6326904296875,327.5242614746094
1,pre_label_token,10,20,20,3162.2776601683795,39.72779803936298,2600,1170,24.336925506591797,16.167539596557617,486.73846435546875,323.35076904296875
1,first_label_token,1,2,2,10.0,80.37591731144832,2600,1170,67.77863311767578,52.6378173828125,135.55726623535156,105.275634765625
1,first_label_token,2,4,4,100.0,58.340525230994594,2600,1170,42.21434020996094,25.18396759033203,168.8573760986328,100.73587036132812
1,first_label_token,3,6,6,100.0,37.76388177333734,2600,1170,27.12767791748047,18.303560256958008,162.76608276367188,109.82136535644531
1,first_label_token,4,8,8,1000.0,41.473350642277644,2600,1170,27.632352828979492,16.015518188476562,221.0587921142578,128.1241455078125
1,first_label_token,5,10,10,1000.0,42.62459891451322,2600,1170,25.90386962890625,15.626811027526855,259.0386962890625,156.2681121826172
1,first_label_token,6,12,12,1000.0,40.22649711413261,2600,1170,23.53508949279785,15.86510181427002,282.4211120605469,190.3812255859375
1,first_label_token,7,14,14,3162.2776601683795,42.59451429429945,2600,1170,27.180448532104492,15.843042373657227,380.5262756347656,221.80259704589844
1,first_label_token,8,16,16,1000.0,39.87772775503305,2600,1170,18.597362518310547,12.784881591796875,297.55780029296875,204.55810546875
1,first_label_token,9,18,18,1000.0,38.221454702524035,2600,1170,15.715521812438965,11.971745491027832,282.8793640136719,215.49142456054688
1,first_label_token,10,20,20,1000.0,35.5505088266226,2600,1170,13.391326904296875,11.002348899841309,267.82647705078125,220.04698181152344
1,last_label_token,1,2,2,100.0,81.717559767503,2600,1170,68.47048950195312,57.04592514038086,136.94097900390625,114.09185028076172
1,last_label_token,2,4,4,316.22776601683796,46.94766681377704,2600,1170,33.70028305053711,24.060800552368164,134.80113220214844,96.24320220947266
1,last_label_token,3,6,6,31.622776601683793,34.38348631247496,2600,1170,22.42908477783203,19.36037826538086,134.5745086669922,116.16228485107422
1,last_label_token,4,8,8,1000.0,40.44446209247295,2600,1170,25.304969787597656,17.617496490478516,202.43975830078125,140.93995666503906
1,last_label_token,5,10,10,1000.0,37.11474459134615,2600,1170,21.651241302490234,15.551074028015137,216.5124053955078,155.5107421875
1,last_label_token,6,12,12,1000.0,34.2758385917468,2600,1170,18.868946075439453,15.510991096496582,226.42735290527344,186.13189697265625
1,last_label_token,7,14,14,1000.0,34.309602936126375,2600,1170,15.849000930786133,13.222688674926758,221.88601684570312,185.1176300048828
1,last_label_token,8,16,16,1000.0,32.62617572490986,2600,1170,13.499350547790527,11.222829818725586,215.98959350585938,179.56527709960938
1,last_label_token,9,18,18,1000.0,31.968756134815706,2600,1170,11.734541893005371,10.538198471069336,211.22177124023438,189.68759155273438
1,last_label_token,10,20,20,3162.2776601683795,34.58785295222356,2600,1170,16.322179794311523,11.13205623626709,326.44354248046875,222.64112854003906
