property,direction,layer,alpha,strict,unscorable,incoherent,n
all_caps,alt,2,16.0,0.058,0.058,0.133,60
all_caps,alt,4,32.0,0.273,0.109,0.083,60
all_caps,alt,6,32.0,0.571,0.082,0.183,60
all_caps,alt,8,32.0,0.588,0.02,0.15,60
all_caps,alt,10,8.0,0.423,0.115,0.133,60
all_caps,alt,12,16.0,0.377,0.151,0.117,60
all_caps,alt,16,32.0,0.935,0.032,0.483,60
all_caps,alt,20,32.0,0.692,0.154,0.35,60
all_caps,alt,24,16.0,0.408,0.224,0.183,60
all_caps,nat,2,32.0,0.59,0.128,0.35,60
all_caps,nat,4,32.0,0.9,0.02,0.167,60
all_caps,nat,6,32.0,1.0,0.0,0.017,60
all_caps,nat,8,8.0,0.833,0.083,0.0,60
all_caps,nat,10,16.0,0.847,0.051,0.017,60
all_caps,nat,12,2.0,0.862,0.103,0.033,60
all_caps,nat,16,2.0,0.831,0.068,0.017,60
all_caps,nat,20,16.0,0.949,0.051,0.017,60
all_caps,nat,24,16.0,1.0,0.0,0.017,60
ampersand,alt,2,0.5,0.0,0.745,0.083,60
ampersand,alt,4,0.5,0.0,0.661,0.067,60
ampersand,alt,6,0.5,0.0,0.685,0.1,60
ampersand,alt,8,16.0,0.0,0.621,0.033,60
ampersand,alt,10,32.0,0.143,0.571,0.067,60
ampersand,alt,12,32.0,0.717,0.283,0.0,60
ampersand,alt,16,32.0,0.456,0.544,0.05,60
ampersand,alt,20,16.0,1.0,0.0,0.017,60
ampersand,alt,24,8.0,0.983,0.017,0.017,60
ampersand,nat,2,0.5,0.255,0.745,0.083,60
ampersand,nat,4,0.5,0.352,0.648,0.1,60
ampersand,nat,6,16.0,0.232,0.768,0.067,60
ampersand,nat,8,2.0,0.226,0.774,0.117,60
ampersand,nat,10,8.0,0.278,0.722,0.1,60
ampersand,nat,12,1.0,0.462,0.538,0.133,60
ampersand,nat,16,32.0,0.707,0.293,0.033,60
ampersand,nat,20,32.0,1.0,0.0,0.0,60
ampersand,nat,24,32.0,0.983,0.017,0.0,60
contractions,alt,2,1.0,0.083,0.867,0.0,60
contractions,alt,4,1.0,0.117,0.833,0.0,60
contractions,alt,6,0.5,0.117,0.833,0.0,60
contractions,alt,8,4.0,0.05,0.917,0.0,60
contractions,alt,10,4.0,0.133,0.867,0.0,60
contractions,alt,12,2.0,0.083,0.9,0.0,60
contractions,alt,16,32.0,0.102,0.898,0.017,60
contractions,alt,20,8.0,0.25,0.717,0.0,60
contractions,alt,24,32.0,0.356,0.644,0.017,60
contractions,nat,2,1.0,0.05,0.867,0.0,60
contractions,nat,4,2.0,0.017,0.883,0.0,60
contractions,nat,6,32.0,0.119,0.864,0.017,60
contractions,nat,8,0.5,0.067,0.8,0.0,60
contractions,nat,10,8.0,0.083,0.867,0.0,60
contractions,nat,12,0.5,0.05,0.883,0.0,60
contractions,nat,16,8.0,0.117,0.783,0.0,60
contractions,nat,20,4.0,0.15,0.833,0.0,60
contractions,nat,24,32.0,0.237,0.763,0.017,60
curly_quotes,alt,2,0.5,0.0,0.966,0.017,60
curly_quotes,alt,4,0.5,0.017,0.917,0.0,60
curly_quotes,alt,6,1.0,0.017,0.914,0.033,60
curly_quotes,alt,8,2.0,0.0,0.967,0.0,60
curly_quotes,alt,10,4.0,0.0,0.966,0.017,60
curly_quotes,alt,12,2.0,0.017,0.898,0.017,60
curly_quotes,alt,16,1.0,0.017,0.949,0.017,60
curly_quotes,alt,20,32.0,0.085,0.898,0.017,60
curly_quotes,alt,24,1.0,0.033,0.9,0.0,60
curly_quotes,nat,2,32.0,0.034,0.949,0.017,60
curly_quotes,nat,4,16.0,0.05,0.933,0.0,60
curly_quotes,nat,6,8.0,0.07,0.912,0.05,60
curly_quotes,nat,8,32.0,0.067,0.917,0.0,60
curly_quotes,nat,10,0.5,0.033,0.95,0.0,60
curly_quotes,nat,12,1.0,0.034,0.966,0.017,60
curly_quotes,nat,16,32.0,0.328,0.655,0.033,60
curly_quotes,nat,20,8.0,0.133,0.867,0.0,60
curly_quotes,nat,24,32.0,1.0,0.0,0.5,60
double_space,alt,2,0.5,0.0,0.15,0.0,60
double_space,alt,4,32.0,0.569,0.345,0.033,60
double_space,alt,6,8.0,0.617,0.15,0.0,60
double_space,alt,8,32.0,0.75,0.233,0.0,60
double_space,alt,10,32.0,0.78,0.22,0.017,60
double_space,alt,12,32.0,0.983,0.017,0.0,60
double_space,alt,16,16.0,0.966,0.017,0.017,60
double_space,alt,20,16.0,1.0,0.0,0.0,60
double_space,alt,24,8.0,1.0,0.0,0.0,60
double_space,nat,2,1.0,0.9,0.1,0.0,60
double_space,nat,4,8.0,0.933,0.067,0.0,60
double_space,nat,6,32.0,1.0,0.0,0.0,60
double_space,nat,8,2.0,0.817,0.183,0.0,60
double_space,nat,10,4.0,0.932,0.068,0.017,60
double_space,nat,12,1.0,0.85,0.15,0.0,60
double_space,nat,16,2.0,0.933,0.067,0.0,60
double_space,nat,20,1.0,0.933,0.067,0.0,60
double_space,nat,24,0.5,0.983,0.017,0.0,60
em_dash,alt,2,0.5,0.0,1.0,0.15,60
em_dash,alt,4,0.5,0.0,0.962,0.133,60
em_dash,alt,6,0.5,0.02,0.961,0.15,60
em_dash,alt,8,2.0,0.0,0.98,0.183,60
em_dash,alt,10,16.0,0.021,0.979,0.2,60
em_dash,alt,12,16.0,0.0,0.978,0.233,60
em_dash,alt,16,2.0,0.019,0.962,0.117,60
em_dash,alt,20,32.0,0.983,0.017,0.0,60
em_dash,alt,24,16.0,1.0,0.0,0.0,60
em_dash,nat,2,2.0,0.0,1.0,0.167,60
