property,source_run,arm,n_arm_points,judged,baseline_strict,strict,conditional,unscorable,incoherent,n,n_coherent,cf_strict,cf_unscorable,reverse_strict,reverse_baseline,reference_k4
all_caps,full_cuek4,cuediff_k4_cue_nat2alt_best,1,True,0.0,0.515,0.604,0.148,0.155,200,169,0.0,0.0,,,0.942
ampersand,full_cuek4,cuediff_k4_cue_nat2alt_best,1,True,0.0,0.355,1.0,0.645,0.0,200,200,0.0,0.804,,,0.667
contractions,full_cuek4,cuediff_k4_cue_nat2alt_best,1,True,0.16,0.25,0.794,0.685,0.0,200,200,0.096,0.823,,,0.754
curly_quotes,full_cuek4,cuediff_k4_cue_nat2alt_best,1,True,0.023,0.012,0.1,0.883,0.012,173,171,0.035,0.844,,,0.975
double_space,full_cuek4,cuediff_k4_cue_nat2alt_best,1,True,0.0,0.98,0.995,0.015,0.0,200,200,0.0,0.09,,,0.864
em_dash,full_cuek4,cuediff_k4_cue_nat2alt_best,1,True,0.019,0.019,0.4,0.952,0.01,105,104,0.019,0.933,,,1.0
num_words,full_cuek4,cuediff_k4_cue_nat2alt_best,1,True,0.047,0.388,0.971,0.6,0.0,85,85,0.0,1.0,,,0.856
ordinal_words,full_cuek4,cuediff_k4_cue_nat2alt_best,1,True,0.151,0.12,1.0,0.88,0.0,200,200,0.126,0.874,,,0.994
oxford_comma,full_cuek4,cuediff_k4_cue_nat2alt_best,1,True,0.149,0.836,0.982,0.149,0.0,67,67,0.0,1.0,,,0.85
percent_sign,full_cuek4,cuediff_k4_cue_nat2alt_best,1,True,0.146,0.369,1.0,0.631,0.01,104,103,0.125,0.404,,,0.966
quote_punct,full_cuek4,cuediff_k4_cue_nat2alt_best,1,True,0.056,1.0,1.0,0.0,0.0,126,126,0.071,0.183,,,0.901
sentence_caps,full_cuek4,cuediff_k4_cue_nat2alt_best,1,True,0.0,0.875,0.971,0.099,0.04,200,192,0.0,0.04,,,0.798
us_uk,full_cuek4,cuediff_k4_cue_nat2alt_best,1,True,0.01,0.613,0.968,0.367,0.005,200,199,0.04,0.799,,,0.917
