property,L_alt,L_nat,alpha_alt,alpha_nat,cf_alt,cf_nat,reference_alt,reference_alt_unscorable,reference_nat,reference_nat_unscorable,steered_alt,steered_alt_coherentonly,steered_alt_conditional,steered_alt_incoherent,steered_alt_n,steered_alt_unscorable,steered_nat,steered_nat_coherentonly,steered_nat_conditional,steered_nat_incoherent,steered_nat_n,steered_nat_unscorable,unsteered_alt,unsteered_nat
all_caps,16,6,32.0,32.0,0.005,0.357,0.88,0.016,0.99,0.0,0.422,0.824,0.894,0.487,199,0.078,0.945,0.974,0.979,0.03,199,0.005,0.01,0.377
ampersand,20,24,16.0,32.0,0.0,0.0,0.12,0.761,0.325,0.667,0.979,1.0,1.0,0.021,144,0.0,0.986,0.986,1.0,0.0,144,0.014,0.0,0.326
contractions,24,16,32.0,32.0,0.029,0.034,0.12,0.78,0.16,0.83,0.782,0.782,0.993,0.0,174,0.213,0.167,0.171,0.806,0.023,174,0.788,0.08,0.069
curly_quotes,20,24,32.0,32.0,0.0,0.114,0.306,0.674,0.312,0.684,0.048,0.049,0.8,0.024,167,0.939,0.611,0.971,1.0,0.371,167,0.029,0.006,0.072
double_space,10,6,32.0,8.0,0.005,0.91,0.655,0.196,0.715,0.278,0.91,0.929,1.0,0.02,200,0.071,0.9,0.909,1.0,0.01,200,0.091,0.0,0.9
em_dash,24,20,32.0,32.0,0.0,0.0,0.433,0.536,0.433,0.527,1.0,1.0,1.0,0.0,99,0.0,1.0,1.0,1.0,0.0,99,0.0,0.01,0.03
num_words,24,24,32.0,32.0,0.0,0.0,0.4,0.553,0.235,0.729,0.864,0.864,1.0,0.0,81,0.136,0.642,0.65,1.0,0.012,81,0.35,0.074,0.148
ordinal_words,24,16,32.0,8.0,0.045,0.0,0.169,0.831,0.169,0.759,0.65,0.681,1.0,0.045,200,0.319,0.025,0.025,0.25,0.005,200,0.899,0.115,0.01
oxford_comma,16,6,16.0,32.0,0.0,0.0,0.5,0.455,0.591,0.364,1.0,1.0,1.0,0.0,67,0.0,0.448,0.448,0.789,0.0,67,0.433,0.134,0.478
percent_sign,16,8,32.0,32.0,0.0,0.327,0.695,0.288,0.831,0.169,0.962,0.962,1.0,0.0,104,0.038,0.99,0.99,1.0,0.0,104,0.01,0.077,0.433
quote_punct,16,24,32.0,8.0,0.064,0.792,0.744,0.053,0.917,0.035,0.976,0.992,0.992,0.016,125,0.0,0.936,0.936,0.975,0.0,125,0.04,0.016,0.888
sentence_caps,10,2,32.0,32.0,0.0,0.815,0.695,0.03,0.96,0.03,0.89,1.0,1.0,0.11,200,0.0,0.9,0.905,1.0,0.005,200,0.095,0.0,0.845
us_uk,24,24,32.0,32.0,0.021,0.021,0.15,0.833,0.233,0.767,0.678,0.683,0.99,0.007,146,0.31,0.842,0.891,0.992,0.055,146,0.101,0.017,0.217
