Some weights of the model checkpoint at /root/hf/hub/models--EleutherAI--gpt-j-6b/snapshots/47e169305d2e8376be1d31e765533382721b2cc1 were not used when initializing GPTJForCausalLM: ['transformer.h.0.attn.bias', 'transformer.h.0.attn.masked_bias', 'transformer.h.1.attn.bias', 'transformer.h.1.attn.masked_bias', 'transformer.h.10.attn.bias', 'transformer.h.10.attn.masked_bias', 'transformer.h.11.attn.bias', 'transformer.h.11.attn.masked_bias', 'transformer.h.12.attn.bias', 'transformer.h.12.attn.masked_bias', 'transformer.h.13.attn.bias', 'transformer.h.13.attn.masked_bias', 'transformer.h.14.attn.bias', 'transformer.h.14.attn.masked_bias', 'transformer.h.15.attn.bias', 'transformer.h.15.attn.masked_bias', 'transformer.h.16.attn.bias', 'transformer.h.16.attn.masked_bias', 'transformer.h.17.attn.bias', 'transformer.h.17.attn.masked_bias', 'transformer.h.18.attn.bias', 'transformer.h.18.attn.masked_bias', 'transformer.h.19.attn.bias', 'transformer.h.19.attn.masked_bias', 'transformer.h.2.attn.bias', 'transformer.h.2.attn.masked_bias', 'transformer.h.20.attn.bias', 'transformer.h.20.attn.masked_bias', 'transformer.h.21.attn.bias', 'transformer.h.21.attn.masked_bias', 'transformer.h.22.attn.bias', 'transformer.h.22.attn.masked_bias', 'transformer.h.23.attn.bias', 'transformer.h.23.attn.masked_bias', 'transformer.h.24.attn.bias', 'transformer.h.24.attn.masked_bias', 'transformer.h.25.attn.bias', 'transformer.h.25.attn.masked_bias', 'transformer.h.26.attn.bias', 'transformer.h.26.attn.masked_bias', 'transformer.h.27.attn.bias', 'transformer.h.27.attn.masked_bias', 'transformer.h.3.attn.bias', 'transformer.h.3.attn.masked_bias', 'transformer.h.4.attn.bias', 'transformer.h.4.attn.masked_bias', 'transformer.h.5.attn.bias', 'transformer.h.5.attn.masked_bias', 'transformer.h.6.attn.bias', 'transformer.h.6.attn.masked_bias', 'transformer.h.7.attn.bias', 'transformer.h.7.attn.masked_bias', 'transformer.h.8.attn.bias', 'transformer.h.8.attn.masked_bias', 'transformer.h.9.attn.bias', 'transformer.h.9.attn.masked_bias']
- This IS expected if you are initializing GPTJForCausalLM from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing GPTJForCausalLM from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
agent_noun_to_verb | dummy6_baseline: acc=0.000
animal_plant_object | dummy6_twoknob_c4_u0: acc=0.000
animal_plant_object | dummy6_twoknob_c4_u1: acc=0.033
animal_plant_object | dummy6_twoknob_c4_u2: acc=0.160
animal_plant_object | dummy6_twoknob_c4_u4: acc=0.360
animal_plant_object | dummy6_twoknob_c4_u8: acc=0.360
animal_plant_object | dummy6_twoknob_c8_u0: acc=0.007
animal_plant_object | dummy6_twoknob_c8_u1: acc=0.013
animal_plant_object | dummy6_twoknob_c8_u2: acc=0.007
animal_plant_object | dummy6_twoknob_c8_u4: acc=0.227
animal_plant_object | dummy6_twoknob_c8_u8: acc=0.353
article_choice | dummy6_baseline: acc=0.000
article_choice | dummy6_twoknob_c0_u0: acc=0.000
article_choice | dummy6_twoknob_c0_u1: acc=0.000
article_choice | dummy6_twoknob_c0_u2: acc=0.007
article_choice | dummy6_twoknob_c0_u4: acc=0.113
article_choice | dummy6_twoknob_c0_u8: acc=0.120
article_choice | dummy6_twoknob_c1_u0: acc=0.000
article_choice | dummy6_twoknob_c1_u1: acc=0.000
article_choice | dummy6_twoknob_c1_u2: acc=0.040
article_choice | dummy6_twoknob_c1_u4: acc=0.267
article_choice | dummy6_twoknob_c1_u8: acc=0.300
article_choice | dummy6_twoknob_c2_u0: acc=0.000
article_choice | dummy6_twoknob_c2_u1: acc=0.000
article_choice | dummy6_twoknob_c2_u2: acc=0.013
article_choice | dummy6_twoknob_c2_u4: acc=0.353
article_choice | dummy6_twoknob_c2_u8: acc=0.333
article_choice | dummy6_twoknob_c4_u0: acc=0.000
article_choice | dummy6_twoknob_c4_u1: acc=0.000
article_choice | dummy6_twoknob_c4_u2: acc=0.087
article_choice | dummy6_twoknob_c4_u4: acc=0.313
article_choice | dummy6_twoknob_c4_u8: acc=0.320
article_choice | dummy6_twoknob_c8_u0: acc=0.000
article_choice | dummy6_twoknob_c8_u1: acc=0.000
article_choice | dummy6_twoknob_c8_u2: acc=0.013
article_choice | dummy6_twoknob_c8_u4: acc=0.180
article_choice | dummy6_twoknob_c8_u8: acc=0.373
capitalize_first_letter | dummy6_baseline: acc=0.000
capitalize_first_letter | dummy6_twoknob_c0_u0: acc=0.000
capitalize_first_letter | dummy6_twoknob_c0_u1: acc=0.000
capitalize_first_letter | dummy6_twoknob_c0_u2: acc=0.013
capitalize_first_letter | dummy6_twoknob_c0_u4: acc=0.127
capitalize_first_letter | dummy6_twoknob_c0_u8: acc=0.053
capitalize_first_letter | dummy6_twoknob_c1_u0: acc=0.000
capitalize_first_letter | dummy6_twoknob_c1_u1: acc=0.000
capitalize_first_letter | dummy6_twoknob_c1_u2: acc=0.207
capitalize_first_letter | dummy6_twoknob_c1_u4: acc=0.433
capitalize_first_letter | dummy6_twoknob_c1_u8: acc=0.160
capitalize_first_letter | dummy6_twoknob_c2_u0: acc=0.000
capitalize_first_letter | dummy6_twoknob_c2_u1: acc=0.027
capitalize_first_letter | dummy6_twoknob_c2_u2: acc=0.480
capitalize_first_letter | dummy6_twoknob_c2_u4: acc=0.720
capitalize_first_letter | dummy6_twoknob_c2_u8: acc=0.493
capitalize_first_letter | dummy6_twoknob_c4_u0: acc=0.000
capitalize_first_letter | dummy6_twoknob_c4_u1: acc=0.047
capitalize_first_letter | dummy6_twoknob_c4_u2: acc=0.493
capitalize_first_letter | dummy6_twoknob_c4_u4: acc=0.767
capitalize_first_letter | dummy6_twoknob_c4_u8: acc=0.713
capitalize_first_letter | dummy6_twoknob_c8_u0: acc=0.000
capitalize_first_letter | dummy6_twoknob_c8_u1: acc=0.007
capitalize_first_letter | dummy6_twoknob_c8_u2: acc=0.073
capitalize_first_letter | dummy6_twoknob_c8_u4: acc=0.473
capitalize_first_letter | dummy6_twoknob_c8_u8: acc=0.773
compound_first | dummy6_baseline: acc=0.000
compound_first | dummy6_twoknob_c0_u0: acc=0.000
compound_first | dummy6_twoknob_c0_u1: acc=0.000
compound_first | dummy6_twoknob_c0_u2: acc=0.000
compound_first | dummy6_twoknob_c0_u4: acc=0.047
compound_first | dummy6_twoknob_c0_u8: acc=0.167
compound_first | dummy6_twoknob_c1_u0: acc=0.000
compound_first | dummy6_twoknob_c1_u1: acc=0.020
compound_first | dummy6_twoknob_c1_u2: acc=0.047
compound_first | dummy6_twoknob_c1_u4: acc=0.307
compound_first | dummy6_twoknob_c1_u8: acc=0.347
compound_first | dummy6_twoknob_c2_u0: acc=0.013
compound_first | dummy6_twoknob_c2_u1: acc=0.047
compound_first | dummy6_twoknob_c2_u2: acc=0.207
compound_first | dummy6_twoknob_c2_u4: acc=0.500
compound_first | dummy6_twoknob_c2_u8: acc=0.433
compound_first | dummy6_twoknob_c4_u0: acc=0.193
compound_first | dummy6_twoknob_c4_u1: acc=0.267
compound_first | dummy6_twoknob_c4_u2: acc=0.427
compound_first | dummy6_twoknob_c4_u4: acc=0.573
compound_first | dummy6_twoknob_c4_u8: acc=0.627
compound_first | dummy6_twoknob_c8_u0: acc=0.180
compound_first | dummy6_twoknob_c8_u1: acc=0.247
compound_first | dummy6_twoknob_c8_u2: acc=0.313
compound_first | dummy6_twoknob_c8_u4: acc=0.300
compound_first | dummy6_twoknob_c8_u8: acc=0.613
contains_letter_e | dummy6_baseline: acc=0.000
contains_letter_e | dummy6_twoknob_c0_u0: acc=0.000
contains_letter_e | dummy6_twoknob_c0_u1: acc=0.000
contains_letter_e | dummy6_twoknob_c0_u2: acc=0.113
contains_letter_e | dummy6_twoknob_c0_u4: acc=0.200
contains_letter_e | dummy6_twoknob_c0_u8: acc=0.073
contains_letter_e | dummy6_twoknob_c1_u0: acc=0.000
contains_letter_e | dummy6_twoknob_c1_u1: acc=0.000
contains_letter_e | dummy6_twoknob_c1_u2: acc=0.200
contains_letter_e | dummy6_twoknob_c1_u4: acc=0.320
contains_letter_e | dummy6_twoknob_c1_u8: acc=0.193
contains_letter_e | dummy6_twoknob_c2_u0: acc=0.000
contains_letter_e | dummy6_twoknob_c2_u1: acc=0.007
contains_letter_e | dummy6_twoknob_c2_u2: acc=0.253
contains_letter_e | dummy6_twoknob_c2_u4: acc=0.333
contains_letter_e | dummy6_twoknob_c2_u8: acc=0.273
contains_letter_e | dummy6_twoknob_c4_u0: acc=0.000
contains_letter_e | dummy6_twoknob_c4_u1: acc=0.007
contains_letter_e | dummy6_twoknob_c4_u2: acc=0.120
contains_letter_e | dummy6_twoknob_c4_u4: acc=0.360
contains_letter_e | dummy6_twoknob_c4_u8: acc=0.387
contains_letter_e | dummy6_twoknob_c8_u0: acc=0.000
contains_letter_e | dummy6_twoknob_c8_u1: acc=0.007
contains_letter_e | dummy6_twoknob_c8_u2: acc=0.000
contains_letter_e | dummy6_twoknob_c8_u4: acc=0.173
contains_letter_e | dummy6_twoknob_c8_u8: acc=0.413
day_after_textual_date | dummy6_baseline: acc=0.000
day_after_textual_date | dummy6_twoknob_c0_u0: acc=0.000
day_after_textual_date | dummy6_twoknob_c0_u1: acc=0.000
day_after_textual_date | dummy6_twoknob_c0_u2: acc=0.027
day_after_textual_date | dummy6_twoknob_c0_u4: acc=0.000
day_after_textual_date | dummy6_twoknob_c0_u8: acc=0.000
day_after_textual_date | dummy6_twoknob_c1_u0: acc=0.000
day_after_textual_date | dummy6_twoknob_c1_u1: acc=0.000
day_after_textual_date | dummy6_twoknob_c1_u2: acc=0.060
day_after_textual_date | dummy6_twoknob_c1_u4: acc=0.040
day_after_textual_date | dummy6_twoknob_c1_u8: acc=0.000
day_after_textual_date | dummy6_twoknob_c2_u0: acc=0.000
day_after_textual_date | dummy6_twoknob_c2_u1: acc=0.000
day_after_textual_date | dummy6_twoknob_c2_u2: acc=0.093
day_after_textual_date | dummy6_twoknob_c2_u4: acc=0.093
day_after_textual_date | dummy6_twoknob_c2_u8: acc=0.000
day_after_textual_date | dummy6_twoknob_c4_u0: acc=0.000
day_after_textual_date | dummy6_twoknob_c4_u1: acc=0.000
day_after_textual_date | dummy6_twoknob_c4_u2: acc=0.047
day_after_textual_date | dummy6_twoknob_c4_u4: acc=0.273
day_after_textual_date | dummy6_twoknob_c4_u8: acc=0.047
day_after_textual_date | dummy6_twoknob_c8_u0: acc=0.000
day_after_textual_date | dummy6_twoknob_c8_u1: acc=0.000
day_after_textual_date | dummy6_twoknob_c8_u2: acc=0.007
day_after_textual_date | dummy6_twoknob_c8_u4: acc=0.067
day_after_textual_date | dummy6_twoknob_c8_u8: acc=0.153
english-french | dummy6_baseline: acc=0.000
english-french | dummy6_twoknob_c0_u0: acc=0.000
english-french | dummy6_twoknob_c0_u1: acc=0.007
english-french | dummy6_twoknob_c0_u2: acc=0.000
english-french | dummy6_twoknob_c0_u4: acc=0.007
english-french | dummy6_twoknob_c0_u8: acc=0.000
english-french | dummy6_twoknob_c1_u0: acc=0.000
english-french | dummy6_twoknob_c1_u1: acc=0.007
english-french | dummy6_twoknob_c1_u2: acc=0.213
english-french | dummy6_twoknob_c1_u4: acc=0.487
english-french | dummy6_twoknob_c1_u8: acc=0.047
english-french | dummy6_twoknob_c2_u0: acc=0.000
english-french | dummy6_twoknob_c2_u1: acc=0.027
english-french | dummy6_twoknob_c2_u2: acc=0.393
english-french | dummy6_twoknob_c2_u4: acc=0.513
english-french | dummy6_twoknob_c2_u8: acc=0.380
english-french | dummy6_twoknob_c4_u0: acc=0.007
english-french | dummy6_twoknob_c4_u1: acc=0.013
english-french | dummy6_twoknob_c4_u2: acc=0.300
english-french | dummy6_twoknob_c4_u4: acc=0.553
english-french | dummy6_twoknob_c4_u8: acc=0.553
english-french | dummy6_twoknob_c8_u0: acc=0.000
english-french | dummy6_twoknob_c8_u1: acc=0.000
english-french | dummy6_twoknob_c8_u2: acc=0.007
english-french | dummy6_twoknob_c8_u4: acc=0.240
english-french | dummy6_twoknob_c8_u8: acc=0.520
english-portuguese | dummy6_baseline: acc=0.000
english-portuguese | dummy6_twoknob_c0_u0: acc=0.000
english-portuguese | dummy6_twoknob_c0_u1: acc=0.000
english-portuguese | dummy6_twoknob_c0_u2: acc=0.000
english-portuguese | dummy6_twoknob_c0_u4: acc=0.027
english-portuguese | dummy6_twoknob_c0_u8: acc=0.000
english-portuguese | dummy6_twoknob_c1_u0: acc=0.000
english-portuguese | dummy6_twoknob_c1_u1: acc=0.000
english-portuguese | dummy6_twoknob_c1_u2: acc=0.247
english-portuguese | dummy6_twoknob_c1_u4: acc=0.453
english-portuguese | dummy6_twoknob_c1_u8: acc=0.100
english-portuguese | dummy6_twoknob_c2_u0: acc=0.000
english-portuguese | dummy6_twoknob_c2_u1: acc=0.020
english-portuguese | dummy6_twoknob_c2_u2: acc=0.487
english-portuguese | dummy6_twoknob_c2_u4: acc=0.533
english-portuguese | dummy6_twoknob_c2_u8: acc=0.453
english-portuguese | dummy6_twoknob_c4_u0: acc=0.000
english-portuguese | dummy6_twoknob_c4_u1: acc=0.027
english-portuguese | dummy6_twoknob_c4_u2: acc=0.320
english-portuguese | dummy6_twoknob_c4_u4: acc=0.573
english-portuguese | dummy6_twoknob_c4_u8: acc=0.620
english-portuguese | dummy6_twoknob_c8_u0: acc=0.000
english-portuguese | dummy6_twoknob_c8_u1: acc=0.000
english-portuguese | dummy6_twoknob_c8_u2: acc=0.000
english-portuguese | dummy6_twoknob_c8_u4: acc=0.293
english-portuguese | dummy6_twoknob_c8_u8: acc=0.607
first_digit | dummy6_baseline: acc=0.000
first_digit | dummy6_twoknob_c0_u0: acc=0.000
first_digit | dummy6_twoknob_c0_u1: acc=0.000
first_digit | dummy6_twoknob_c0_u2: acc=0.020
first_digit | dummy6_twoknob_c0_u4: acc=0.073
first_digit | dummy6_twoknob_c0_u8: acc=0.100
first_digit | dummy6_twoknob_c1_u0: acc=0.000
first_digit | dummy6_twoknob_c1_u1: acc=0.000
first_digit | dummy6_twoknob_c1_u2: acc=0.100
first_digit | dummy6_twoknob_c1_u4: acc=0.273
first_digit | dummy6_twoknob_c1_u8: acc=0.180
first_digit | dummy6_twoknob_c2_u0: acc=0.000
first_digit | dummy6_twoknob_c2_u1: acc=0.007
first_digit | dummy6_twoknob_c2_u2: acc=0.147
first_digit | dummy6_twoknob_c2_u4: acc=0.567
first_digit | dummy6_twoknob_c2_u8: acc=0.347
first_digit | dummy6_twoknob_c4_u0: acc=0.000
first_digit | dummy6_twoknob_c4_u1: acc=0.020
first_digit | dummy6_twoknob_c4_u2: acc=0.313
first_digit | dummy6_twoknob_c4_u4: acc=0.687
first_digit | dummy6_twoknob_c4_u8: acc=0.653
first_digit | dummy6_twoknob_c8_u0: acc=0.013
first_digit | dummy6_twoknob_c8_u1: acc=0.073
first_digit | dummy6_twoknob_c8_u2: acc=0.160
first_digit | dummy6_twoknob_c8_u4: acc=0.487
first_digit | dummy6_twoknob_c8_u8: acc=0.627
french-english | dummy6_baseline: acc=0.000
french-english | dummy6_twoknob_c0_u0: acc=0.000
french-english | dummy6_twoknob_c0_u1: acc=0.000
french-english | dummy6_twoknob_c0_u2: acc=0.007
french-english | dummy6_twoknob_c0_u4: acc=0.027
french-english | dummy6_twoknob_c0_u8: acc=0.093
french-english | dummy6_twoknob_c1_u0: acc=0.000
french-english | dummy6_twoknob_c1_u1: acc=0.000
french-english | dummy6_twoknob_c1_u2: acc=0.033
french-english | dummy6_twoknob_c1_u4: acc=0.267
french-english | dummy6_twoknob_c1_u8: acc=0.560
french-english | dummy6_twoknob_c2_u0: acc=0.013
french-english | dummy6_twoknob_c2_u1: acc=0.053
french-english | dummy6_twoknob_c2_u2: acc=0.260
french-english | dummy6_twoknob_c2_u4: acc=0.573
french-english | dummy6_twoknob_c2_u8: acc=0.700
french-english | dummy6_twoknob_c4_u0: acc=0.273
french-english | dummy6_twoknob_c4_u1: acc=0.520
french-english | dummy6_twoknob_c4_u2: acc=0.573
french-english | dummy6_twoknob_c4_u4: acc=0.687
french-english | dummy6_twoknob_c4_u8: acc=0.667
french-english | dummy6_twoknob_c8_u0: acc=0.327
french-english | dummy6_twoknob_c8_u1: acc=0.447
french-english | dummy6_twoknob_c8_u2: acc=0.573
french-english | dummy6_twoknob_c8_u4: acc=0.647
french-english | dummy6_twoknob_c8_u8: acc=0.753
german-english | dummy6_baseline: acc=0.000
german-english | dummy6_twoknob_c0_u0: acc=0.000
german-english | dummy6_twoknob_c0_u1: acc=0.000
german-english | dummy6_twoknob_c0_u2: acc=0.000
german-english | dummy6_twoknob_c0_u4: acc=0.033
german-english | dummy6_twoknob_c0_u8: acc=0.047
german-english | dummy6_twoknob_c1_u0: acc=0.000
german-english | dummy6_twoknob_c1_u1: acc=0.007
german-english | dummy6_twoknob_c1_u2: acc=0.040
german-english | dummy6_twoknob_c1_u4: acc=0.247
german-english | dummy6_twoknob_c1_u8: acc=0.513
german-english | dummy6_twoknob_c2_u0: acc=0.013
german-english | dummy6_twoknob_c2_u1: acc=0.067
german-english | dummy6_twoknob_c2_u2: acc=0.233
german-english | dummy6_twoknob_c2_u4: acc=0.540
german-english | dummy6_twoknob_c2_u8: acc=0.627
german-english | dummy6_twoknob_c4_u0: acc=0.273
german-english | dummy6_twoknob_c4_u1: acc=0.520
german-english | dummy6_twoknob_c4_u2: acc=0.707
german-english | dummy6_twoknob_c4_u4: acc=0.707
german-english | dummy6_twoknob_c4_u8: acc=0.760
german-english | dummy6_twoknob_c8_u0: acc=0.347
german-english | dummy6_twoknob_c8_u1: acc=0.500
german-english | dummy6_twoknob_c8_u2: acc=0.540
german-english | dummy6_twoknob_c8_u4: acc=0.693
german-english | dummy6_twoknob_c8_u8: acc=0.747
gerund_to_base | dummy6_baseline: acc=0.000
gerund_to_base | dummy6_twoknob_c0_u0: acc=0.000
gerund_to_base | dummy6_twoknob_c0_u1: acc=0.007
gerund_to_base | dummy6_twoknob_c0_u2: acc=0.007
gerund_to_base | dummy6_twoknob_c0_u4: acc=0.087
gerund_to_base | dummy6_twoknob_c0_u8: acc=0.380
gerund_to_base | dummy6_twoknob_c1_u0: acc=0.000
gerund_to_base | dummy6_twoknob_c1_u1: acc=0.007
gerund_to_base | dummy6_twoknob_c1_u2: acc=0.073
gerund_to_base | dummy6_twoknob_c1_u4: acc=0.587
gerund_to_base | dummy6_twoknob_c1_u8: acc=0.600
gerund_to_base | dummy6_twoknob_c2_u0: acc=0.000
gerund_to_base | dummy6_twoknob_c2_u1: acc=0.167
gerund_to_base | dummy6_twoknob_c2_u2: acc=0.513
gerund_to_base | dummy6_twoknob_c2_u4: acc=0.740
gerund_to_base | dummy6_twoknob_c2_u8: acc=0.733
gerund_to_base | dummy6_twoknob_c4_u0: acc=0.453
gerund_to_base | dummy6_twoknob_c4_u1: acc=0.667
gerund_to_base | dummy6_twoknob_c4_u2: acc=0.813
gerund_to_base | dummy6_twoknob_c4_u4: acc=0.893
gerund_to_base | dummy6_twoknob_c4_u8: acc=0.853
gerund_to_base | dummy6_twoknob_c8_u0: acc=0.473
gerund_to_base | dummy6_twoknob_c8_u1: acc=0.580
gerund_to_base | dummy6_twoknob_c8_u2: acc=0.673
gerund_to_base | dummy6_twoknob_c8_u4: acc=0.827
gerund_to_base | dummy6_twoknob_c8_u8: acc=0.900
hypernym_category | dummy6_baseline: acc=0.000
hypernym_category | dummy6_twoknob_c0_u0: acc=0.000
hypernym_category | dummy6_twoknob_c0_u1: acc=0.000
hypernym_category | dummy6_twoknob_c0_u2: acc=0.000
hypernym_category | dummy6_twoknob_c0_u4: acc=0.047
hypernym_category | dummy6_twoknob_c0_u8: acc=0.027
hypernym_category | dummy6_twoknob_c1_u0: acc=0.000
hypernym_category | dummy6_twoknob_c1_u1: acc=0.000
hypernym_category | dummy6_twoknob_c1_u2: acc=0.080
hypernym_category | dummy6_twoknob_c1_u4: acc=0.287
hypernym_category | dummy6_twoknob_c1_u8: acc=0.193
hypernym_category | dummy6_twoknob_c2_u0: acc=0.000
hypernym_category | dummy6_twoknob_c2_u1: acc=0.007
hypernym_category | dummy6_twoknob_c2_u2: acc=0.153
hypernym_category | dummy6_twoknob_c2_u4: acc=0.400
hypernym_category | dummy6_twoknob_c2_u8: acc=0.253
hypernym_category | dummy6_twoknob_c4_u0: acc=0.007
hypernym_category | dummy6_twoknob_c4_u1: acc=0.040
hypernym_category | dummy6_twoknob_c4_u2: acc=0.213
hypernym_category | dummy6_twoknob_c4_u4: acc=0.320
hypernym_category | dummy6_twoknob_c4_u8: acc=0.393
hypernym_category | dummy6_twoknob_c8_u0: acc=0.000
hypernym_category | dummy6_twoknob_c8_u1: acc=0.033
hypernym_category | dummy6_twoknob_c8_u2: acc=0.040
hypernym_category | dummy6_twoknob_c8_u4: acc=0.200
hypernym_category | dummy6_twoknob_c8_u8: acc=0.413
iso_date_to_month | dummy6_baseline: acc=0.000
iso_date_to_month | dummy6_twoknob_c0_u0: acc=0.000
iso_date_to_month | dummy6_twoknob_c0_u1: acc=0.000
iso_date_to_month | dummy6_twoknob_c0_u2: acc=0.053
iso_date_to_month | dummy6_twoknob_c0_u4: acc=0.020
iso_date_to_month | dummy6_twoknob_c0_u8: acc=0.000
iso_date_to_month | dummy6_twoknob_c1_u0: acc=0.000
iso_date_to_month | dummy6_twoknob_c1_u1: acc=0.007
iso_date_to_month | dummy6_twoknob_c1_u2: acc=0.353
iso_date_to_month | dummy6_twoknob_c1_u4: acc=0.187
iso_date_to_month | dummy6_twoknob_c1_u8: acc=0.013
iso_date_to_month | dummy6_twoknob_c2_u0: acc=0.000
iso_date_to_month | dummy6_twoknob_c2_u1: acc=0.027
iso_date_to_month | dummy6_twoknob_c2_u2: acc=0.553
iso_date_to_month | dummy6_twoknob_c2_u4: acc=0.360
iso_date_to_month | dummy6_twoknob_c2_u8: acc=0.100
iso_date_to_month | dummy6_twoknob_c4_u0: acc=0.000
iso_date_to_month | dummy6_twoknob_c4_u1: acc=0.160
iso_date_to_month | dummy6_twoknob_c4_u2: acc=0.407
iso_date_to_month | dummy6_twoknob_c4_u4: acc=0.560
iso_date_to_month | dummy6_twoknob_c4_u8: acc=0.387
iso_date_to_month | dummy6_twoknob_c8_u0: acc=0.007
iso_date_to_month | dummy6_twoknob_c8_u1: acc=0.093
iso_date_to_month | dummy6_twoknob_c8_u2: acc=0.113
