animal_class | dummy6_twoknob_c4_u4: acc=0.513
animal_class | dummy6_twoknob_c4_u8: acc=0.380
animal_class | dummy6_twoknob_c8_u0: acc=0.007
animal_class | dummy6_twoknob_c8_u1: acc=0.080
animal_class | dummy6_twoknob_c8_u2: acc=0.133
animal_class | dummy6_twoknob_c8_u4: acc=0.427
animal_class | dummy6_twoknob_c8_u8: acc=0.447
antonym | dummy6_baseline: acc=0.000
antonym | dummy6_twoknob_c0_u0: acc=0.000
antonym | dummy6_twoknob_c0_u1: acc=0.000
antonym | dummy6_twoknob_c0_u2: acc=0.000
antonym | dummy6_twoknob_c0_u4: acc=0.027
antonym | dummy6_twoknob_c0_u8: acc=0.187
antonym | dummy6_twoknob_c1_u0: acc=0.000
antonym | dummy6_twoknob_c1_u1: acc=0.000
antonym | dummy6_twoknob_c1_u2: acc=0.007
antonym | dummy6_twoknob_c1_u4: acc=0.287
antonym | dummy6_twoknob_c1_u8: acc=0.280
antonym | dummy6_twoknob_c2_u0: acc=0.000
antonym | dummy6_twoknob_c2_u1: acc=0.000
antonym | dummy6_twoknob_c2_u2: acc=0.053
antonym | dummy6_twoknob_c2_u4: acc=0.347
antonym | dummy6_twoknob_c2_u8: acc=0.360
antonym | dummy6_twoknob_c4_u0: acc=0.007
antonym | dummy6_twoknob_c4_u1: acc=0.020
antonym | dummy6_twoknob_c4_u2: acc=0.093
antonym | dummy6_twoknob_c4_u4: acc=0.273
antonym | dummy6_twoknob_c4_u8: acc=0.353
antonym | dummy6_twoknob_c8_u0: acc=0.000
antonym | dummy6_twoknob_c8_u1: acc=0.013
antonym | dummy6_twoknob_c8_u2: acc=0.020
antonym | dummy6_twoknob_c8_u4: acc=0.060
antonym | dummy6_twoknob_c8_u8: acc=0.220
capitalize | dummy6_baseline: acc=0.000
capitalize | dummy6_twoknob_c0_u0: acc=0.000
capitalize | dummy6_twoknob_c0_u1: acc=0.000
capitalize | dummy6_twoknob_c0_u2: acc=0.020
capitalize | dummy6_twoknob_c0_u4: acc=0.220
capitalize | dummy6_twoknob_c0_u8: acc=0.313
capitalize | dummy6_twoknob_c1_u0: acc=0.000
capitalize | dummy6_twoknob_c1_u1: acc=0.033
capitalize | dummy6_twoknob_c1_u2: acc=0.300
capitalize | dummy6_twoknob_c1_u4: acc=0.673
capitalize | dummy6_twoknob_c1_u8: acc=0.600
capitalize | dummy6_twoknob_c2_u0: acc=0.000
capitalize | dummy6_twoknob_c2_u1: acc=0.187
capitalize | dummy6_twoknob_c2_u2: acc=0.707
capitalize | dummy6_twoknob_c2_u4: acc=0.827
capitalize | dummy6_twoknob_c2_u8: acc=0.807
capitalize | dummy6_twoknob_c4_u0: acc=0.013
capitalize | dummy6_twoknob_c4_u1: acc=0.120
capitalize | dummy6_twoknob_c4_u2: acc=0.747
capitalize | dummy6_twoknob_c4_u4: acc=0.900
capitalize | dummy6_twoknob_c4_u8: acc=0.907
capitalize | dummy6_twoknob_c8_u0: acc=0.007
capitalize | dummy6_twoknob_c8_u1: acc=0.007
capitalize | dummy6_twoknob_c8_u2: acc=0.113
capitalize | dummy6_twoknob_c8_u4: acc=0.707
capitalize | dummy6_twoknob_c8_u8: acc=0.940
city-country | dummy6_baseline: acc=0.000
city-country | dummy6_twoknob_c0_u0: acc=0.000
city-country | dummy6_twoknob_c0_u1: acc=0.000
city-country | dummy6_twoknob_c0_u2: acc=0.093
city-country | dummy6_twoknob_c0_u4: acc=0.133
city-country | dummy6_twoknob_c0_u8: acc=0.027
city-country | dummy6_twoknob_c1_u0: acc=0.000
city-country | dummy6_twoknob_c1_u1: acc=0.020
city-country | dummy6_twoknob_c1_u2: acc=0.513
city-country | dummy6_twoknob_c1_u4: acc=0.473
city-country | dummy6_twoknob_c1_u8: acc=0.153
city-country | dummy6_twoknob_c2_u0: acc=0.007
city-country | dummy6_twoknob_c2_u1: acc=0.113
city-country | dummy6_twoknob_c2_u2: acc=0.640
city-country | dummy6_twoknob_c2_u4: acc=0.660
city-country | dummy6_twoknob_c2_u8: acc=0.393
city-country | dummy6_twoknob_c4_u0: acc=0.027
city-country | dummy6_twoknob_c4_u1: acc=0.420
city-country | dummy6_twoknob_c4_u2: acc=0.613
city-country | dummy6_twoknob_c4_u4: acc=0.713
city-country | dummy6_twoknob_c4_u8: acc=0.660
city-country | dummy6_twoknob_c8_u0: acc=0.073
city-country | dummy6_twoknob_c8_u1: acc=0.160
city-country | dummy6_twoknob_c8_u2: acc=0.313
city-country | dummy6_twoknob_c8_u4: acc=0.620
city-country | dummy6_twoknob_c8_u8: acc=0.733
concrete_abstract | dummy6_baseline: acc=0.000
concrete_abstract | dummy6_twoknob_c0_u0: acc=0.000
concrete_abstract | dummy6_twoknob_c0_u1: acc=0.000
concrete_abstract | dummy6_twoknob_c0_u2: acc=0.013
concrete_abstract | dummy6_twoknob_c0_u4: acc=0.067
concrete_abstract | dummy6_twoknob_c0_u8: acc=0.107
concrete_abstract | dummy6_twoknob_c1_u0: acc=0.000
concrete_abstract | dummy6_twoknob_c1_u1: acc=0.000
concrete_abstract | dummy6_twoknob_c1_u2: acc=0.113
concrete_abstract | dummy6_twoknob_c1_u4: acc=0.227
concrete_abstract | dummy6_twoknob_c1_u8: acc=0.160
concrete_abstract | dummy6_twoknob_c2_u0: acc=0.000
concrete_abstract | dummy6_twoknob_c2_u1: acc=0.000
concrete_abstract | dummy6_twoknob_c2_u2: acc=0.187
concrete_abstract | dummy6_twoknob_c2_u4: acc=0.213
concrete_abstract | dummy6_twoknob_c2_u8: acc=0.180
concrete_abstract | dummy6_twoknob_c4_u0: acc=0.000
concrete_abstract | dummy6_twoknob_c4_u1: acc=0.007
concrete_abstract | dummy6_twoknob_c4_u2: acc=0.073
concrete_abstract | dummy6_twoknob_c4_u4: acc=0.307
concrete_abstract | dummy6_twoknob_c4_u8: acc=0.253
concrete_abstract | dummy6_twoknob_c8_u0: acc=0.000
concrete_abstract | dummy6_twoknob_c8_u1: acc=0.000
concrete_abstract | dummy6_twoknob_c8_u2: acc=0.000
concrete_abstract | dummy6_twoknob_c8_u4: acc=0.100
concrete_abstract | dummy6_twoknob_c8_u8: acc=0.247
country-capital | dummy6_baseline: acc=0.000
country-capital | dummy6_twoknob_c0_u0: acc=0.000
country-capital | dummy6_twoknob_c0_u1: acc=0.007
country-capital | dummy6_twoknob_c0_u2: acc=0.360
country-capital | dummy6_twoknob_c0_u4: acc=0.433
country-capital | dummy6_twoknob_c0_u8: acc=0.193
country-capital | dummy6_twoknob_c1_u0: acc=0.000
country-capital | dummy6_twoknob_c1_u1: acc=0.213
country-capital | dummy6_twoknob_c1_u2: acc=0.693
country-capital | dummy6_twoknob_c1_u4: acc=0.707
country-capital | dummy6_twoknob_c1_u8: acc=0.587
country-capital | dummy6_twoknob_c2_u0: acc=0.000
country-capital | dummy6_twoknob_c2_u1: acc=0.133
country-capital | dummy6_twoknob_c2_u2: acc=0.673
country-capital | dummy6_twoknob_c2_u4: acc=0.727
country-capital | dummy6_twoknob_c2_u8: acc=0.687
country-capital | dummy6_twoknob_c4_u0: acc=0.007
country-capital | dummy6_twoknob_c4_u1: acc=0.073
country-capital | dummy6_twoknob_c4_u2: acc=0.633
country-capital | dummy6_twoknob_c4_u4: acc=0.680
country-capital | dummy6_twoknob_c4_u8: acc=0.753
country-capital | dummy6_twoknob_c8_u0: acc=0.013
country-capital | dummy6_twoknob_c8_u1: acc=0.040
country-capital | dummy6_twoknob_c8_u2: acc=0.167
country-capital | dummy6_twoknob_c8_u4: acc=0.640
country-capital | dummy6_twoknob_c8_u8: acc=0.760
ends_with_ing | dummy6_baseline: acc=0.000
ends_with_ing | dummy6_twoknob_c0_u0: acc=0.000
ends_with_ing | dummy6_twoknob_c0_u1: acc=0.000
ends_with_ing | dummy6_twoknob_c0_u2: acc=0.047
ends_with_ing | dummy6_twoknob_c0_u4: acc=0.187
ends_with_ing | dummy6_twoknob_c0_u8: acc=0.120
ends_with_ing | dummy6_twoknob_c1_u0: acc=0.000
ends_with_ing | dummy6_twoknob_c1_u1: acc=0.013
ends_with_ing | dummy6_twoknob_c1_u2: acc=0.253
ends_with_ing | dummy6_twoknob_c1_u4: acc=0.353
ends_with_ing | dummy6_twoknob_c1_u8: acc=0.253
ends_with_ing | dummy6_twoknob_c2_u0: acc=0.000
ends_with_ing | dummy6_twoknob_c2_u1: acc=0.000
ends_with_ing | dummy6_twoknob_c2_u2: acc=0.193
ends_with_ing | dummy6_twoknob_c2_u4: acc=0.380
ends_with_ing | dummy6_twoknob_c2_u8: acc=0.300
ends_with_ing | dummy6_twoknob_c4_u0: acc=0.000
ends_with_ing | dummy6_twoknob_c4_u1: acc=0.007
ends_with_ing | dummy6_twoknob_c4_u2: acc=0.113
ends_with_ing | dummy6_twoknob_c4_u4: acc=0.413
ends_with_ing | dummy6_twoknob_c4_u8: acc=0.380
ends_with_ing | dummy6_twoknob_c8_u0: acc=0.000
ends_with_ing | dummy6_twoknob_c8_u1: acc=0.000
ends_with_ing | dummy6_twoknob_c8_u2: acc=0.013
ends_with_ing | dummy6_twoknob_c8_u4: acc=0.193
ends_with_ing | dummy6_twoknob_c8_u8: acc=0.347
english-italian | dummy6_baseline: acc=0.000
english-italian | dummy6_twoknob_c0_u0: acc=0.000
english-italian | dummy6_twoknob_c0_u1: acc=0.000
english-italian | dummy6_twoknob_c0_u2: acc=0.000
english-italian | dummy6_twoknob_c0_u4: acc=0.000
english-italian | dummy6_twoknob_c0_u8: acc=0.000
english-italian | dummy6_twoknob_c1_u0: acc=0.000
english-italian | dummy6_twoknob_c1_u1: acc=0.000
english-italian | dummy6_twoknob_c1_u2: acc=0.167
english-italian | dummy6_twoknob_c1_u4: acc=0.380
english-italian | dummy6_twoknob_c1_u8: acc=0.067
english-italian | dummy6_twoknob_c2_u0: acc=0.000
english-italian | dummy6_twoknob_c2_u1: acc=0.013
english-italian | dummy6_twoknob_c2_u2: acc=0.433
english-italian | dummy6_twoknob_c2_u4: acc=0.587
english-italian | dummy6_twoknob_c2_u8: acc=0.400
english-italian | dummy6_twoknob_c4_u0: acc=0.000
english-italian | dummy6_twoknob_c4_u1: acc=0.000
english-italian | dummy6_twoknob_c4_u2: acc=0.240
english-italian | dummy6_twoknob_c4_u4: acc=0.533
english-italian | dummy6_twoknob_c4_u8: acc=0.547
english-italian | dummy6_twoknob_c8_u0: acc=0.000
english-italian | dummy6_twoknob_c8_u1: acc=0.000
english-italian | dummy6_twoknob_c8_u2: acc=0.000
english-italian | dummy6_twoknob_c8_u4: acc=0.147
english-italian | dummy6_twoknob_c8_u8: acc=0.567
english-spanish | dummy6_baseline: acc=0.000
english-spanish | dummy6_twoknob_c0_u0: acc=0.000
english-spanish | dummy6_twoknob_c0_u1: acc=0.000
english-spanish | dummy6_twoknob_c0_u2: acc=0.007
english-spanish | dummy6_twoknob_c0_u4: acc=0.000
english-spanish | dummy6_twoknob_c0_u8: acc=0.000
english-spanish | dummy6_twoknob_c1_u0: acc=0.000
english-spanish | dummy6_twoknob_c1_u1: acc=0.000
english-spanish | dummy6_twoknob_c1_u2: acc=0.113
english-spanish | dummy6_twoknob_c1_u4: acc=0.347
english-spanish | dummy6_twoknob_c1_u8: acc=0.033
english-spanish | dummy6_twoknob_c2_u0: acc=0.000
english-spanish | dummy6_twoknob_c2_u1: acc=0.007
