task,group,icl_index,split,row_index,pc1,pc2,pc3
ag_news,train,1,train,0,-1.91834,-2.21249,-6.60163
ag_news,train,1,train,1,-3.06098,-5.18056,-3.88733
ag_news,train,1,train,2,-1.49307,-1.3098,-7.73873
ag_news,train,1,train,3,-3.49327,-5.85998,-4.66865
ag_news,train,1,train,4,-1.56429,-2.42495,-5.48701
ag_news,train,1,train,5,-2.62699,0.370094,-6.44944
ag_news,train,1,train,6,-4.47289,-8.07569,-3.66647
ag_news,train,1,train,7,-6.66064,-8.4931,-3.72807
ag_news,train,1,train,8,-1.61029,-1.05509,-8.2991
ag_news,train,1,train,9,-4.80309,-7.97229,-3.38177
ag_news,train,1,train,10,-0.3075,-3.88843,-9.13995
ag_news,train,1,train,11,-1.97362,-1.46349,-6.5126
ag_news,train,1,train,12,-1.97407,-1.46131,-6.51224
ag_news,train,1,train,13,-5.3911,-7.54363,-4.0067
ag_news,train,1,train,14,-1.34437,-2.16725,-7.72441
ag_news,train,1,train,15,-1.45982,0.149356,-6.25975
ag_news,train,1,train,16,-2.00536,-0.0761733,-6.74396
ag_news,train,1,train,17,-0.702009,1.26984,-6.18367
ag_news,train,1,train,18,-2.65726,-1.08773,-6.95615
ag_news,train,1,train,19,-0.119343,-1.157,-5.82703
ag_news,train,1,train,20,-0.281986,0.412277,-4.34001
ag_news,train,1,train,21,-1.41981,-1.60325,-4.53759
ag_news,train,1,train,22,-4.20012,-5.57741,-3.2967
ag_news,train,1,train,23,-1.39447,-1.07183,-4.76473
ag_news,train,1,train,24,-1.92266,-0.968368,-5.89902
ag_news,train,1,train,25,-3.10238,-4.55673,-8.16929
ag_news,train,1,train,26,-4.02855,-2.86314,-7.5506
ag_news,train,1,train,27,-0.975241,-1.34381,-8.10838
ag_news,train,1,train,28,-0.440755,-0.475014,-5.3515
ag_news,train,1,train,29,-3.66948,-5.53609,-4.55093
ag_news,train,1,train,30,-6.58346,-8.99708,-3.44493
ag_news,train,1,train,31,-3.57041,-3.29556,-6.99268
ag_news,train,1,train,32,-4.96115,-8.64807,-4.15744
ag_news,train,1,train,33,-3.28594,-2.98172,-7.65645
ag_news,train,1,train,34,-2.235,-1.56145,-5.93665
ag_news,train,1,train,35,-1.0509,-1.88172,-8.03428
ag_news,train,1,train,36,-2.48744,-1.59997,-6.60343
ag_news,train,1,train,37,-2.75155,-1.22381,-6.60276
ag_news,train,1,train,38,-0.319335,-0.900343,-3.94753
ag_news,train,1,train,39,-1.51993,0.348451,-5.2635
ag_news,train,1,train,40,-0.959127,-1.92152,-5.60709
ag_news,train,1,train,41,-4.539,-8.35466,-3.74491
ag_news,train,1,train,42,-4.67988,-8.46688,-4.66263
ag_news,train,1,train,43,-0.588472,-0.537844,-8.36824
ag_news,train,1,train,44,-3.81867,-7.39025,-4.54832
ag_news,train,1,train,45,-1.53824,-1.05262,-4.95798
ag_news,train,1,train,46,-3.73818,-3.75333,-2.85195
ag_news,train,1,train,47,-1.18834,-2.29466,-7.83771
ag_news,train,1,train,48,-5.89203,-9.30745,-4.41385
ag_news,train,1,train,49,-2.23197,-0.98517,-4.34763
ag_news,train,1,train,50,-2.15132,-1.68067,-6.50766
ag_news,train,1,train,51,-0.807184,-1.48966,-5.18945
ag_news,train,1,train,52,-0.956857,-0.552763,-8.27569
ag_news,train,1,train,53,-1.01294,0.870861,-7.26314
ag_news,train,1,train,54,-5.00642,-6.33557,-2.96911
ag_news,train,1,train,55,-1.47654,-0.965815,-4.57403
ag_news,train,1,train,56,-6.46943,-6.5398,-1.4468
ag_news,train,1,train,57,-0.798068,-0.253922,-4.93695
ag_news,train,1,train,58,-2.37917,-1.40341,-4.68314
ag_news,train,1,train,59,-1.30529,-2.93787,-4.5022
ag_news,train,1,train,60,-1.15267,-0.990207,-7.90202
ag_news,train,1,train,61,-0.643618,-0.94587,-6.04478
ag_news,train,1,train,62,-1.02297,-0.536509,-7.13335
ag_news,train,1,train,63,-0.740876,-1.4709,-8.72792
ag_news,train,1,train,64,-1.51214,-1.34387,-8.35932
ag_news,train,1,train,65,-2.15357,-2.76514,-7.80132
ag_news,train,1,train,66,-1.92711,-0.270451,-8.08154
ag_news,train,1,train,67,-4.74914,-5.96686,-2.82086
ag_news,train,1,train,68,-5.22104,-5.81491,-3.14499
ag_news,train,1,train,69,-0.871009,-1.42882,-4.75698
ag_news,train,1,train,70,-2.21212,-2.13808,-7.07983
ag_news,train,1,train,71,-1.41394,0.29731,-5.3442
