protocol,carrier_pool,block,lambda,rotation_pooled_r2,rotscale_pooled_r2,rot_scale,pooled_r2,coord_r2,pooled_r2_trainref,perprompt_coord_r2,trainmean_pooled_r2,n_train,n_test
T_task_uA,all,5-7,0.01,0.4566,0.5878,1.6568,0.641,0.5787,0.6687,,-0.0835,55,14
T_task_uA,train,5-7,0.01,0.4567,0.5878,1.6565,0.6409,0.5785,0.6685,,-0.0835,55,14
P_perprompt_raw,none,6,10000.0,,,,0.6332,0.5768,0.6615,0.3838,-0.0835,55,14
