property,L_alt,L_nat,alpha_alt,alpha_nat,cf_alt,cf_nat,reference_alt,reference_alt_unscorable,reference_nat,reference_nat_unscorable,steered_alt,steered_alt_conditional,steered_alt_incoherent,steered_alt_n,steered_alt_unscorable,steered_nat,steered_nat_conditional,steered_nat_incoherent,steered_nat_n,steered_nat_unscorable,unsteered_alt,unsteered_nat
all_caps,24,8,8.0,32.0,0.0,0.563,0.936,0.016,1.0,0.0,0.19,0.199,0.101,199,0.045,0.969,0.974,0.015,199,0.005,0.01,0.419
ampersand,20,20,32.0,32.0,0.0,0.0,0.128,0.761,0.333,0.667,0.986,0.986,0.028,144,0.0,1.0,1.0,0.014,144,0.0,0.0,0.348
contractions,6,16,0.5,32.0,0.063,0.05,0.12,0.78,0.16,0.83,0.092,0.64,0.006,174,0.855,0.139,0.889,0.006,174,0.844,0.081,0.069
curly_quotes,24,24,16.0,32.0,0.013,0.123,0.308,0.674,0.316,0.684,0.353,0.579,0.066,167,0.391,0.925,0.993,0.048,167,0.069,0.006,0.072
double_space,16,8,16.0,16.0,0.0,0.0,0.658,0.196,0.722,0.278,0.683,0.777,0.005,200,0.121,0.884,1.0,0.01,200,0.116,0.0,0.9
em_dash,24,24,32.0,16.0,0.0,0.0,0.464,0.536,0.473,0.527,0.854,1.0,0.101,99,0.146,0.835,1.0,0.081,99,0.165,0.012,0.035
num_words,20,20,32.0,32.0,0.0,0.0,0.4,0.553,0.235,0.729,0.741,0.857,0.0,81,0.136,0.512,0.891,0.012,81,0.425,0.074,0.148
ordinal_words,20,8,32.0,1.0,0.062,0.0,0.169,0.831,0.169,0.759,0.378,1.0,0.035,200,0.622,0.0,0.0,0.005,200,0.884,0.115,0.01
oxford_comma,24,16,32.0,16.0,0.0,0.0,0.5,0.455,0.591,0.364,0.94,0.984,0.0,67,0.045,0.657,0.978,0.0,67,0.328,0.134,0.485
percent_sign,10,4,8.0,32.0,0.0,0.0,0.695,0.288,0.831,0.169,0.933,0.933,0.0,104,0.0,0.951,0.961,0.01,104,0.01,0.077,0.437
quote_punct,20,16,16.0,2.0,0.024,0.76,0.796,0.053,0.965,0.035,1.0,1.0,0.024,125,0.0,0.926,0.991,0.024,125,0.066,0.017,0.902
sentence_caps,16,2,4.0,16.0,0.147,0.26,0.702,0.03,0.965,0.03,0.214,0.227,0.04,200,0.057,0.943,0.979,0.03,200,0.036,0.0,0.862
us_uk,20,12,1.0,0.25,0.022,0.161,0.15,0.833,0.233,0.767,0.021,0.107,0.0,146,0.808,0.181,1.0,0.014,146,0.819,0.017,0.22
