condition,task_group,mean_acc,median_acc,mean_uplift
unsteered,train,0.0006,0.0,0.0
unsteered,heldout,0.0024,0.0,0.0
unsteered,all,0.001,0.0,0.0
zero_shot,train,0.0019,0.0,0.0013
zero_shot,heldout,0.001,0.0,-0.0014
zero_shot,all,0.0017,0.0,0.0008
real_1shot,train,0.2082,0.1867,0.2076
real_1shot,heldout,0.2071,0.2,0.2048
real_1shot,all,0.208,0.1867,0.207
headsum_L3sel@L3,train,0.0472,0.02,0.0465
headsum_L3sel@L3,heldout,0.0624,0.02,0.06
headsum_L3sel@L3,all,0.0502,0.02,0.0493
headsum_L3sel@L7,train,0.0381,0.0067,0.0375
headsum_L3sel@L7,heldout,0.0476,0.0133,0.0452
headsum_L3sel@L7,all,0.04,0.0133,0.039
headsum_L7sel@L3,train,0.0468,0.0267,0.0462
headsum_L7sel@L3,heldout,0.0667,0.03,0.0643
headsum_L7sel@L3,all,0.0508,0.0267,0.0499
headsum_L7sel@L7,train,0.0442,0.02,0.0436
headsum_L7sel@L7,heldout,0.0733,0.0333,0.0709
headsum_L7sel@L7,all,0.0501,0.02,0.0492
meandiff@L3,train,0.0864,0.06,0.0858
meandiff@L3,heldout,0.0638,0.0333,0.0614
meandiff@L3,all,0.0818,0.06,0.0809
meandiff@L7,train,0.0727,0.04,0.0721
meandiff@L7,heldout,0.1095,0.0367,0.1071
meandiff@L7,all,0.0802,0.04,0.0792
rawmean@L3,train,0.0938,0.0533,0.0932
rawmean@L3,heldout,0.0957,0.06,0.0933
rawmean@L3,all,0.0942,0.0533,0.0932
rawmean@L7,train,0.1129,0.06,0.1122
rawmean@L7,heldout,0.1538,0.06,0.1514
rawmean@L7,all,0.1212,0.06,0.1202
