alpha,task_group,cos_task_raw,cos_gen_raw,d_cos_task,d_cos_gen,proj_task_raw,proj_gen_raw,d_proj_task,d_proj_gen
0.0,train,0.39163,0.46575,0.0,0.0,93.76114,111.42285,0.0,0.0
0.0,heldout,0.38668,0.46808,0.0,0.0,92.93639,112.4286,0.0,0.0
0.0,all,0.39065,0.46621,0.0,0.0,93.59791,111.6219,0.0,0.0
0.5,train,0.41711,0.47363,0.02548,0.00788,100.43632,113.86549,6.67517,2.44264
0.5,heldout,0.40908,0.47338,0.0224,0.0053,99.13757,114.51187,6.20119,2.08327
0.5,all,0.41552,0.47358,0.02487,0.00737,100.17927,113.99342,6.58136,2.37152
1.0,train,0.4575,0.48784,0.06587,0.02209,111.80521,118.85425,18.04406,7.4314
1.0,heldout,0.44658,0.48593,0.0599,0.01785,109.2526,118.46018,16.31622,6.03158
1.0,all,0.45534,0.48746,0.06469,0.02125,111.3,118.77626,17.70209,7.15436
2.0,train,0.48252,0.49714,0.09089,0.0314,120.9432,124.10107,27.18206,12.67822
2.0,heldout,0.47072,0.49261,0.08405,0.02453,116.85084,121.87108,23.91446,9.44249
2.0,all,0.48019,0.49625,0.08953,0.03004,120.13325,123.65972,26.53534,12.03782
4.0,train,0.48289,0.49949,0.09126,0.03374,120.76799,124.48149,27.00684,13.05865
4.0,heldout,0.47439,0.49954,0.08772,0.03146,117.55548,123.473,24.61909,11.04441
4.0,all,0.48121,0.4995,0.09056,0.03329,120.13218,124.2819,26.53427,12.66
