task,group,d_cos_task_a0.0,d_cos_task_a0.5,d_cos_task_a1.0,d_cos_task_a2.0,d_cos_task_a4.0,d_cos_gen_a0.0,d_cos_gen_a0.5,d_cos_gen_a1.0,d_cos_gen_a2.0,d_cos_gen_a4.0,d_proj_task_a0.0,d_proj_task_a0.5,d_proj_task_a1.0,d_proj_task_a2.0,d_proj_task_a4.0,d_proj_gen_a0.0,d_proj_gen_a0.5,d_proj_gen_a1.0,d_proj_gen_a2.0,d_proj_gen_a4.0
adjective_to_adverb,train,0.0,0.0425,0.10657,0.11158,0.10184,0.0,0.02791,0.06866,0.0634,0.06136,0.0,10.34562,26.34905,31.78599,25.53953,0.0,6.83588,17.20535,20.2682,15.77399
adjective_to_noun,train,0.0,0.02583,0.08301,0.11068,0.11712,0.0,0.01642,0.05803,0.07138,0.08067,0.0,7.49981,24.11617,34.7364,40.08976,0.0,5.38544,18.42368,25.6701,31.93985
adverb_to_adjective,train,0.0,0.04404,0.09415,0.10469,0.10427,0.0,0.03438,0.07234,0.07671,0.08272,0.0,14.4299,34.9546,43.73484,42.78217,0.0,12.36514,30.15376,37.41805,38.17122
ag_news,train,0.0,0.03201,0.10019,0.1209,0.11724,0.0,0.00543,0.01503,0.02687,0.03285,0.0,8.21178,31.1227,40.33754,36.06376,0.0,2.46606,12.28638,19.33217,17.42855
agent_noun_to_verb,train,0.0,0.02702,0.09094,0.12289,0.11833,0.0,0.01393,0.04931,0.06506,0.06469,0.0,6.62547,24.25745,39.14934,39.51816,0.0,3.45946,14.26118,25.23854,26.72258
animal_class,train,0.0,0.05359,0.11341,0.13399,0.12526,0.0,0.02514,0.07212,0.08929,0.08219,0.0,14.61713,32.01171,42.00623,38.5107,0.0,7.6039,21.7475,30.71896,27.68242
animal_plant_object,train,0.0,0.06612,0.13236,0.16012,0.14757,0.0,0.03645,0.08454,0.10303,0.08937,0.0,16.86234,35.54075,46.9322,43.38851,0.0,9.56409,23.72121,32.62955,28.80968
antonym,train,0.0,0.02346,0.0622,0.08022,0.08914,0.0,0.01495,0.03807,0.04718,0.05804,0.0,8.05206,23.77754,34.56036,39.26294,0.0,6.12175,18.1439,26.70649,31.95144
article_choice,train,0.0,0.04905,0.08775,0.1038,0.10957,0.0,0.02583,0.03801,0.04257,0.05404,0.0,9.52569,18.12169,23.00774,21.317,0.0,3.65105,5.88664,8.05151,7.6931
capitalize,train,0.0,0.01879,0.07511,0.11955,0.12302,0.0,0.01121,0.05396,0.08545,0.08382,0.0,6.49937,23.12714,39.19802,38.98469,0.0,4.88452,18.37077,31.37537,29.76614
capitalize_first_letter,train,0.0,0.02358,0.05345,0.08688,0.08608,0.0,-0.00388,-0.00685,0.016,0.01442,0.0,6.03812,12.62738,19.42534,17.29833,0.0,-0.58505,-2.12118,2.00568,-0.45821
city-country,train,0.0,0.00455,0.03218,0.04122,0.02819,0.0,-0.01688,-0.00231,0.0039,-0.00652,0.0,2.88376,13.72032,17.33493,12.32269,0.0,-2.5097,4.83315,7.65504,3.38507
commonsense_qa,train,0.0,0.0109,0.02363,0.0321,0.03815,0.0,-0.00423,-0.01016,-0.01736,-0.01464,0.0,3.53934,5.91573,9.70628,11.73418,0.0,-0.11813,-2.09415,-2.28238,-1.15688
compound_first,train,0.0,0.01147,0.0473,0.08047,0.09583,0.0,0.00747,0.03175,0.0541,0.07441,0.0,3.40469,13.14872,25.754,32.44691,0.0,2.50156,9.50179,19.71722,27.87184
compound_head,train,0.0,0.03106,0.06814,0.07734,0.09108,0.0,0.01875,0.02583,0.02603,0.05097,0.0,8.15754,17.22354,20.70738,26.16492,0.0,5.22638,6.89698,8.21915,16.58572
concrete_abstract,train,0.0,0.05611,0.11997,0.1596,0.16436,0.0,0.0299,0.05848,0.08702,0.10058,0.0,13.2513,33.05355,47.17464,46.1767,0.0,6.69651,18.12222,29.62444,30.79885
contains_letter_e,heldout,0.0,0.02835,0.06343,0.11283,0.12557,0.0,0.01566,0.03061,0.04442,0.04353,0.0,6.63445,15.22829,28.66661,30.9968,0.0,3.55356,7.33532,12.28631,11.30566
count_digits,heldout,0.0,0.01977,0.04728,0.06093,0.0823,0.0,0.01452,0.02978,0.01208,0.03236,0.0,5.36756,11.81487,16.62766,22.68019,0.0,4.35963,7.92547,5.59151,11.53233
count_words,train,0.0,0.01212,0.04071,0.08765,0.09257,0.0,0.00777,0.02003,0.03756,0.03776,0.0,2.60432,9.19701,19.78307,20.74189,0.0,1.55572,4.31629,8.00475,7.86379
country-capital,train,0.0,-0.04675,-0.01872,0.00492,0.00949,0.0,-0.11969,-0.09728,-0.07397,-0.06802,0.0,-5.52711,1.72012,11.24953,11.94194,0.0,-24.46816,-18.69883,-9.24582,-8.14973
day_after_textual_date,train,0.0,0.02492,0.07629,0.14657,0.11886,0.0,0.0305,0.06728,0.11088,0.10913,0.0,6.02309,15.15961,30.04589,23.01021,0.0,7.37192,12.37925,20.80936,19.73938
double_no_carry,heldout,0.0,0.0023,0.02663,0.06151,0.07459,0.0,0.00018,0.02178,0.04416,0.05473,0.0,1.7716,3.91434,10.82291,16.50533,0.0,1.549,2.29977,6.16724,11.6989
double_number,train,0.0,0.00055,0.02706,0.05063,0.04665,0.0,0.00061,0.01723,0.01441,0.00083,0.0,-0.1311,0.83735,2.2867,5.31594,0.0,-0.1799,-2.69118,-7.7179,-6.30437
ends_with_ing,train,0.0,0.03171,0.06782,0.11579,0.12557,0.0,0.01711,0.0304,0.04277,0.04061,0.0,7.41026,16.40115,29.6882,30.79819,0.0,3.88326,7.44952,12.225,10.42699
