property,unsteered_alt,reference_alt,unsteered_nat,reference_nat,meanact__k2__succno::steered_alt,meanact__k2__succno::steered_nat,meanact__k2__succyes::steered_alt,meanact__k2__succyes::steered_nat,meanact__kall__succno::steered_alt,meanact__kall__succno::steered_nat,meanact__kall__succyes::steered_alt,meanact__kall__succyes::steered_nat,meandiff_paired__k2__succno::steered_alt,meandiff_paired__k2__succno::steered_nat,meandiff_paired__k2__succyes::steered_alt,meandiff_paired__k2__succyes::steered_nat,meandiff_paired__kall__succno::steered_alt,meandiff_paired__kall__succno::steered_nat,meandiff_paired__kall__succyes::steered_alt,meandiff_paired__kall__succyes::steered_nat,meandiff_unpaired__k2__succno::steered_alt,meandiff_unpaired__k2__succno::steered_nat,meandiff_unpaired__k2__succyes::steered_alt,meandiff_unpaired__k2__succyes::steered_nat,meandiff_unpaired__kall__succno::steered_alt,meandiff_unpaired__kall__succno::steered_nat,meandiff_unpaired__kall__succyes::steered_alt,meandiff_unpaired__kall__succyes::steered_nat
all_caps,0.01,0.88,0.377,0.99,0.166,0.96,0.166,0.96,0.171,0.955,0.166,0.955,0.422,0.945,0.412,0.935,0.372,0.95,0.442,0.945,0.422,0.945,0.447,0.95,0.372,0.95,0.437,0.94
ampersand,0.0,0.12,0.326,0.325,0.965,0.965,0.944,0.889,0.958,0.986,0.931,0.889,0.979,0.986,0.972,0.993,0.979,0.979,0.979,0.993,0.979,0.986,0.972,0.993,0.979,0.979,0.979,0.979
contractions,0.08,0.12,0.069,0.16,0.098,0.121,0.046,0.086,0.092,0.138,0.046,0.144,0.782,0.167,0.511,0.149,0.649,0.224,0.466,0.155,0.782,0.167,0.471,0.121,0.649,0.224,0.437,0.161
curly_quotes,0.006,0.306,0.072,0.312,0.485,0.946,0.06,0.79,0.329,0.88,0.06,0.844,0.048,0.611,0.084,0.611,0.018,0.611,0.078,0.593,0.048,0.611,0.06,0.605,0.018,0.611,0.024,0.635
double_space,0.0,0.655,0.9,0.715,0.84,0.855,0.84,0.885,0.68,0.875,0.845,0.88,0.91,0.9,0.905,0.905,0.975,0.905,0.905,0.9,0.91,0.9,0.905,0.925,0.975,0.905,0.98,0.955
em_dash,0.01,0.433,0.03,0.433,0.889,0.667,1.0,0.939,0.768,0.768,1.0,0.939,1.0,1.0,0.99,1.0,1.0,0.97,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.97,0.99,1.0
num_words,0.074,0.4,0.148,0.235,0.765,0.531,0.827,0.605,0.741,0.506,0.877,0.58,0.864,0.642,0.938,0.679,0.864,0.519,0.938,0.691,0.864,0.642,0.951,0.642,0.864,0.519,0.963,0.654
ordinal_words,0.115,0.169,0.01,0.169,0.64,0.0,0.84,0.11,0.365,0.0,0.675,0.105,0.65,0.025,0.815,0.045,0.545,0.1,0.815,0.045,0.65,0.025,0.915,0.085,0.545,0.1,0.905,0.105
oxford_comma,0.134,0.5,0.478,0.591,0.955,0.672,0.985,0.716,0.94,0.657,0.955,0.687,1.0,0.448,1.0,0.478,1.0,0.552,1.0,0.448,1.0,0.448,0.985,0.448,1.0,0.552,0.985,0.388
percent_sign,0.077,0.695,0.433,0.831,0.904,0.942,0.923,0.913,0.933,0.942,0.875,0.962,0.962,0.99,0.99,0.99,1.0,0.942,0.971,0.981,0.962,0.99,0.942,0.981,1.0,0.942,0.913,0.971
quote_punct,0.016,0.744,0.888,0.917,0.808,0.896,0.856,0.896,0.976,0.904,0.856,0.896,0.976,0.936,0.968,0.976,0.856,0.904,0.968,0.96,0.976,0.936,0.992,0.92,0.856,0.904,0.984,0.92
sentence_caps,0.0,0.695,0.845,0.96,0.28,0.91,0.375,0.91,0.205,0.915,0.365,0.91,0.89,0.9,0.88,0.895,0.865,0.9,0.875,0.895,0.89,0.9,0.89,0.935,0.865,0.9,0.75,0.915
us_uk,0.017,0.15,0.217,0.233,0.021,0.178,0.089,0.178,0.021,0.178,0.075,0.178,0.678,0.842,0.473,0.753,0.678,0.815,0.76,0.767,0.678,0.842,0.664,0.726,0.678,0.815,0.719,0.849
