task,group,dummy1_unsteered,real_1shot,dummy1_fullmean_a0.5,dummy1_fullmean_a1.0,dummy1_fullmean_a2.0,dummy1_fullmean_a4.0,dummy1_swap1_a0.0,dummy1_swap1_a0.5,dummy1_swap1_a1.0,dummy1_swap1_a2.0,dummy1_swap1_a4.0,dummy1_swap1_a8.0,dummy1_swap1_a16.0,dummy1_swap1_a32.0,dummy1_swap1_a48.0,dummy1_swap1_a64.0
adjective_to_adverb,train,0.037375,0.066347,0.054779,0.055621,0.037253,0.025683,0.040594,0.041863,0.043275,0.046178,0.051047,0.05335,0.045431,0.039673,0.035306,0.032249
adjective_to_noun,train,0.036128,0.059812,0.048297,0.054832,0.051594,0.045775,0.03565,0.035446,0.035228,0.034757,0.034162,0.033977,0.03467,0.038098,0.039428,0.041338
ag_news,heldout,0.043191,0.016218,0.04625,0.055734,0.053971,0.033015,0.044136,0.044052,0.043903,0.043416,0.041763,0.039411,0.048932,0.042178,0.02452,0.017829
agent_noun_to_verb,train,0.044429,0.061692,0.056429,0.063746,0.053218,0.042682,0.042976,0.042153,0.041222,0.039119,0.034784,0.02957,0.028086,0.027947,0.030301,0.035138
animal_class,train,0.039582,0.056477,0.045159,0.052962,0.041493,0.029128,0.040279,0.039727,0.039213,0.038299,0.036719,0.034863,0.037424,0.035863,0.032423,0.03036
animal_plant_object,train,0.040081,0.064968,0.045293,0.050673,0.047417,0.041267,0.040685,0.040233,0.039796,0.038971,0.037377,0.036459,0.057394,0.060031,0.05913,0.057852
antonym,train,0.032346,0.054558,0.032084,0.034973,0.031677,0.029994,0.032268,0.032206,0.032159,0.03208,0.03219,0.035274,0.043093,0.047996,0.053002,0.061939
article_choice,train,0.033665,0.032206,0.029503,0.025802,0.021054,0.016361,0.035083,0.034834,0.034496,0.033482,0.030219,0.021596,0.016724,0.018861,0.019536,0.019489
capitalize,train,0.035075,0.051308,0.05405,0.054041,0.041507,0.035076,0.035681,0.036027,0.036366,0.037143,0.038524,0.03531,0.024966,0.019488,0.018357,0.017031
capitalize_first_letter,train,0.038294,0.037639,0.040107,0.042044,0.034046,0.024842,0.039056,0.038903,0.038754,0.038446,0.037903,0.037037,0.034726,0.026479,0.025401,0.026272
city-country,train,0.056937,0.059751,0.048858,0.038264,0.021518,0.014663,0.055685,0.056737,0.057746,0.059511,0.060801,0.04891,0.037997,0.02563,0.019391,0.018857
compound_first,train,0.033953,0.049221,0.034381,0.0338,0.03311,0.032128,0.034216,0.033919,0.033661,0.033144,0.031427,0.026202,0.020907,0.027289,0.032401,0.036739
concrete_abstract,train,0.037032,0.079482,0.043905,0.046614,0.041836,0.036804,0.03704,0.036852,0.036674,0.036259,0.035219,0.033013,0.04366,0.051472,0.047141,0.043642
contains_letter_e,train,0.032406,0.042777,0.027134,0.019741,0.013703,0.012396,0.034316,0.033584,0.032851,0.031401,0.02885,0.025827,0.021011,0.017094,0.01482,0.013829
country-capital,train,0.059667,0.053227,0.064116,0.074246,0.042507,0.02435,0.058325,0.059298,0.060151,0.061597,0.063253,0.05359,0.073523,0.069752,0.057972,0.054555
day_after_textual_date,train,0.032367,0.050339,0.046497,0.051062,0.019137,0.006838,0.032234,0.032828,0.033461,0.034908,0.0385,0.050795,0.05188,0.027361,0.015387,0.00998
ends_with_ing,heldout,0.033927,0.04874,0.029428,0.021027,0.013603,0.01217,0.035829,0.035063,0.034304,0.032891,0.030725,0.028869,0.022409,0.018473,0.016325,0.015446
english-french,heldout,0.029526,0.030996,0.036563,0.041879,0.032088,0.024242,0.030647,0.031252,0.031824,0.032668,0.032889,0.036573,0.058778,0.063607,0.04985,0.041349
english-italian,train,0.035965,0.031962,0.041311,0.04717,0.03998,0.029878,0.036518,0.036803,0.036984,0.036977,0.036454,0.040972,0.053738,0.047764,0.039857,0.0356
english-portuguese,train,0.03732,0.030117,0.043581,0.049197,0.039952,0.030455,0.03788,0.038265,0.0386,0.038986,0.037979,0.036061,0.044207,0.037192,0.0283,0.024411
english-spanish,train,0.030751,0.02676,0.037768,0.043245,0.03235,0.024187,0.031558,0.031993,0.032377,0.032845,0.031918,0.030129,0.040475,0.029722,0.019937,0.016903
first_digit,heldout,0.030666,0.019455,0.026501,0.02301,0.019546,0.016889,0.030773,0.030752,0.030741,0.030713,0.030338,0.025955,0.014757,0.012891,0.013341,0.01419
first_three_letters,train,0.033903,0.063495,0.040867,0.051715,0.048933,0.041324,0.034015,0.033853,0.033758,0.033768,0.034145,0.031426,0.026155,0.022743,0.018613,0.018492
french-english,heldout,0.034094,0.03782,0.033158,0.036757,0.036568,0.033731,0.033651,0.03323,0.032692,0.031012,0.025855,0.020807,0.023053,0.025553,0.027304,0.029886
french_noun_gender,train,0.031815,0.058838,0.035933,0.035398,0.02671,0.020938,0.031889,0.03191,0.031925,0.032016,0.033189,0.039541,0.051833,0.046085,0.041264,0.039082
german-english,train,0.035886,0.041248,0.031897,0.038212,0.042279,0.039313,0.03555,0.0349,0.034101,0.031897,0.025261,0.017876,0.019351,0.023317,0.025074,0.027073
german_noun_gender,train,0.033555,0.0413,0.028929,0.025541,0.020718,0.016232,0.033559,0.033608,0.03361,0.033463,0.032748,0.029332,0.017825,0.012525,0.011633,0.011201
gerund_to_base,heldout,0.034457,0.056233,0.049128,0.055664,0.047811,0.043324,0.033589,0.03315,0.032686,0.031682,0.029826,0.026847,0.023367,0.024546,0.028361,0.032341
gerund_to_past,train,0.03472,0.066018,0.059072,0.063667,0.046578,0.039144,0.037373,0.038338,0.039427,0.042007,0.04836,0.05409,0.040076,0.03581,0.037229,0.040537
hypernym_category,train,0.040948,0.047737,0.035144,0.036283,0.03627,0.029579,0.041183,0.040358,0.039427,0.037192,0.030681,0.020525,0.035613,0.037664,0.03696,0.035666
initials_two_words,heldout,0.029392,0.058281,0.033155,0.044196,0.040555,0.025373,0.029576,0.029502,0.029382,0.029019,0.028137,0.030633,0.034162,0.02395,0.01811,0.016108
iso_date_to_month,train,0.022335,0.034146,0.025994,0.026683,0.014184,0.008244,0.022411,0.022271,0.022108,0.021661,0.019831,0.014771,0.012327,0.007908,0.005579,0.004993
iso_date_year_plus_one,train,0.023238,0.060684,0.027245,0.028471,0.017679,0.009776,0.023209,0.023451,0.023666,0.023943,0.023901,0.025539,0.028243,0.023172,0.016307,0.011508
landmark-country,train,0.044718,0.04843,0.035085,0.027147,0.018838,0.013619,0.044281,0.044508,0.044748,0.045216,0.045514,0.03711,0.031741,0.02379,0.018699,0.018536
language_identification,train,0.0331,0.051376,0.036174,0.036888,0.030195,0.02278,0.032651,0.032931,0.033179,0.033628,0.034575,0.039326,0.043267,0.035023,0.027567,0.027091
larger_of_pair,train,0.043727,0.055032,0.055599,0.044069,0.027097,0.018974,0.043716,0.043742,0.043635,0.043004,0.040343,0.034065,0.01615,0.008073,0.00626,0.005664
larger_than_1000,train,0.032222,0.059703,0.02849,0.023575,0.019056,0.016357,0.03481,0.034086,0.033333,0.031789,0.028806,0.025512,0.02666,0.027901,0.025417,0.023445
lowercase_first_letter,train,0.049682,0.053096,0.04309,0.051476,0.048174,0.035208,0.052859,0.0522,0.051549,0.050223,0.047327,0.0428,0.041852,0.033727,0.029333,0.029054
lowercase_word,train,0.046784,0.073124,0.060329,0.068678,0.063381,0.05844,0.04717,0.047407,0.047689,0.048423,0.051012,0.05696,0.053878,0.053247,0.055519,0.054962
national_parks,train,0.033068,0.061221,0.030108,0.033873,0.0252,0.013645,0.034564,0.034017,0.033505,0.032545,0.030993,0.035195,0.047239,0.022925,0.013999,0.011837
natural_manmade,train,0.042129,0.05974,0.050976,0.045013,0.032472,0.024961,0.042139,0.042128,0.042144,0.042216,0.042384,0.041745,0.037122,0.034919,0.029033,0.025674
