condition,mean_attn_L13_cue_to_label
dummy1_unsteered,0.03756
real_1shot,0.05607
dummy1_fullmean_a0.5,0.04386
dummy1_fullmean_a1.0,0.04515
dummy1_fullmean_a2.0,0.03552
dummy1_fullmean_a4.0,0.02765
dummy1_swap1_a0.0,0.03801
dummy1_swap1_a0.5,0.03809
dummy1_swap1_a1.0,0.03817
dummy1_swap1_a2.0,0.0383
dummy1_swap1_a4.0,0.03844
dummy1_swap1_a8.0,0.03806
dummy1_swap1_a16.0,0.03857
dummy1_swap1_a32.0,0.03371
dummy1_swap1_a48.0,0.03081
dummy1_swap1_a64.0,0.03023
