condition,mean_logit_diff,recovery
baseline,-1.9316,
demo2_prelabel.open,-1.8258,0.0215
demo2_prelabel.isolated,-1.9628,-0.0063
both_labels.open,2.7278,0.9470
both_labels.isolated,1.7110,0.7403
target_ceiling,2.9887,
