task,arm,row,k,op,start_layer,mean_delta_all,sem_all,n_all,mean_delta_test40,sem_test40,n_test40
lowercase_first_letter,pcasub_matched_k0_zero,cue1,0,zero,0,-3.6311533451080322,0.08367819044695658,170,-3.4856231212615967,0.13703631183931717,40
lowercase_first_letter,pcasub_matched_k0_zero,cue1,0,zero,1,-3.522697925567627,0.08543369799497429,170,-3.445401668548584,0.16441034781813404,40
lowercase_first_letter,pcasub_matched_k0_zero,cue1,0,zero,2,-3.4318981170654297,0.08546092565583038,170,-3.3436279296875,0.1800573985646196,40
lowercase_first_letter,pcasub_matched_k0_zero,cue1,0,zero,3,-1.7439428567886353,0.07111160095313153,170,-1.7756903171539307,0.15035557394224514,40
lowercase_first_letter,pcasub_matched_k0_zero,cue1,0,zero,4,-2.283496618270874,0.08785821239328158,170,-2.000795602798462,0.16373950574157584,40
lowercase_first_letter,pcasub_matched_k0_zero,cue1,0,zero,5,-1.063441514968872,0.04825845055972259,170,-0.9474703669548035,0.10033065165925334,40
lowercase_first_letter,pcasub_matched_k0_zero,cue1,0,zero,6,-0.994945764541626,0.04856510460442155,170,-0.8458579182624817,0.07357245270262935,40
lowercase_first_letter,pcasub_matched_k0_zero,cue1,0,zero,7,-0.8752230405807495,0.041422634527710916,170,-0.7774327993392944,0.08281186462692312,40
lowercase_first_letter,pcasub_matched_k0_zero,cue1,0,zero,8,-0.5210528373718262,0.02765418106625612,170,-0.4406529366970062,0.040626479639964616,40
lowercase_first_letter,pcasub_matched_k0_zero,cue1,0,zero,9,-0.8740569353103638,0.039523637755557686,170,-0.8159745931625366,0.07585242704937856,40
lowercase_first_letter,pcasub_matched_k0_zero,cue1,0,zero,10,-0.27412134408950806,0.020051547063794174,170,-0.25210627913475037,0.045211987094268075,40
lowercase_first_letter,pcasub_matched_k0_zero,cue1,0,zero,11,-0.0768531858921051,0.006876115232955146,170,-0.060924313962459564,0.01348257264181275,40
lowercase_first_letter,pcasub_matched_k0_zero,cue1,0,zero,12,-0.12792418897151947,0.011910969043451836,170,-0.13257870078086853,0.028272906590312008,40
lowercase_first_letter,pcasub_matched_k0_zero,cue1,0,zero,13,-0.08252112567424774,0.0070372880365242845,170,-0.05319763347506523,0.012172746230605077,40
lowercase_first_letter,pcasub_matched_k0_zero,cue1,0,zero,14,-0.04459284618496895,0.004799127228037077,170,-0.02889396622776985,0.009473317701932452,40
lowercase_first_letter,pcasub_matched_k0_zero,cue1,0,zero,15,-0.04914139583706856,0.004934048950510089,170,-0.03827306628227234,0.010849878914064068,40
lowercase_first_letter,pcasub_matched_k0_zero,cue1,0,zero,16,-0.02813899703323841,0.00390382987578899,170,-0.016313841566443443,0.007641819736184544,40
lowercase_first_letter,pcasub_matched_k0_zero,cue1,0,zero,17,-0.025933321565389633,0.0034540137526025898,170,-0.023324688896536827,0.005653257200845178,40
lowercase_first_letter,pcasub_matched_k0_zero,cue1,0,zero,18,-0.030954593792557716,0.003743201076860865,170,-0.02910168096423149,0.007244454986592226,40
lowercase_first_letter,pcasub_matched_k0_zero,cue1,0,zero,19,-0.005428395699709654,0.0024988947471467652,170,0.0016005352372303605,0.004522400133754197,40
lowercase_first_letter,pcasub_matched_k0_zero,cue1,0,zero,20,-0.001579191884957254,0.0023416505485219195,170,0.000578013074118644,0.00499386567531138,40
lowercase_first_letter,pcasub_matched_k0_zero,cue1,0,zero,21,-0.008017381653189659,0.002649358602212846,170,-0.00430607795715332,0.003962223450803934,40
lowercase_first_letter,pcasub_matched_k0_zero,cue1,0,zero,22,-0.0025047799572348595,0.0019867492350729137,170,-0.0006949827075004578,0.004855255400414864,40
lowercase_first_letter,pcasub_matched_k0_zero,cue1,0,zero,23,0.00792281236499548,0.002711385702807129,170,0.01444467343389988,0.00624651943813266,40
lowercase_first_letter,pcasub_matched_k0_zero,cue1,0,zero,24,-0.01032839436084032,0.002116588485614903,170,-0.008745625615119934,0.00500846807296805,40
lowercase_first_letter,pcasub_matched_k0_zero,cue1,0,zero,25,-0.003589791478589177,0.003074857375085881,170,-0.001208421541377902,0.0041547932693626645,40
lowercase_first_letter,pcasub_matched_k0_zero,cue1,0,zero,26,0.0034154572058469057,0.0022371460855446865,170,0.00823228806257248,0.004018305528448473,40
lowercase_first_letter,pcasub_matched_k0_zero,cue1,0,zero,27,0.0,0.0,170,0.0,0.0,40
lowercase_first_letter,pcasub_matched_k0_zero,target1,0,zero,0,-6.199827671051025,0.11768107710387261,170,-6.073158264160156,0.24804626572161825,40
lowercase_first_letter,pcasub_matched_k0_zero,target1,0,zero,1,-5.828859806060791,0.1217153423781466,170,-5.828200817108154,0.2678865365262013,40
lowercase_first_letter,pcasub_matched_k0_zero,target1,0,zero,2,-5.926295757293701,0.11312914798473249,170,-5.853359222412109,0.22070553529615136,40
lowercase_first_letter,pcasub_matched_k0_zero,target1,0,zero,3,-5.662356376647949,0.10822855303391093,170,-5.416845798492432,0.21047877015877375,40
lowercase_first_letter,pcasub_matched_k0_zero,target1,0,zero,4,-4.209460735321045,0.09531678116669398,170,-3.9765255451202393,0.17225709472036785,40
lowercase_first_letter,pcasub_matched_k0_zero,target1,0,zero,5,-3.7174243927001953,0.09757099011209108,170,-3.648747682571411,0.1967947114064202,40
lowercase_first_letter,pcasub_matched_k0_zero,target1,0,zero,6,-2.053010940551758,0.06368708504165953,170,-2.07973051071167,0.11795555655539806,40
lowercase_first_letter,pcasub_matched_k0_zero,target1,0,zero,7,-2.305861234664917,0.06574152999711544,170,-2.2115607261657715,0.1331736781423996,40
lowercase_first_letter,pcasub_matched_k0_zero,target1,0,zero,8,-1.4801697731018066,0.047048616238381864,170,-1.4270819425582886,0.09660136269191939,40
lowercase_first_letter,pcasub_matched_k0_zero,target1,0,zero,9,-1.1553858518600464,0.04363106936831418,170,-1.1339209079742432,0.10277925068435967,40
lowercase_first_letter,pcasub_matched_k0_zero,target1,0,zero,10,-1.5790530443191528,0.049217375311931724,170,-1.5056545734405518,0.10645822319743911,40
lowercase_first_letter,pcasub_matched_k0_zero,target1,0,zero,11,-1.5973162651062012,0.051946143734462914,170,-1.5152438879013062,0.1050089509863026,40
lowercase_first_letter,pcasub_matched_k0_zero,target1,0,zero,12,-0.3850674033164978,0.02398652920534943,170,-0.3531535267829895,0.04532023485481635,40
lowercase_first_letter,pcasub_matched_k0_zero,target1,0,zero,13,-0.2996881902217865,0.023039702842068382,170,-0.2788355052471161,0.044483948808518914,40
lowercase_first_letter,pcasub_matched_k0_zero,target1,0,zero,14,-0.29724180698394775,0.021640522905382004,170,-0.2873079776763916,0.04144241857542941,40
lowercase_first_letter,pcasub_matched_k0_zero,target1,0,zero,15,-0.2271716445684433,0.017487589190152177,170,-0.21037988364696503,0.028933169865615154,40
lowercase_first_letter,pcasub_matched_k0_zero,target1,0,zero,16,-0.1672370433807373,0.014484508713123784,170,-0.16390997171401978,0.024591165682694784,40
lowercase_first_letter,pcasub_matched_k0_zero,target1,0,zero,17,-0.16884319484233856,0.013010499566625745,170,-0.1683788299560547,0.022254734936018327,40
lowercase_first_letter,pcasub_matched_k0_zero,target1,0,zero,18,-0.16711626946926117,0.013246155291338,170,-0.16967977583408356,0.02201548438986137,40
lowercase_first_letter,pcasub_matched_k0_zero,target1,0,zero,19,-0.12909437716007233,0.012898536325730459,170,-0.12444549798965454,0.021819116864114897,40
lowercase_first_letter,pcasub_matched_k0_zero,target1,0,zero,20,-0.12051337957382202,0.01265214450942644,170,-0.11273018270730972,0.02132649342553757,40
lowercase_first_letter,pcasub_matched_k0_zero,target1,0,zero,21,-0.16693589091300964,0.012630178607745186,170,-0.15551233291625977,0.01888988920604135,40
lowercase_first_letter,pcasub_matched_k0_zero,target1,0,zero,22,-0.16917884349822998,0.011929734917833012,170,-0.1581527441740036,0.018565823297528112,40
lowercase_first_letter,pcasub_matched_k0_zero,target1,0,zero,23,-0.13507452607154846,0.011209452201527243,170,-0.13068953156471252,0.015739822592547498,40
lowercase_first_letter,pcasub_matched_k0_zero,target1,0,zero,24,-0.09415768831968307,0.009864085295359258,170,-0.072526715695858,0.015379771089163673,40
lowercase_first_letter,pcasub_matched_k0_zero,target1,0,zero,25,-0.002357115736231208,0.004305567874525495,170,-0.003714130725711584,0.006754940985198939,40
lowercase_first_letter,pcasub_matched_k0_zero,target1,0,zero,26,0.0008536961395293474,0.0009059927292067918,170,-0.0008654668927192688,0.0020037081567965635,40
