task,unsteered,zero_shot,real_1shot,cosine_M_a4.0_L3,dot_M_a2.0_L7-11,cosine_perhead_a2.0_L3,dot_perhead_a1.0_L3
adjective_to_noun,0.0,0.0,0.12,0.0667,0.0867,0.0667,0.0933
agent_noun_to_verb,0.0,0.0,0.2333,0.0667,0.14,0.08,0.0533
article_choice,0.0,0.0,0.06,0.0267,0.0,0.0133,0.0267
city-country,0.0,0.0067,0.3533,0.16,0.0267,0.08,0.1133
first_three_letters,0.0,0.0,0.1,0.0333,0.0533,0.0,0.0
hypernym_category,0.0,0.0,0.12,0.1133,0.0333,0.1267,0.1467
language_identification,0.0,0.0,0.12,0.04,0.0133,0.04,0.0133
larger_than_1000,0.0067,0.0,0.18,0.1733,0.0733,0.1467,0.1733
lowercase_word,0.0067,0.0,0.4267,0.1133,0.2667,0.1867,0.1067
national_parks,0.0,0.0,0.2933,0.2133,0.0,0.1333,0.1667
next_month_of_date,0.0,0.0067,0.1467,0.1067,0.0,0.0667,0.02
next_number_digits,0.0,0.0133,0.2533,0.36,0.0,0.26,0.3133
park-country,0.0,0.0,0.2933,0.3133,0.0267,0.1933,0.1933
present-past,0.0,0.0133,0.24,0.3,0.0067,0.1467,0.2067
prev_number_digits,0.0,0.0,0.0867,0.36,0.0067,0.3067,0.1133
product-company,0.0,0.0,0.1,0.0867,0.0133,0.04,0.0467
spanish_noun_gender,0.0,0.0,0.1667,0.02,0.0,0.0067,0.0
starts_with_vowel,0.0,0.0,0.0867,0.0067,0.0133,0.0067,0.0
titlecase_phrase,0.0,0.0,0.1667,0.0,0.3067,0.0,0.0067
us-city-state,0.0,0.0,0.4333,0.2467,0.0,0.06,0.06
