property,L_alt,L_nat,alpha_alt,alpha_nat,cf_alt,cf_nat,reference_alt,reference_alt_unscorable,reference_nat,reference_nat_unscorable,steered_alt,steered_alt_coherentonly,steered_alt_conditional,steered_alt_incoherent,steered_alt_n,steered_alt_unscorable,steered_nat,steered_nat_coherentonly,steered_nat_conditional,steered_nat_incoherent,steered_nat_n,steered_nat_unscorable,unsteered_alt,unsteered_nat
all_caps,16,6,32.0,32.0,0.0,0.312,0.88,0.016,0.99,0.0,0.437,0.837,0.861,0.477,199,0.029,0.94,0.984,0.984,0.045,199,0.0,0.01,0.377
ampersand,20,24,16.0,32.0,0.0,0.0,0.12,0.761,0.325,0.667,0.979,1.0,1.0,0.021,144,0.0,0.979,0.979,1.0,0.0,144,0.021,0.0,0.326
contractions,24,24,32.0,32.0,0.023,0.046,0.12,0.78,0.16,0.83,0.437,0.437,0.938,0.0,174,0.534,0.161,0.162,0.933,0.006,174,0.827,0.08,0.069
curly_quotes,6,24,1.0,32.0,0.006,0.102,0.306,0.674,0.312,0.684,0.024,0.024,0.222,0.006,167,0.892,0.635,1.0,1.0,0.365,167,0.0,0.006,0.072
double_space,16,6,16.0,32.0,0.0,0.465,0.655,0.196,0.715,0.278,0.98,0.98,0.985,0.0,200,0.005,0.955,0.99,1.0,0.035,200,0.01,0.0,0.9
em_dash,20,20,32.0,32.0,0.0,0.0,0.433,0.536,0.433,0.527,0.99,1.0,1.0,0.01,99,0.0,1.0,1.0,1.0,0.0,99,0.0,0.01,0.03
num_words,20,20,32.0,32.0,0.0,0.0,0.4,0.553,0.235,0.729,0.963,0.963,1.0,0.0,81,0.037,0.654,0.654,1.0,0.0,81,0.346,0.074,0.148
ordinal_words,16,16,32.0,32.0,0.065,0.0,0.169,0.831,0.169,0.759,0.905,0.928,1.0,0.025,200,0.072,0.105,0.107,0.778,0.015,200,0.863,0.115,0.01
oxford_comma,16,12,16.0,2.0,0.0,0.418,0.5,0.455,0.591,0.364,0.985,0.985,1.0,0.0,67,0.015,0.388,0.388,0.839,0.0,67,0.537,0.134,0.478
percent_sign,8,8,32.0,32.0,0.029,0.029,0.695,0.288,0.831,0.169,0.913,0.913,1.0,0.0,104,0.087,0.971,0.981,1.0,0.01,104,0.019,0.077,0.433
quote_punct,16,24,32.0,8.0,0.024,0.816,0.744,0.053,0.917,0.035,0.984,0.992,1.0,0.008,125,0.008,0.92,0.927,0.975,0.008,125,0.048,0.016,0.888
sentence_caps,8,4,32.0,4.0,0.025,0.865,0.695,0.03,0.96,0.03,0.75,0.909,0.993,0.175,200,0.085,0.915,0.938,0.989,0.025,200,0.051,0.0,0.845
us_uk,24,24,16.0,32.0,0.027,0.021,0.15,0.833,0.233,0.767,0.719,0.724,0.972,0.007,146,0.255,0.849,0.867,1.0,0.021,146,0.133,0.017,0.217
