property,direction,n,coh_correct,coh_wrong,coh_unscorable,inc_correct,inc_wrong,inc_unscorable
em_dash,alt,99,0.9899,0.0,0.0,0.0101,0.0,0.0
em_dash,nat,99,1.0,0.0,0.0,0.0,0.0,0.0
oxford_comma,alt,67,0.9851,0.0,0.0149,0.0,0.0,0.0
oxford_comma,nat,67,0.3881,0.0746,0.5373,0.0,0.0,0.0
quote_punct,alt,125,0.984,0.0,0.008,0.008,0.0,0.0
quote_punct,nat,125,0.92,0.024,0.048,0.008,0.0,0.0
double_space,alt,200,0.98,0.015,0.005,0.0,0.0,0.0
double_space,nat,200,0.955,0.0,0.01,0.035,0.0,0.0
ampersand,alt,144,0.9792,0.0,0.0,0.0208,0.0,0.0
ampersand,nat,144,0.9792,0.0,0.0208,0.0,0.0,0.0
num_words,alt,81,0.963,0.0,0.037,0.0,0.0,0.0
num_words,nat,81,0.6543,0.0,0.3457,0.0,0.0,0.0
percent_sign,alt,104,0.9135,0.0,0.0865,0.0,0.0,0.0
percent_sign,nat,104,0.9712,0.0,0.0192,0.0096,0.0,0.0
ordinal_words,alt,200,0.905,0.0,0.07,0.02,0.0,0.005
ordinal_words,nat,200,0.105,0.03,0.85,0.0,0.0,0.015
sentence_caps,alt,200,0.75,0.005,0.07,0.17,0.0,0.005
sentence_caps,nat,200,0.915,0.01,0.05,0.01,0.0,0.015
us_uk,alt,146,0.7192,0.0205,0.2534,0.0068,0.0,0.0
us_uk,nat,146,0.8493,0.0,0.1301,0.0137,0.0,0.0068
all_caps,alt,199,0.4372,0.0704,0.0151,0.4322,0.0151,0.0302
all_caps,nat,199,0.9397,0.0151,0.0,0.0302,0.0101,0.005
contractions,alt,174,0.4368,0.0287,0.5345,0.0,0.0,0.0
contractions,nat,174,0.1609,0.0115,0.8218,0.0,0.0,0.0057
curly_quotes,alt,167,0.024,0.0838,0.8862,0.0,0.0,0.006
curly_quotes,nat,167,0.6347,0.0,0.0,0.3653,0.0,0.0
