task,group,s1,natural_coord1,real_1shot,real_6shot,dummy1_fullvec_best,dummy6_fullvec_best,dummy1_meanfree_best,dummy6_meanfree_best,dummy1_baseline,dummy1_swap1_a0.0,dummy1_swap1_a0.5,dummy1_swap1_a1.0,dummy1_swap1_a2.0,dummy1_swap1_a4.0,dummy1_swap1_a8.0,dummy1_swap1_a16.0,dummy1_swap1_a32.0,dummy1_swap1_a48.0,dummy1_swap1_a64.0,dummy1_swap1_best,dummy6_baseline,dummy6_swap1_a0.0,dummy6_swap1_a0.5,dummy6_swap1_a1.0,dummy6_swap1_a2.0,dummy6_swap1_a4.0,dummy6_swap1_a8.0,dummy6_swap1_a16.0,dummy6_swap1_a32.0,dummy6_swap1_a48.0,dummy6_swap1_a64.0,dummy6_swap1_best
adjective_to_adverb,train,2.9777,22.797,0.2533,0.7067,0.1067,0.7,0.08,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.0467,0.0733,0.0867,0.0933,0.0933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0733,0.2267,0.2467,0.2267,0.2467
adjective_to_noun,train,2.9409,15.143,0.12,0.3133,0.2067,0.4067,0.12,0.3333,0.0,0.0,0.0,0.0,0.0,0.0133,0.04,0.06,0.0533,0.0533,0.04,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0267,0.3067,0.48,0.4133,0.4067,0.48
ag_news,heldout,2.9666,25.386,0.1533,0.3333,0.0067,0.1133,0.02,0.0467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0533,0.0067,0.02,0.0533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.1467,0.1733,0.0933,0.1733
agent_noun_to_verb,train,2.9486,16.983,0.2333,0.5867,0.2067,0.6,0.1,0.3467,0.0067,0.0,0.0,0.0,0.0,0.0067,0.0267,0.0267,0.06,0.02,0.0467,0.06,0.0,0.0,0.0,0.0,0.0,0.0067,0.0,0.1133,0.4267,0.5,0.3933,0.5
animal_class,train,2.9996,24.019,0.2333,0.6533,0.08,0.36,0.0933,0.3533,0.0067,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0533,0.0733,0.0467,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3267,0.3267,0.1667,0.1133,0.3267
animal_plant_object,train,2.9689,21.334,0.08,0.5933,0.0267,0.1933,0.0333,0.12,0.0,0.0,0.0067,0.0,0.0,0.0,0.0,0.0333,0.0733,0.0867,0.0667,0.0867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1067,0.2467,0.0867,0.0667,0.2467
antonym,train,2.9003,13.723,0.0333,0.32,0.04,0.2067,0.0333,0.2133,0.0067,0.0,0.0,0.0,0.0067,0.0067,0.0,0.0333,0.02,0.0467,0.0667,0.0667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.3333,0.2933,0.2667,0.3333
article_choice,train,2.9418,23.793,0.06,0.5333,0.0267,0.2467,0.0333,0.2133,0.0,0.0,0.0,0.0,0.0,0.0,0.0133,0.02,0.0267,0.0267,0.0333,0.0333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0467,0.2933,0.2667,0.24,0.2933
capitalize,train,2.9699,17.807,0.2733,0.9067,0.2667,0.8933,0.0733,0.7467,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.0467,0.06,0.0667,0.04,0.0667,0.0,0.0,0.0,0.0,0.0,0.0,0.0267,0.4,0.64,0.58,0.5667,0.64
capitalize_first_letter,train,2.9495,20.305,0.0733,0.6067,0.12,0.76,0.04,0.4067,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.0467,0.0333,0.0133,0.0,0.0467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3667,0.1533,0.08,0.3667
city-country,train,3.0212,24.054,0.3533,0.74,0.06,0.5733,0.06,0.2133,0.0,0.0,0.0,0.0,0.0067,0.0,0.0267,0.1933,0.02,0.02,0.0133,0.1933,0.0,0.0,0.0,0.0,0.0,0.0,0.0333,0.3333,0.3933,0.2467,0.1,0.3933
compound_first,train,2.9118,16.4,0.1133,0.5467,0.1333,0.4867,0.0533,0.2467,0.0133,0.0067,0.0,0.0067,0.0133,0.0,0.0267,0.06,0.0667,0.0533,0.0267,0.0667,0.0,0.0,0.0,0.0,0.0,0.0,0.0133,0.0733,0.2933,0.2533,0.2333,0.2933
concrete_abstract,train,3.045,31.014,0.02,0.4267,0.02,0.3067,0.0267,0.1333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0133,0.0467,0.0267,0.0067,0.0467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0267,0.1933,0.1467,0.1733,0.1933
contains_letter_e,train,3.0015,26.644,0.2267,0.54,0.0333,0.3667,0.1067,0.34,0.0,0.0067,0.0,0.0067,0.0067,0.0067,0.02,0.0733,0.0733,0.0333,0.04,0.0733,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.1067,0.28,0.2467,0.22,0.28
country-capital,train,3.0158,25.009,0.46,0.7533,0.24,0.6933,0.4133,0.64,0.0133,0.0,0.0,0.0,0.0,0.0,0.1733,0.4667,0.36,0.2733,0.3133,0.4667,0.0,0.0067,0.0,0.0,0.0,0.0,0.1533,0.66,0.64,0.58,0.5067,0.66
day_after_textual_date,train,2.9724,33.171,0.4267,0.9533,0.0,0.0867,0.0,0.0667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.0067,0.0067,0.0067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0133,0.12,0.02,0.0,0.12
ends_with_ing,heldout,2.9955,26.658,0.26,0.5133,0.04,0.34,0.0733,0.2867,0.0,0.0,0.0,0.0,0.0,0.0067,0.0,0.1333,0.08,0.0667,0.04,0.1333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0933,0.2867,0.3333,0.2533,0.3333
english-french,heldout,2.9228,14.717,0.1867,0.5533,0.1333,0.48,0.0733,0.4333,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0333,0.0,0.0,0.0,0.0333,0.0,0.0,0.0,0.0,0.0,0.0,0.0533,0.4067,0.0133,0.0067,0.0,0.4067
english-italian,train,2.9403,16.029,0.2333,0.5467,0.2467,0.5067,0.1533,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0067,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.38,0.1867,0.0067,0.0133,0.38
english-portuguese,train,2.9357,16.247,0.28,0.54,0.1933,0.5667,0.0933,0.4267,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.0733,0.0333,0.0067,0.0133,0.0733,0.0,0.0,0.0,0.0,0.0,0.0,0.0467,0.4267,0.2467,0.0133,0.0133,0.4267
english-spanish,train,2.9271,16.055,0.2933,0.5667,0.2733,0.5467,0.1133,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0333,0.0933,0.0067,0.0,0.0067,0.0933,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.24,0.0867,0.0133,0.0,0.24
first_digit,heldout,2.9371,23.725,0.06,0.6067,0.0533,0.26,0.02,0.1,0.0067,0.0067,0.0,0.0,0.0,0.0,0.0133,0.0267,0.0333,0.02,0.0067,0.0333,0.0,0.0,0.0,0.0,0.0,0.0067,0.0067,0.08,0.2,0.1733,0.1667,0.2
first_three_letters,train,2.9221,16.689,0.1,0.3067,0.14,0.3733,0.0467,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.0267,0.0333,0.0267,0.0,0.0333,0.0,0.0,0.0,0.0,0.0,0.0,0.0133,0.1733,0.24,0.2533,0.1867,0.2533
french-english,heldout,2.8882,12.266,0.4533,0.62,0.3933,0.6867,0.2533,0.3867,0.0067,0.0,0.0067,0.0067,0.0133,0.0267,0.0933,0.12,0.2133,0.1867,0.2267,0.2267,0.0,0.0,0.0,0.0,0.0,0.0067,0.0067,0.1333,0.4533,0.46,0.48,0.48
