task,group,s1,natural_coord1,real_1shot,real_6shot,dummy1_fullvec_best,dummy6_fullvec_best,dummy1_meanfree_best,dummy6_meanfree_best,dummy1_baseline,dummy1_swap1_a0.0,dummy1_swap1_a0.5,dummy1_swap1_a1.0,dummy1_swap1_a2.0,dummy1_swap1_a4.0,dummy1_swap1_a8.0,dummy1_swap1_a16.0,dummy1_swap1_a32.0,dummy1_swap1_a48.0,dummy1_swap1_a64.0,dummy1_swap1_best,dummy6_baseline,dummy6_swap1_a0.0,dummy6_swap1_a0.5,dummy6_swap1_a1.0,dummy6_swap1_a2.0,dummy6_swap1_a4.0,dummy6_swap1_a8.0,dummy6_swap1_a16.0,dummy6_swap1_a32.0,dummy6_swap1_a48.0,dummy6_swap1_a64.0,dummy6_swap1_best
french_noun_gender,train,3.0042,32.243,0.1867,0.6533,0.02,0.3267,0.0133,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.02,0.0133,0.0067,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0467,0.2533,0.1867,0.0867,0.2533
german-english,train,2.8779,12.53,0.2933,0.6533,0.42,0.7067,0.2533,0.4867,0.0133,0.0067,0.0,0.0,0.0067,0.0067,0.02,0.08,0.1533,0.0867,0.1333,0.1533,0.0,0.0,0.0,0.0,0.0,0.0067,0.0133,0.1,0.5133,0.4667,0.2533,0.5133
german_noun_gender,train,2.9653,24.686,0.0933,0.38,0.0,0.0933,0.0067,0.1267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0267,0.0267,0.02,0.0267,0.0267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.1467,0.16,0.1067,0.16
gerund_to_base,heldout,2.9225,16.652,0.2133,0.72,0.3533,0.86,0.16,0.58,0.0067,0.0133,0.0,0.0067,0.0133,0.0267,0.04,0.12,0.1133,0.0733,0.06,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.18,0.48,0.6,0.5467,0.6
gerund_to_past,train,2.9687,20.205,0.1733,0.6067,0.0533,0.5867,0.0667,0.4933,0.0,0.0,0.0067,0.0,0.0067,0.0,0.0067,0.0667,0.0667,0.0733,0.04,0.0733,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.1733,0.3733,0.38,0.4133,0.4133
hypernym_category,train,2.9281,15.629,0.12,0.32,0.0667,0.3267,0.08,0.3,0.0,0.0,0.0,0.0067,0.0,0.0,0.0133,0.0733,0.0467,0.08,0.0533,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.1933,0.22,0.0667,0.0867,0.22
initials_two_words,heldout,2.9869,19.985,0.04,0.6933,0.0467,0.5933,0.0267,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0133,0.0067,0.0,0.0,0.0133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3467,0.3667,0.2333,0.0733,0.3667
iso_date_to_month,train,2.9964,29.534,0.3333,0.9733,0.0067,0.22,0.0067,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.0067,0.0067,0.0,0.0067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.16,0.0667,0.0533,0.18
iso_date_year_plus_one,train,2.9666,28.083,0.1133,0.8467,0.0,0.0867,0.0133,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.0,0.0,0.0067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0133,0.0267,0.0533,0.0267,0.0533
landmark-country,train,3.0142,24.191,0.1533,0.5,0.0533,0.4,0.0133,0.2933,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.04,0.0,0.02,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.2867,0.2733,0.1333,0.0667,0.2867
language_identification,train,3.0037,27.037,0.12,0.7667,0.0067,0.1467,0.0,0.1133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0267,0.0133,0.0067,0.0,0.0267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.28,0.1667,0.06,0.28
larger_of_pair,train,2.9496,28.27,0.24,0.56,0.0533,0.3133,0.02,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0067,0.02,0.02,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0933,0.2667,0.2133,0.18,0.2667
larger_than_1000,train,2.9819,28.416,0.18,0.5267,0.0133,0.3,0.02,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.0133,0.0533,0.0133,0.0133,0.0533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.2867,0.2533,0.18,0.2867
lowercase_first_letter,train,2.9605,22.889,0.16,0.6533,0.16,0.7467,0.0533,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0467,0.06,0.0133,0.0067,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1733,0.2867,0.1533,0.0467,0.2867
lowercase_word,train,2.9348,17.294,0.4267,0.9733,0.6,0.9867,0.2,0.7333,0.0,0.0,0.0133,0.0067,0.0,0.0133,0.0467,0.12,0.1933,0.16,0.0933,0.1933,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.26,0.8,0.6133,0.5333,0.8
national_parks,train,3.0012,24.695,0.2933,0.5267,0.0533,0.3067,0.0467,0.3333,0.0133,0.0,0.0,0.0,0.0,0.0,0.0133,0.1733,0.0867,0.0133,0.0067,0.1733,0.0,0.0,0.0,0.0,0.0,0.0,0.0133,0.3733,0.3,0.0867,0.0133,0.3733
natural_manmade,train,3.0055,28.894,0.02,0.6467,0.0067,0.0867,0.0133,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.0,0.0,0.0067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.16,0.1067,0.0267,0.16
next_item,train,2.9542,17.399,0.1133,0.5,0.0733,0.3667,0.1267,0.38,0.0067,0.0133,0.0067,0.0133,0.0133,0.0267,0.0067,0.1267,0.1267,0.1467,0.1667,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.14,0.3133,0.3133,0.3067,0.3133
next_month_of_date,train,2.9661,28.044,0.1467,0.6733,0.02,0.1333,0.0467,0.1267,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.06,0.04,0.0067,0.0133,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.0867,0.0933,0.0733,0.0267,0.0933
next_number_digits,train,2.9773,27.901,0.2533,0.8867,0.22,0.8933,0.2333,0.6733,0.0067,0.0,0.0067,0.0,0.0,0.0067,0.0267,0.1533,0.1533,0.0467,0.06,0.1533,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.1,0.6133,0.5867,0.5533,0.6133
number_word_to_digits,train,2.9336,24.581,0.5467,0.7067,0.28,0.3733,0.1733,0.4267,0.0,0.0,0.0,0.0133,0.0,0.0,0.06,0.1667,0.2067,0.18,0.14,0.2067,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.3,0.46,0.42,0.38,0.46
park-country,train,2.9979,25.467,0.2933,0.52,0.0533,0.3133,0.0733,0.3733,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.12,0.0733,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0133,0.2533,0.22,0.1067,0.02,0.2533
past_to_base,heldout,2.9126,16.414,0.2133,0.76,0.2267,0.7467,0.1133,0.58,0.0067,0.0,0.0,0.0067,0.0267,0.0333,0.0467,0.1267,0.1333,0.0667,0.08,0.1333,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.2533,0.6067,0.64,0.6867,0.6867
person-instrument,train,3.0341,30.633,0.1333,0.26,0.0067,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0733,0.0333,0.02,0.0733
person-sport,train,3.026,30.949,0.2933,0.7,0.0133,0.3133,0.02,0.1533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.0133,0.0,0.0133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.3,0.16,0.0467,0.3
person_place_thing,heldout,2.9632,21.385,0.04,0.62,0.0133,0.1667,0.0267,0.2533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333,0.06,0.0,0.0333,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0667,0.2867,0.2333,0.1267,0.2867
plural_to_singular,train,2.952,16.846,0.1933,0.8267,0.3933,0.8733,0.0933,0.7533,0.0,0.0,0.0,0.0,0.0067,0.02,0.0067,0.0467,0.04,0.0733,0.06,0.0733,0.0,0.0,0.0,0.0,0.0,0.0067,0.0467,0.44,0.7067,0.6533,0.7,0.7067
pos_label,heldout,3.0315,34.72,0.1267,0.56,0.0067,0.1533,0.0067,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0133,0.0067,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.02,0.34,0.1533,0.1,0.34
present-past,train,2.9721,21.756,0.24,0.78,0.1,0.76,0.0933,0.6267,0.0,0.0,0.0067,0.0,0.0,0.0,0.02,0.1133,0.0733,0.06,0.0733,0.1133,0.0,0.0,0.0,0.0,0.0,0.0067,0.0,0.38,0.5133,0.5867,0.6067,0.6067
prev_number_digits,train,2.9394,26.763,0.0867,0.8133,0.0733,0.44,0.06,0.6733,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.0467,0.0667,0.0667,0.0533,0.0667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1533,0.7333,0.8133,0.7,0.8133
product-company,train,3.05,25.49,0.1,0.4733,0.0267,0.2533,0.0467,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.0133,0.0067,0.0067,0.0067,0.0133,0.0,0.0,0.0,0.0067,0.0,0.0067,0.0,0.1267,0.2067,0.1333,0.0533,0.2067
sentiment,train,2.9681,28.879,0.2267,0.6667,0.0267,0.48,0.0067,0.4733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.0333,0.02,0.0333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.4,0.5667,0.5,0.5667
singular-plural,train,2.9632,20.608,0.4667,0.9,0.6067,0.9333,0.2467,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0467,0.1867,0.26,0.1333,0.1333,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0133,0.7133,0.7467,0.66,0.5867,0.7467
singular_or_plural,train,3.0606,39.545,0.1533,0.6133,0.0133,0.18,0.0067,0.0733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.0133,0.0133,0.0,0.0133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0133,0.2533,0.2733,0.1733,0.2733
smaller_of_pair,heldout,2.9425,26.444,0.2867,0.4933,0.0867,0.4333,0.02,0.2,0.0,0.0,0.0,0.0067,0.0067,0.0067,0.0067,0.0133,0.02,0.0067,0.0067,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2933,0.3333,0.28,0.3333
spanish-english,heldout,2.8785,12.59,0.4667,0.7133,0.4667,0.7267,0.2333,0.4,0.0067,0.0,0.0067,0.0,0.0,0.02,0.0467,0.1267,0.0933,0.1267,0.1533,0.1533,0.0,0.0,0.0,0.0,0.0,0.0,0.0267,0.0467,0.4667,0.48,0.2933,0.48
spanish_noun_gender,train,3.0066,32.435,0.1667,0.62,0.0,0.22,0.0067,0.1267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.0133,0.0067,0.0133,0.0133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0267,0.2267,0.1467,0.0867,0.2267
starts_with_vowel,train,3.0011,33.363,0.0867,0.46,0.0,0.02,0.0,0.0067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.0,0.0,0.0067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.02,0.04
third_person_to_base,train,2.9228,16.457,0.2267,0.8533,0.4333,0.8933,0.1,0.7667,0.0,0.0133,0.0,0.0133,0.0067,0.02,0.0533,0.06,0.0733,0.0533,0.0467,0.0733,0.0,0.0,0.0,0.0,0.0,0.0,0.0133,0.3333,0.8067,0.7533,0.7,0.8067
titlecase_phrase,train,2.9446,22.717,0.1667,0.92,0.0333,0.7,0.0067,0.0867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.0267,0.0,0.0,0.0267
uppercase_word,heldout,2.9583,19.325,0.22,0.9267,0.2467,0.9333,0.0533,0.8267,0.0,0.0067,0.0,0.0,0.0,0.0,0.0133,0.0933,0.0333,0.0133,0.0133,0.0933,0.0,0.0,0.0,0.0,0.0,0.0067,0.0467,0.7733,0.86,0.6067,0.4267,0.86
us-city-state,train,3.0212,25.466,0.4333,0.6533,0.0467,0.3,0.0733,0.3933,0.0067,0.0,0.0,0.0,0.0,0.0067,0.02,0.14,0.06,0.0267,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0467,0.54,0.46,0.2267,0.08,0.54
verb_tense_label,train,2.9917,27.335,0.0667,0.32,0.0,0.06,0.0067,0.0667,0.0067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.0,0.0067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0133,0.14,0.14,0.0933,0.14
verb_to_third_person,train,2.9441,19.048,0.2867,0.7667,0.26,0.74,0.2,0.6867,0.0,0.0,0.0067,0.0067,0.0,0.0,0.0133,0.0933,0.14,0.1533,0.0933,0.1533,0.0,0.0,0.0,0.0,0.0,0.0,0.0467,0.6467,0.5867,0.6733,0.66,0.6733
word_polarity,heldout,3.0039,26.868,0.18,0.68,0.0067,0.4,0.0267,0.4267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0133,0.02,0.0267,0.0133,0.0267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0733,0.4667,0.4067,0.32,0.4667
