condition,task_group,mean_acc
dummy1_baseline,train,0.0018
dummy1_baseline,heldout,0.0024
dummy1_baseline,all,0.0019
dummy6_baseline,train,0.0
dummy6_baseline,heldout,0.0
dummy6_baseline,all,0.0
dummy1_swap1_a0.0,train,0.0008
dummy1_swap1_a0.0,heldout,0.0019
dummy1_swap1_a0.0,all,0.0011
dummy1_swap1_a0.5,train,0.001
dummy1_swap1_a0.5,heldout,0.001
dummy1_swap1_a0.5,all,0.001
dummy1_swap1_a1.0,train,0.0013
dummy1_swap1_a1.0,heldout,0.0019
dummy1_swap1_a1.0,all,0.0015
dummy1_swap1_a2.0,train,0.0013
dummy1_swap1_a2.0,heldout,0.0033
dummy1_swap1_a2.0,all,0.0017
dummy1_swap1_a4.0,train,0.0023
dummy1_swap1_a4.0,heldout,0.0062
dummy1_swap1_a4.0,all,0.0031
dummy1_swap1_a8.0,train,0.0103
dummy1_swap1_a8.0,heldout,0.0157
dummy1_swap1_a8.0,all,0.0114
dummy1_swap1_a16.0,train,0.0566
dummy1_swap1_a16.0,heldout,0.0467
dummy1_swap1_a16.0,all,0.0546
dummy1_swap1_a32.0,train,0.0522
dummy1_swap1_a32.0,heldout,0.0538
dummy1_swap1_a32.0,all,0.0526
dummy1_swap1_a48.0,train,0.0371
dummy1_swap1_a48.0,heldout,0.0386
dummy1_swap1_a48.0,all,0.0374
dummy1_swap1_a64.0,train,0.0302
dummy1_swap1_a64.0,heldout,0.0386
dummy1_swap1_a64.0,all,0.0319
dummy6_swap1_a0.0,train,0.0001
dummy6_swap1_a0.0,heldout,0.0
dummy6_swap1_a0.0,all,0.0001
dummy6_swap1_a0.5,train,0.0
dummy6_swap1_a0.5,heldout,0.0
dummy6_swap1_a0.5,all,0.0
dummy6_swap1_a1.0,train,0.0001
dummy6_swap1_a1.0,heldout,0.0
dummy6_swap1_a1.0,all,0.0001
dummy6_swap1_a2.0,train,0.0
dummy6_swap1_a2.0,heldout,0.0
dummy6_swap1_a2.0,all,0.0
dummy6_swap1_a4.0,train,0.0006
dummy6_swap1_a4.0,heldout,0.001
dummy6_swap1_a4.0,all,0.0007
dummy6_swap1_a8.0,train,0.0063
dummy6_swap1_a8.0,heldout,0.0095
dummy6_swap1_a8.0,all,0.007
dummy6_swap1_a16.0,train,0.1649
dummy6_swap1_a16.0,heldout,0.1391
dummy6_swap1_a16.0,all,0.1596
dummy6_swap1_a32.0,train,0.3225
dummy6_swap1_a32.0,heldout,0.3462
dummy6_swap1_a32.0,all,0.3273
dummy6_swap1_a48.0,train,0.2624
dummy6_swap1_a48.0,heldout,0.3186
dummy6_swap1_a48.0,all,0.2738
dummy6_swap1_a64.0,train,0.208
dummy6_swap1_a64.0,heldout,0.2481
dummy6_swap1_a64.0,all,0.2161
dummy1_swap1_best,train,0.071
dummy1_swap1_best,heldout,0.0657
dummy1_swap1_best,all,0.07
dummy6_swap1_best,train,0.3405
dummy6_swap1_best,heldout,0.3948
dummy6_swap1_best,all,0.3515
real_1shot,train,0.2082
real_1shot,heldout,0.2071
real_1shot,all,0.208
real_6shot,train,0.6298
real_6shot,heldout,0.6281
real_6shot,all,0.6295
dummy1_fullvec_best,train,0.1202
dummy1_fullvec_best,heldout,0.1486
dummy1_fullvec_best,all,0.126
dummy6_fullvec_best,train,0.4355
dummy6_fullvec_best,heldout,0.4924
dummy6_fullvec_best,all,0.4471
dummy1_meanfree_best,train,0.0745
dummy1_meanfree_best,heldout,0.079
dummy1_meanfree_best,all,0.0755
dummy6_meanfree_best,train,0.3301
dummy6_meanfree_best,heldout,0.3743
dummy6_meanfree_best,all,0.339
