variant,task,n,mean,median,std,q25,q75,min,max
fixed10,ag_news,170,59.921,60.056,3.999,56.912,62.827,50.744,71.521
fixed10,antonym,170,58.176,57.818,3.641,56.040,60.483,48.563,72.259
fixed10,capitalize,170,65.711,65.743,3.866,63.058,68.388,54.103,77.041
fixed10,capitalize_first_letter,170,66.771,66.726,3.329,64.443,68.820,58.405,76.672
fixed10,capitalize_last_letter,170,67.012,67.445,3.179,64.791,69.181,59.287,75.549
fixed10,capitalize_second_letter,170,67.829,67.713,3.109,65.657,69.978,59.695,77.314
fixed10,commonsense_qa,170,59.603,59.629,2.444,57.877,61.313,53.597,66.867
fixed10,country-capital,170,43.240,43.204,2.400,41.843,44.803,37.316,50.623
fixed10,english-french,170,59.635,59.075,3.586,57.208,61.836,51.065,70.362
fixed10,english-german,170,57.229,57.753,3.648,54.692,59.485,47.606,65.881
fixed10,english-spanish,170,59.359,59.120,3.772,56.651,61.906,51.669,68.856
fixed10,landmark-country,170,56.779,56.951,3.482,54.835,58.977,44.357,64.614
fixed10,lowercase_first_letter,170,67.057,67.064,3.238,64.898,69.324,58.414,76.683
fixed10,lowercase_last_letter,170,64.533,64.551,3.493,62.183,66.587,55.320,74.969
fixed10,national_parks,170,54.421,54.501,2.380,52.535,55.996,49.326,62.114
fixed10,next_capital_letter,170,67.762,67.509,3.404,65.598,70.302,54.547,76.726
fixed10,next_item,170,63.889,64.048,4.953,60.060,67.679,53.042,77.666
fixed10,park-country,170,52.826,52.729,2.117,51.289,54.238,47.622,57.690
fixed10,person-instrument,170,58.730,59.251,2.792,56.668,60.606,50.954,64.638
fixed10,person-occupation,170,55.385,55.527,3.315,53.178,57.670,46.373,63.708
fixed10,person-sport,170,55.641,55.378,2.209,54.229,56.885,50.511,61.517
fixed10,present-past,170,72.745,72.517,3.268,70.132,74.531,65.000,82.274
fixed10,prev_item,170,64.352,64.144,5.428,60.002,68.450,53.295,77.905
fixed10,sentiment,170,75.868,75.811,2.090,74.629,77.311,69.531,81.246
fixed10,singular-plural,170,67.437,67.406,4.567,64.702,70.123,54.838,79.886
fixed10,synonym,170,56.020,55.946,3.806,53.453,58.002,48.067,69.964
fixed10,word_length,170,66.164,66.078,2.257,64.766,67.522,58.881,72.735
