condition,mean_acc
random6_unsteered,0.0019
swap1_a0.0,0.0011
swap1_a2.0,0.0031
swap1_a4.0,0.0158
swap1_a8.0,0.0967
swap1_a16.0,0.3722
swap1_a32.0,0.3875
swap1_a64.0,0.2778
swap1_best,0.4179
fullmean_a0.5,0.0297
fullmean_a1.0,0.2484
fullmean_a2.0,0.4578
fullmean_a4.0,0.4706
fullmean_best,0.4935
