family,target,unsteered,k8_vector,k8_alpha,k04_vector,k04_alpha,diff,ref_k4
py_enumerate,nat,0.172,0.646,4.0,0.742,4.0,-0.096,0.763
py_self_name,nat,0.97,0.99,1.0,0.995,1.0,-0.005,0.91
py_indent,nat,0.73,0.9,1.0,0.895,1.0,0.005,0.925
py_tabs,nat,0.79,0.895,2.0,0.895,2.0,0.0,0.92
operator_spaces,nat,0.775,0.802,0.5,0.797,1.0,0.005,0.861
comma_space,nat,0.76,0.766,0.5,0.781,2.0,-0.015,0.839
line_wrap,nat,0.01,0.845,4.0,0.815,4.0,0.03,0.66
docstring_style,nat,0.683,0.955,4.0,0.955,4.0,0.0,0.975
docstring_quotes,nat,0.15,0.24,2.0,0.175,1.0,0.065,0.96
comment_case,nat,0.22,0.205,0.5,0.205,2.0,0.0,0.69
comment_language,nat,0.35,0.365,1.0,0.36,1.0,0.005,0.63
c_comment_style,nat,0.3,0.395,4.0,0.38,4.0,0.015,0.885
sql_keyword_case,nat,0.675,0.71,1.0,0.74,4.0,-0.03,0.885
sql_join_style,nat,0.82,0.863,0.5,0.858,0.5,0.005,0.913
r_assignment,nat,0.74,0.775,1.0,0.785,2.0,-0.01,0.905
rust_question,nat,0.703,0.752,1.0,0.721,1.0,0.031,0.8
bash_test,nat,0.2,0.815,4.0,0.51,2.0,0.305,0.87
php_array,nat,0.301,0.425,4.0,0.425,4.0,0.0,0.42
