family,target,unsteered,k8_vector,k8_alpha,k04_vector,k04_alpha,diff,ref_k4
py_snake_camel,alt,0.0,0.785,2.0,0.785,4.0,0.0,0.92
js_camel_snake,alt,0.0,0.645,2.0,0.625,2.0,0.02,0.9
py_const_naming,alt,0.0,0.0,0.5,0.01,4.0,-0.01,0.6
py_class_naming,alt,0.395,0.47,2.0,0.43,0.5,0.04,0.63
py_private,alt,0.025,0.37,4.0,0.405,4.0,-0.035,0.385
py_bool_prefix,alt,0.07,0.065,4.0,0.075,4.0,-0.01,0.315
py_loop_vars,alt,0.074,0.218,4.0,0.207,4.0,0.011,0.473
js_hungarian,alt,0.005,0.02,4.0,0.01,0.5,0.01,0.855
py_abbrev,alt,0.38,0.43,0.5,0.42,0.5,0.01,0.755
py_quotes,alt,0.333,0.505,2.0,0.484,2.0,0.021,0.719
js_quotes,alt,0.534,0.704,1.0,0.656,1.0,0.048,0.799
py_fstring,alt,0.125,0.325,4.0,0.33,4.0,-0.005,0.84
js_template,alt,0.141,0.379,4.0,0.348,4.0,0.031,0.813
num_separators,alt,0.0,0.672,4.0,0.634,4.0,0.038,0.496
hex_constants,alt,0.006,0.249,4.0,0.271,4.0,-0.022,0.684
float_literals,alt,0.025,0.333,4.0,0.34,4.0,-0.007,0.519
sql_bool_case,alt,0.609,0.857,1.0,0.865,2.0,-0.008,0.917
py2_print,alt,0.0,0.145,4.0,0.12,4.0,0.025,0.67
py2_iter,alt,0.035,0.75,4.0,0.771,4.0,-0.021,0.549
js_var,alt,0.045,0.375,4.0,0.305,4.0,0.07,0.495
js_arrow,alt,0.051,0.878,4.0,0.837,2.0,0.041,0.566
js_semicolons,alt,0.075,0.678,2.0,0.589,4.0,0.089,0.589
trailing_commas,alt,0.523,0.577,0.5,0.608,1.0,-0.031,0.662
py_paren_if,alt,0.02,0.467,2.0,0.467,4.0,0.0,0.563
py_type_hints,alt,0.682,0.812,0.5,0.812,0.5,0.0,0.828
py_optional,alt,0.0,0.005,0.5,0.005,0.5,0.0,0.602
py_comprehension,alt,0.129,0.191,0.5,0.103,0.5,0.088,0.649
py_not_in,alt,0.03,0.152,4.0,0.195,4.0,-0.043,0.378
py_ternary,alt,0.251,0.417,4.0,0.289,1.0,0.128,0.492
early_return,alt,0.205,0.315,4.0,0.36,4.0,-0.045,0.825
py_join_concat,alt,0.062,0.216,4.0,0.21,4.0,0.006,0.528
py_with_open,alt,0.005,0.035,2.0,0.04,4.0,-0.005,0.86
py_enumerate,alt,0.278,0.273,2.0,0.298,2.0,-0.025,0.798
py_self_name,alt,0.0,0.75,2.0,0.68,2.0,0.07,0.895
py_indent,alt,0.005,0.78,4.0,0.77,2.0,0.01,0.55
py_tabs,alt,0.01,0.67,2.0,0.69,2.0,-0.02,0.915
operator_spaces,alt,0.032,0.332,1.0,0.417,2.0,-0.085,0.668
comma_space,alt,0.01,0.5,4.0,0.453,4.0,0.047,0.693
line_wrap,alt,0.66,0.675,0.5,0.675,2.0,0.0,0.395
docstring_style,alt,0.05,0.91,4.0,0.854,4.0,0.056,0.97
docstring_quotes,alt,0.025,0.11,2.0,0.23,4.0,-0.12,0.905
comment_case,alt,0.045,0.28,2.0,0.26,2.0,0.02,0.575
comment_language,alt,0.0,0.06,2.0,0.075,1.0,-0.015,0.565
c_comment_style,alt,0.005,0.13,4.0,0.11,4.0,0.02,0.775
sql_keyword_case,alt,0.02,0.275,2.0,0.305,4.0,-0.03,0.87
sql_join_style,alt,0.005,0.585,4.0,0.579,4.0,0.006,0.749
r_assignment,alt,0.05,0.71,4.0,0.65,4.0,0.06,0.815
rust_question,alt,0.036,0.758,4.0,0.115,2.0,0.643,0.594
bash_test,alt,0.67,0.94,4.0,0.92,4.0,0.02,0.765
php_array,alt,0.135,0.699,4.0,0.679,4.0,0.02,0.58
py_snake_camel,nat,0.9,0.875,0.5,0.875,1.0,0.0,0.965
js_camel_snake,nat,0.86,0.845,1.0,0.83,1.0,0.015,0.885
py_const_naming,nat,0.015,0.03,0.5,0.035,0.5,-0.005,0.655
py_class_naming,nat,0.115,0.13,1.0,0.135,1.0,-0.005,0.46
py_private,nat,0.05,0.225,4.0,0.28,4.0,-0.055,0.455
py_bool_prefix,nat,0.005,0.125,4.0,0.375,4.0,-0.25,0.575
py_loop_vars,nat,0.346,0.628,4.0,0.691,4.0,-0.063,0.495
js_hungarian,nat,0.535,0.56,0.5,0.565,0.5,-0.005,0.66
py_abbrev,nat,0.125,0.16,4.0,0.165,4.0,-0.005,0.725
py_quotes,nat,0.281,0.453,2.0,0.406,1.0,0.047,0.812
js_quotes,nat,0.201,0.704,2.0,0.698,2.0,0.006,0.778
py_fstring,nat,0.18,0.855,4.0,0.865,4.0,-0.01,0.705
js_template,nat,0.247,0.242,1.0,0.237,1.0,0.005,0.894
num_separators,nat,0.328,0.489,2.0,0.481,4.0,0.008,0.832
hex_constants,nat,0.379,0.362,0.5,0.373,0.5,-0.011,0.514
float_literals,nat,0.488,0.66,4.0,0.654,4.0,0.006,0.531
sql_bool_case,nat,0.218,0.895,4.0,0.895,2.0,0.0,0.902
py2_print,nat,0.215,0.22,2.0,0.22,1.0,0.0,0.73
py2_iter,nat,0.688,0.694,4.0,0.729,4.0,-0.035,0.764
js_var,nat,0.4,0.535,4.0,0.57,4.0,-0.035,0.535
js_arrow,nat,0.781,0.878,1.0,0.883,1.0,-0.005,0.607
js_semicolons,nat,0.815,0.795,1.0,0.808,1.0,-0.013,0.856
trailing_commas,nat,0.131,0.431,2.0,0.415,2.0,0.016,0.846
py_paren_if,nat,0.633,0.663,2.0,0.693,2.0,-0.03,0.633
py_type_hints,nat,0.104,0.906,4.0,0.896,4.0,0.01,0.719
py_optional,nat,0.157,0.178,0.5,0.183,2.0,-0.005,0.597
py_comprehension,nat,0.361,0.433,2.0,0.381,1.0,0.052,0.598
py_not_in,nat,0.366,0.415,1.0,0.427,2.0,-0.012,0.518
py_ternary,nat,0.139,0.134,0.5,0.134,0.5,0.0,0.449
early_return,nat,0.31,0.305,4.0,0.34,4.0,-0.035,0.49
py_join_concat,nat,0.438,0.602,4.0,0.597,4.0,0.005,0.676
py_with_open,nat,0.07,0.11,4.0,0.085,4.0,0.025,0.575
