layer,position,r2_heldout_mean,r2_train_mean,best_alpha,alpha_pinned
2,d6_last,0.4242,0.8469,10000.0,False
2,d7_pre,0.168,0.8174,100.0,False
2,d7_first,0.38,0.7886,10000.0,False
2,d7_last,0.4181,0.8463,10000.0,False
2,d8_pre,0.1861,0.827,100.0,False
2,d8_first,0.38,0.7948,10000.0,False
2,d8_last,0.4201,0.8515,10000.0,False
2,d9_pre,0.1939,0.835,100.0,False
2,d9_first,0.3931,0.7935,10000.0,False
2,d9_last,0.4271,0.8501,10000.0,False
2,d10_pre,0.194,0.8417,100.0,False
2,d10_first,0.3867,0.7937,10000.0,False
2,d10_last,0.4255,0.8497,10000.0,False
2,query_cue,0.1665,0.8459,31.622776601683793,False
3,d1_pre,-0.072,0.2647,10000.0,False
3,d1_first,0.3697,0.8034,10000.0,False
3,d1_last,0.4329,0.8706,10000.0,False
3,d2_pre,0.1828,0.7578,316.2277660168379,False
3,d2_first,0.3887,0.8204,10000.0,False
3,d2_last,0.4517,0.8788,10000.0,False
3,d3_pre,0.2426,0.7998,316.2277660168379,False
3,d3_first,0.4041,0.8231,10000.0,False
3,d3_last,0.4652,0.8793,10000.0,False
3,d4_pre,0.2842,0.8242,316.2277660168379,False
3,d4_first,0.4116,0.8309,10000.0,False
3,d4_last,0.4674,0.8823,10000.0,False
3,d5_pre,0.3029,0.8405,316.2277660168379,False
3,d5_first,0.4194,0.834,10000.0,False
3,d5_last,0.475,0.8849,10000.0,False
3,d6_pre,0.3215,0.8514,316.2277660168379,False
3,d6_first,0.4321,0.8366,10000.0,False
3,d6_last,0.4843,0.8862,10000.0,False
3,d7_pre,0.3302,0.8593,316.2277660168379,False
3,d7_first,0.4291,0.8394,10000.0,False
3,d7_last,0.4833,0.8858,10000.0,False
3,d8_pre,0.3669,0.8975,100.0,False
3,d8_first,0.4287,0.845,10000.0,False
3,d8_last,0.4829,0.89,10000.0,False
3,d9_pre,0.368,0.9019,100.0,False
3,d9_first,0.437,0.8442,10000.0,False
3,d9_last,0.4901,0.8895,10000.0,False
3,d10_pre,0.3673,0.9042,100.0,False
3,d10_first,0.4341,0.8441,10000.0,False
3,d10_last,0.4878,0.8886,10000.0,False
3,query_cue,0.3049,0.865,100.0,False
