condition,task_group,mean_acc,median_acc,mean_drop_vs_1shot
zero_shot,train,0.0026,0.0,0.4814
zero_shot,heldout,0.0333,0.0,0.4104
zero_shot,all,0.0087,0.0,0.4674
real_1shot,train,0.484,0.4667,0.0
real_1shot,heldout,0.4437,0.4933,0.0
real_1shot,all,0.4761,0.4667,0.0
own_zero_L9to27,train,0.0121,0.0,0.4719
own_zero_L9to27,heldout,0.0207,0.0,0.423
own_zero_L9to27,all,0.0138,0.0,0.4622
own_mean_L9to27,train,0.3579,0.3533,0.1261
own_mean_L9to27,heldout,0.3335,0.2133,0.1102
own_mean_L9to27,all,0.3531,0.3133,0.123
cf_zero_L9to27,train,0.2027,0.16,0.2813
cf_zero_L9to27,heldout,0.1987,0.1133,0.2449
cf_zero_L9to27,all,0.2019,0.15,0.2741
cf_mean_L9to27,train,0.4774,0.4733,0.0066
cf_mean_L9to27,heldout,0.4337,0.5067,0.01
cf_mean_L9to27,all,0.4688,0.48,0.0073
