task,group,zero_shot,real_6shot,own_zero_L9to27,own_mean_L9to27,cf_zero_L9to27,cf_mean_L9to27,own_zero_L0to27,own_mean_L0to27,cf_zero_L0to27,cf_mean_L0to27,cf_task,family,cf_family,cos_own_cf
adjective_to_adverb,train,0.0,0.9133,0.0667,0.8867,0.3733,0.92,0.0667,0.9,0.2533,0.9467,french-english,morphology_linguistic,translation,0.7333
adjective_to_noun,train,0.0,0.6867,0.0133,0.5733,0.1867,0.7133,0.0,0.6467,0.18,0.68,english-spanish,morphology_linguistic,translation,0.7847
adverb_to_adjective,train,0.0067,0.9333,0.0467,0.8067,0.5067,0.9467,0.0333,0.8267,0.5,0.9267,first_digit,morphology_linguistic,string_manipulation,0.6328
ag_news,train,0.0,0.5267,0.0,0.5,0.4333,0.5333,0.0,0.5133,0.46,0.5,english-french,text_classification,translation,0.5481
agent_noun_to_verb,train,0.0,0.9267,0.0133,0.8867,0.8,0.9133,0.0333,0.8867,0.8067,0.9267,next_number_digits,morphology_linguistic,numerical,0.5769
animal_class,train,0.0067,0.86,0.0,0.6467,0.3533,0.8267,0.0,0.66,0.3133,0.84,singular_or_plural,world_knowledge,morphology_linguistic,0.6644
animal_plant_object,train,0.0,0.7867,0.0067,0.6067,0.26,0.7933,0.0,0.6467,0.1667,0.76,article_choice,world_knowledge,morphology_linguistic,0.7014
antonym,train,0.02,0.5667,0.0533,0.5333,0.2467,0.56,0.0267,0.5733,0.2333,0.5533,next_month_of_date,morphology_linguistic,numerical,0.6134
article_choice,train,0.0,0.8667,0.0,0.6133,0.7733,0.88,0.0067,0.5933,0.7467,0.8667,product-company,morphology_linguistic,world_knowledge,0.6248
capitalize,train,0.0,0.9733,0.0067,0.98,0.96,0.9733,0.0133,0.98,0.96,0.9867,prev_number_digits,string_manipulation,numerical,0.6332
capitalize_first_letter,train,0.0,0.9867,0.0133,0.9867,0.88,0.9933,0.0133,0.9867,0.8933,0.9933,second_digit,string_manipulation,numerical,0.6994
city-country,train,0.0067,0.8533,0.04,0.7933,0.66,0.8667,0.0867,0.8267,0.58,0.8333,english-french,world_knowledge,translation,0.6504
commonsense_qa,train,0.02,0.76,0.02,0.76,0.66,0.7333,0.04,0.7667,0.6467,0.7933,prev_item,text_classification,numerical,0.6418
compound_first,train,0.0,0.8067,0.0,0.7067,0.3333,0.8,0.0067,0.7467,0.28,0.7867,person-instrument,string_manipulation,world_knowledge,0.6466
compound_head,train,0.0,0.84,0.04,0.8067,0.2067,0.8667,0.02,0.8133,0.24,0.8333,capitalize,morphology_linguistic,string_manipulation,0.7421
concrete_abstract,train,0.0,0.9133,0.0067,0.7333,0.8667,0.9133,0.0,0.7467,0.88,0.9467,times_five,world_knowledge,numerical,0.4825
contains_letter_e,heldout,0.0,0.5533,0.0,0.4333,0.0467,0.5533,0.0,0.4133,0.0333,0.5267,hypernym_category,string_manipulation,world_knowledge,0.604
count_digits,heldout,0.0,0.7467,0.2067,0.7867,0.6867,0.8067,0.12,0.7867,0.7733,0.7667,us-city-state,numerical,world_knowledge,0.5818
count_words,train,0.0,0.62,0.0133,0.5867,0.4267,0.6533,0.0133,0.66,0.36,0.7133,german-english,numerical,translation,0.6532
country-capital,train,0.0067,0.86,0.0333,0.8333,0.72,0.8533,0.0667,0.8333,0.7667,0.84,remove_first_letter,world_knowledge,string_manipulation,0.5191
day_after_textual_date,train,0.0,0.9733,0.08,0.9733,0.94,0.9867,0.0933,0.9733,0.9333,0.9867,first_three_letters,numerical,string_manipulation,0.5033
double_no_carry,heldout,0.0,0.9467,0.1067,0.9333,0.82,0.96,0.1267,0.96,0.8333,0.9667,first_letter_second_word,numerical,string_manipulation,0.5814
double_number,train,0.0,0.9333,0.0533,0.9067,0.7133,0.96,0.0333,0.9533,0.7467,0.9467,compound_first,numerical,string_manipulation,0.5521
ends_with_ing,train,0.0,0.7133,0.0,0.6267,0.6,0.6667,0.0,0.6933,0.6,0.7067,next_in_group,string_manipulation,world_knowledge,0.4168
english-french,train,0.0,0.7067,0.1067,0.7133,0.64,0.7467,0.08,0.7,0.62,0.72,last_vowel,translation,string_manipulation,0.6522
english-german,train,0.0,0.4533,0.08,0.4133,0.1533,0.4467,0.0533,0.4467,0.18,0.4467,adjective_to_adverb,translation,morphology_linguistic,0.7152
english-italian,train,0.0,0.7733,0.0533,0.7267,0.6933,0.7467,0.0533,0.7333,0.7,0.7067,person_place_thing,translation,world_knowledge,0.5975
english-portuguese,train,0.0,0.8133,0.04,0.76,0.3,0.8067,0.0133,0.78,0.2533,0.7733,adjective_to_noun,translation,morphology_linguistic,0.7876
english-spanish,train,0.0,0.7533,0.0733,0.7333,0.44,0.76,0.0533,0.7067,0.4733,0.7333,adjective_to_adverb,translation,morphology_linguistic,0.7372
first_digit,train,0.0,0.9933,0.22,0.9933,0.9667,0.9733,0.28,0.9867,0.98,0.9867,verb_to_third_person,string_manipulation,morphology_linguistic,0.5886
first_letter_second_word,heldout,0.0,0.6733,0.0067,0.64,0.34,0.66,0.0,0.6333,0.3,0.7067,double_no_carry,string_manipulation,numerical,0.5814
first_three_letters,train,0.0,0.6133,0.0267,0.4267,0.3667,0.5933,0.0067,0.4933,0.3867,0.6267,singular_or_plural,string_manipulation,morphology_linguistic,0.5408
first_two_letters,train,0.0,0.8333,0.02,0.7467,0.62,0.8667,0.02,0.7667,0.6467,0.8533,day_after_textual_date,string_manipulation,numerical,0.5039
first_vowel,train,0.0,0.4667,0.0067,0.36,0.4867,0.46,0.0133,0.38,0.4267,0.48,person_place_thing,string_manipulation,world_knowledge,0.6042
french-english,heldout,0.0067,0.8533,0.0867,0.8467,0.7467,0.86,0.1133,0.82,0.6867,0.8667,larger_of_pair,translation,numerical,0.6197
french_noun_gender,heldout,0.0,0.8733,0.02,0.7,0.34,0.88,0.0133,0.76,0.3067,0.8667,english-italian,morphology_linguistic,translation,0.6031
german-english,train,0.0133,0.8867,0.0867,0.8267,0.3,0.88,0.0267,0.82,0.3067,0.88,french_noun_gender,translation,morphology_linguistic,0.6258
german_noun_gender,train,0.0,0.9467,0.0,0.8667,0.6333,0.9067,0.0,0.9,0.5933,0.9333,first_two_letters,morphology_linguistic,string_manipulation,0.6109
