condition,task_group,mean_acc,median_acc,mean_drop_vs_6shot
zero_shot,train,0.0026,0.0,0.8064
zero_shot,heldout,0.0333,0.0,0.7187
zero_shot,all,0.0087,0.0,0.789
real_6shot,train,0.809,0.8667,0.0
real_6shot,heldout,0.7521,0.78,0.0
real_6shot,all,0.7977,0.8566,0.0
own_zero_L9to27,train,0.0528,0.02,0.7562
own_zero_L9to27,heldout,0.0695,0.0133,0.6826
own_zero_L9to27,all,0.0561,0.02,0.7416
own_mean_L9to27,train,0.7496,0.7933,0.0594
own_mean_L9to27,heldout,0.6967,0.7,0.0554
own_mean_L9to27,all,0.7391,0.7767,0.0586
cf_zero_L9to27,train,0.5583,0.6,0.2507
cf_zero_L9to27,heldout,0.4815,0.5,0.2705
cf_zero_L9to27,all,0.5431,0.5433,0.2546
cf_mean_L9to27,train,0.805,0.8667,0.004
cf_mean_L9to27,heldout,0.7622,0.8067,-0.0102
cf_mean_L9to27,all,0.7965,0.8566,0.0012
own_zero_L0to27,train,0.0515,0.02,0.7575
own_zero_L0to27,heldout,0.0607,0.0133,0.6914
own_zero_L0to27,all,0.0533,0.0196,0.7444
own_mean_L0to27,train,0.7546,0.78,0.0543
own_mean_L0to27,heldout,0.7026,0.76,0.0495
own_mean_L0to27,all,0.7443,0.77,0.0534
cf_zero_L0to27,train,0.5453,0.58,0.2636
cf_zero_L0to27,heldout,0.4826,0.4933,0.2694
cf_zero_L0to27,all,0.5329,0.5467,0.2648
cf_mean_L0to27,train,0.8055,0.86,0.0034
cf_mean_L0to27,heldout,0.7582,0.82,-0.0062
cf_mean_L0to27,all,0.7962,0.8466,0.0015
