layer,demo1_input,demo1_cue,demo1_label,demo2_input,demo2_cue,demo2_label,demo3_input,demo3_cue,demo3_label,demo4_input,demo4_cue,demo4_label,demo5_input,demo5_cue,demo5_label,demo6_input,demo6_cue,demo6_label,demo7_input,demo7_cue,demo7_label,demo8_input,demo8_cue,demo8_label,demo9_input,demo9_cue,demo9_label,demo10_input,demo10_cue,demo10_label,query_input,query_cue
0,0.08361,0.07635,0.07469,0.08393,0.07558,0.07484,0.08414,0.07579,0.07533,0.08467,0.07610,0.07560,0.08496,0.07632,0.07592,0.08531,0.07652,0.07618,0.08547,0.07672,0.07649,0.08563,0.07685,0.07649,0.08575,0.07693,0.07661,0.08565,0.07699,0.07669,0.08569,0.07700
1,0.07607,0.07751,0.06811,0.07669,0.07347,0.06769,0.07670,0.07233,0.06818,0.07729,0.07184,0.06835,0.07759,0.07166,0.06854,0.07781,0.07152,0.06872,0.07784,0.07148,0.06889,0.07794,0.07147,0.06883,0.07797,0.07152,0.06891,0.07779,0.07158,0.06892,0.07770,0.07161
2,0.06639,0.06335,0.06070,0.06959,0.06242,0.06061,0.06997,0.06226,0.06091,0.07030,0.06223,0.06052,0.07040,0.06236,0.06043,0.07050,0.06249,0.06036,0.07045,0.06269,0.06045,0.07042,0.06271,0.06022,0.07038,0.06269,0.06019,0.07017,0.06276,0.06018,0.07004,0.06274
3,0.07421,0.07118,0.07125,0.07797,0.07957,0.07314,0.07927,0.08051,0.07427,0.08016,0.08085,0.07451,0.08077,0.08112,0.07474,0.08113,0.08117,0.07476,0.08127,0.08129,0.07499,0.08143,0.08128,0.07487,0.08155,0.08125,0.07479,0.08134,0.08117,0.07489,0.08126,0.08104
4,0.07752,0.07770,0.08064,0.08626,0.10237,0.08860,0.08866,0.11239,0.09198,0.09009,0.11680,0.09392,0.09104,0.11972,0.09528,0.09167,0.12161,0.09629,0.09215,0.12290,0.09732,0.09247,0.12393,0.09788,0.09280,0.12477,0.09843,0.09274,0.12529,0.09901,0.09289,0.12552
5,0.09011,0.09173,0.09631,0.09923,0.12424,0.10576,0.10167,0.12887,0.10795,0.10201,0.13114,0.10911,0.10199,0.13318,0.10967,0.10196,0.13482,0.11016,0.10195,0.13607,0.11061,0.10182,0.13713,0.11072,0.10179,0.13799,0.11094,0.10143,0.13855,0.11107,0.10131,0.13887
6,0.09329,0.10151,0.11279,0.10899,0.15743,0.12787,0.11527,0.18239,0.13541,0.11738,0.19059,0.13991,0.11860,0.19545,0.14254,0.11950,0.19868,0.14374,0.12007,0.20067,0.14457,0.12049,0.20232,0.14504,0.12082,0.20352,0.14535,0.12077,0.20446,0.14554,0.12104,0.20524
7,0.09949,0.10493,0.11938,0.11315,0.16097,0.13096,0.11693,0.18345,0.13582,0.11758,0.19319,0.13889,0.11834,0.19803,0.14100,0.11894,0.20120,0.14210,0.11940,0.20310,0.14254,0.11964,0.20482,0.14255,0.11990,0.20654,0.14256,0.11969,0.20793,0.14238,0.11983,0.20901
8,0.09936,0.11212,0.13314,0.11868,0.19434,0.16073,0.12607,0.23296,0.17632,0.12751,0.24476,0.18474,0.12798,0.25234,0.19090,0.12808,0.25791,0.19559,0.12848,0.26249,0.19861,0.12872,0.26646,0.20039,0.12904,0.26962,0.20206,0.12903,0.27207,0.20314,0.12930,0.27409
9,0.10523,0.12579,0.14510,0.12755,0.20435,0.18699,0.13619,0.24700,0.20849,0.13737,0.26267,0.21979,0.13799,0.27141,0.22608,0.13829,0.27681,0.22976,0.13883,0.28097,0.23182,0.13921,0.28430,0.23245,0.13954,0.28692,0.23365,0.13963,0.28894,0.23390,0.13994,0.29055
