layer,demo1_input,demo1_cue,demo1_label,demo2_input,demo2_cue,demo2_label,demo3_input,demo3_cue,demo3_label,demo4_input,demo4_cue,demo4_label,demo5_input,demo5_cue,demo5_label,demo6_input,demo6_cue,demo6_label,demo7_input,demo7_cue,demo7_label,demo8_input,demo8_cue,demo8_label,demo9_input,demo9_cue,demo9_label,demo10_input,demo10_cue,demo10_label,query_input,query_cue
0,3.49083,2.52793,2.97504,3.29315,2.44293,2.92306,3.26873,2.43836,2.92273,3.27369,2.44385,2.92746,3.28455,2.44469,2.94303,3.29405,2.44834,2.95413,3.30301,2.45373,2.96523,3.30713,2.45815,2.96279,3.30316,2.46037,2.96170,3.29767,2.46245,2.96492,3.29495,2.46243
1,3.33130,2.94992,2.98505,3.29457,2.73585,2.96472,3.29346,2.68218,2.99187,3.31208,2.65402,3.00357,3.32955,2.64559,3.01739,3.33536,2.64269,3.03117,3.33841,2.64478,3.04042,3.34110,2.64364,3.03161,3.33229,2.64490,3.03280,3.32529,2.64686,3.03210,3.31745,2.64862
2,3.27474,2.34737,2.79257,3.19125,2.25136,2.73394,3.18337,2.25148,2.74600,3.18304,2.25866,2.73338,3.18991,2.27100,2.73670,3.18934,2.28577,2.73622,3.18855,2.30089,2.74363,3.18707,2.30383,2.73381,3.18045,2.30458,2.73099,3.17595,2.31014,2.73381,3.16848,2.31207
3,4.06030,3.00583,3.64923,3.92993,3.25515,3.64327,3.95445,3.31405,3.70478,3.98202,3.33999,3.72321,4.00986,3.35482,3.73980,4.02311,3.36202,3.74347,4.03008,3.37181,3.75802,4.03969,3.37340,3.75283,4.04387,3.37371,3.74778,4.03695,3.37017,3.75806,4.03155,3.36424
4,4.58259,3.58299,4.48552,4.80296,5.03249,4.97931,4.95824,5.75499,5.24745,5.06360,6.03499,5.40157,5.13750,6.21164,5.50571,5.18344,6.31922,5.57958,5.22047,6.39168,5.65778,5.24602,6.44563,5.70048,5.26741,6.49191,5.74057,5.27167,6.51839,5.78919,5.28197,6.52943
5,5.78058,4.60913,5.73871,5.94732,6.57931,6.24207,6.09494,6.94379,6.42906,6.15307,7.02916,6.53798,6.17444,7.10359,6.58647,6.17666,7.15670,6.61626,6.17919,7.19743,6.65006,6.16318,7.23184,6.65037,6.15881,7.26215,6.66366,6.13663,7.27487,6.67840,6.12356,7.27662
6,6.24511,5.37958,7.40331,7.05445,8.62746,8.62786,7.55200,10.42513,9.31109,7.75165,10.99488,9.72794,7.86145,11.33018,9.96207,7.92645,11.54541,10.05148,7.96883,11.67790,10.12215,7.98704,11.77803,10.16090,8.00181,11.84960,10.17446,8.00149,11.90151,10.20369,8.01857,11.94382
7,7.07526,5.93510,8.40609,7.86934,9.62448,9.39156,8.30922,11.39940,9.93012,8.40214,12.04721,10.25724,8.45317,12.29824,10.46430,8.46980,12.43087,10.55116,8.48744,12.51152,10.59129,8.47772,12.57486,10.59276,8.47254,12.65984,10.57309,8.44780,12.72325,10.55922,8.44767,12.77514
8,7.58589,6.68845,10.30820,9.00615,12.46101,12.78343,9.79023,15.53080,14.25172,9.95965,16.25424,15.02571,9.98724,16.61988,15.58974,9.95855,16.87364,15.98967,9.96518,17.12167,16.24959,9.96210,17.32347,16.40581,9.96489,17.50239,16.51450,9.95669,17.62524,16.60724,9.96504,17.73385
9,8.67875,8.02853,12.09914,10.65366,14.37314,16.22625,11.71784,18.10697,18.45131,11.87268,19.09872,19.54158,11.91428,19.55541,20.11591,11.90180,19.81517,20.41540,11.92226,20.04033,20.57194,11.92811,20.21822,20.60119,11.93694,20.37011,20.66409,11.93981,20.48287,20.66900,11.95081,20.57164
