quantity,mean,lo,hi
cos_task_none,0.4978,0.4844,0.5108
cos_gen_none,0.4927,0.4787,0.5059
cos_task_own_mean,0.4506,0.4388,0.4623
cos_gen_own_mean,0.5105,0.5008,0.5199
cos_task_own_zero,0.4502,0.4383,0.4622
cos_gen_own_zero,0.511,0.5014,0.5202
cos_task_cf_mean,0.4977,0.4847,0.5106
cos_gen_cf_mean,0.4936,0.4797,0.5066
cos_task_cf_zero,0.4978,0.4844,0.5108
cos_gen_cf_zero,0.4938,0.4798,0.5071
dcos_own_mean,-0.0472,-0.0558,-0.0388
dcos_cf_mean,-0.0001,-0.0006,0.0005
dcos_own_minus_cf_mean,-0.0471,-0.0555,-0.0388
n_tasks_own_below_cf_mean,87.0,,
dcos_own_zero,-0.0476,-0.0561,-0.0392
dcos_cf_zero,0.0,-0.0005,0.0005
dcos_own_minus_cf_zero,-0.0476,-0.0562,-0.0392
n_tasks_own_below_cf_zero,87.0,,
readout_block,24.0,,
