quantity,mean,lo,hi
unsteered,0.0005,0.0001,0.001
steer,0.5405,0.4917,0.5897
steer_own_zero,0.0179,0.0117,0.0251
steer_cf_zero,0.2665,0.2286,0.305
steering_gain,0.54,0.49,0.5894
drop_own_fv_ablation,0.5226,0.4756,0.5694
drop_cf_fv_ablation,0.2741,0.2352,0.3151
drop_own_minus_cf,0.2485,0.2125,0.2843
frac_gain_removed_own,0.9677,,
frac_gain_removed_cf,0.5075,,
n_tasks_own_drop_gt_cf,93.0,,
n_tasks,96.0,,
