task,group,zs_base,zs_best,zs_bestL,zs_full_best,mix_base,mix_best,mix_bestL,mix_full_best,shuf_base,shuf_best,shuf_bestL,shuf_full_best
adjective_to_adverb,train,0.0,0.84,10,0.86,0.0,0.56,10,0.6,0.1,0.92,3,0.92
adjective_to_noun,train,0.1,0.4,3,0.4,0.18,0.38,0,0.38,0.1,0.66,12,0.68
agent_noun_to_verb,train,0.2,0.52,6,0.56,0.26,0.56,0,0.56,0.18,0.84,12,0.84
animal_class,train,0.0,0.76,0,0.86,0.06,0.64,0,0.72,0.96,1.0,0,1.0
animal_plant_object,train,0.0,0.64,1,0.62,0.0,0.6,0,0.64,0.9,0.94,0,0.94
antonym,train,0.0,0.5,11,0.48,0.0,0.46,11,0.46,0.38,0.64,8,0.64
article_choice,train,0.0,0.66,3,0.66,0.0,0.8,13,0.78,0.56,0.64,4,0.64
capitalize,train,0.0,0.9,1,0.98,0.0,0.8,13,0.94,0.16,0.96,9,0.96
capitalize_first_letter,train,0.0,1.0,6,1.0,0.0,1.0,0,1.0,0.64,0.96,8,0.98
city-country,train,0.0,0.82,12,0.82,0.06,0.84,11,0.84,0.68,0.9,0,0.9
compound_first,train,0.52,0.92,9,0.92,0.62,0.88,9,0.9,0.24,0.8,9,0.82
concrete_abstract,train,0.0,0.58,0,0.58,0.0,0.34,0,0.3,0.5,0.64,0,0.64
contains_letter_e,train,0.0,0.5,15,0.48,0.02,0.6,1,0.6,0.52,0.58,12,0.58
country-capital,train,0.0,0.8333,7,0.8571,0.0,0.3095,11,0.4286,0.6429,0.9524,0,0.9524
day_after_textual_date,train,0.0,0.88,8,0.9,0.0,0.12,6,0.14,0.2,0.9,0,0.88
english-italian,train,0.0,0.6,1,0.68,0.02,0.1,12,0.48,0.62,0.74,4,0.74
english-portuguese,train,0.0,0.36,0,0.64,0.0,0.1,0,0.34,0.62,0.74,11,0.74
english-spanish,train,0.0,0.6,9,0.64,0.0,0.3,12,0.36,0.52,0.82,9,0.84
first_three_letters,train,0.0,0.44,2,0.44,0.0,0.42,0,0.46,0.44,0.52,19,0.52
french_noun_gender,train,0.0,0.82,2,0.82,0.0,0.8,0,0.82,0.8,0.98,7,0.94
german-english,train,0.06,0.7,8,0.68,0.54,0.74,0,0.74,0.82,0.86,0,0.88
german_noun_gender,train,0.0,0.54,8,0.54,0.0,0.36,11,0.36,0.68,0.72,4,0.72
gerund_to_past,train,0.0,0.9,0,0.9,0.0,0.82,0,0.8,0.12,0.92,6,0.92
hypernym_category,train,0.0,0.44,0,0.52,0.0,0.52,0,0.56,0.54,0.78,4,0.8
iso_date_to_month,train,0.0,0.9,2,0.9,0.02,0.94,11,0.94,0.72,1.0,0,1.0
iso_date_year_plus_one,train,0.0,0.58,8,0.6,0.0,0.42,8,0.46,0.12,0.86,0,0.84
landmark-country,train,0.0,0.72,3,0.7,0.08,0.68,11,0.66,0.72,0.78,1,0.78
language_identification,train,0.0,0.98,6,0.98,0.0,0.96,0,0.96,0.9,0.94,0,0.94
larger_of_pair,train,0.42,0.74,1,0.74,0.48,0.7,8,0.7,0.22,0.54,0,0.54
larger_than_1000,train,0.0,0.58,1,0.58,0.04,0.58,8,0.58,0.58,0.68,15,0.68
lowercase_first_letter,train,0.0,0.22,9,0.6,0.0,0.76,16,0.86,0.46,0.94,3,0.96
lowercase_word,train,0.0,0.98,1,0.98,0.52,1.0,8,1.0,0.14,1.0,5,1.0
