task,group,d_cos_task_a0.0,d_cos_task_a0.5,d_cos_task_a1.0,d_cos_task_a2.0,d_cos_task_a4.0,d_cos_gen_a0.0,d_cos_gen_a0.5,d_cos_gen_a1.0,d_cos_gen_a2.0,d_cos_gen_a4.0,d_proj_task_a0.0,d_proj_task_a0.5,d_proj_task_a1.0,d_proj_task_a2.0,d_proj_task_a4.0,d_proj_gen_a0.0,d_proj_gen_a0.5,d_proj_gen_a1.0,d_proj_gen_a2.0,d_proj_gen_a4.0
adjective_to_adverb,train,0.0,0.10771,0.20712,0.24619,0.24136,0.0,0.08195,0.1219,0.11988,0.10698,0.0,10.4629,19.97942,23.43316,22.48355,0.0,8.70812,12.82181,12.43172,10.70734
adjective_to_noun,train,0.0,0.12865,0.21375,0.24006,0.23059,0.0,0.09468,0.13638,0.13427,0.11884,0.0,12.78669,21.69613,23.78764,22.35419,0.0,10.11175,15.066,14.47169,12.50076
ag_news,heldout,0.0,0.05025,0.09882,0.13781,0.13105,0.0,0.01995,0.03989,0.04886,0.03788,0.0,5.13035,9.86572,13.2873,11.45977,0.0,2.36602,4.40992,5.05953,3.07616
agent_noun_to_verb,train,0.0,0.12097,0.21264,0.25061,0.24586,0.0,0.08786,0.13575,0.14018,0.12554,0.0,11.78526,21.36693,25.00054,23.99482,0.0,9.05087,14.64612,15.07149,13.13695
animal_class,train,0.0,0.0623,0.12073,0.15273,0.1486,0.0,0.03847,0.069,0.08123,0.07773,0.0,5.94962,11.62056,14.34683,13.07196,0.0,3.88898,7.05084,7.96168,6.74291
animal_plant_object,train,0.0,0.04542,0.08475,0.11192,0.11824,0.0,0.02892,0.05164,0.06668,0.07165,0.0,4.2943,7.9514,10.41425,10.79711,0.0,2.89412,5.0855,6.4623,6.7163
antonym,train,0.0,0.05418,0.13498,0.19134,0.20128,0.0,0.06037,0.11193,0.10838,0.09616,0.0,5.73705,13.98134,19.90912,21.08239,0.0,6.46157,12.08655,12.34258,11.38103
article_choice,train,0.0,0.04341,0.07968,0.10425,0.0955,0.0,0.02061,0.0399,0.05533,0.05876,0.0,4.15288,7.54271,9.5095,8.11077,0.0,2.13422,3.99489,5.15608,4.8679
capitalize,train,0.0,0.09803,0.15937,0.18242,0.17592,0.0,0.07282,0.10022,0.10195,0.09741,0.0,9.45306,14.8442,16.39742,15.53453,0.0,7.48041,9.78646,9.39638,8.69017
capitalize_first_letter,train,0.0,0.07937,0.14774,0.17694,0.15982,0.0,0.04886,0.0901,0.09607,0.08239,0.0,7.6964,14.98455,18.22905,16.02649,0.0,5.07099,9.88485,10.92617,9.09327
city-country,train,0.0,0.04718,0.11974,0.17414,0.17898,0.0,0.04385,0.08122,0.08425,0.07192,0.0,4.31163,10.70085,14.55915,13.98452,0.0,4.06579,7.2957,6.58282,4.5812
compound_first,train,0.0,0.09326,0.1686,0.20629,0.20887,0.0,0.0713,0.11728,0.12782,0.1204,0.0,8.8945,16.67527,20.69625,20.73866,0.0,7.12248,12.35266,13.85986,12.95484
concrete_abstract,train,0.0,0.03787,0.06202,0.07729,0.08067,0.0,0.01882,0.03378,0.04553,0.05194,0.0,3.48749,5.6761,6.98866,7.05883,0.0,1.80347,3.17211,4.17051,4.51021
contains_letter_e,train,0.0,0.03707,0.06377,0.07853,0.07439,0.0,0.02193,0.03838,0.04866,0.05005,0.0,3.58514,5.86525,6.84434,6.06123,0.0,2.22511,3.60796,4.23151,3.9793
country-capital,train,0.0,0.06051,0.15642,0.21523,0.21587,0.0,0.06512,0.09756,0.08147,0.06387,0.0,6.09339,15.36159,20.31661,19.48413,0.0,6.88214,10.31705,8.25003,5.80931
day_after_textual_date,train,0.0,0.07539,0.15217,0.16203,0.10974,0.0,0.06927,0.0941,0.07757,0.0475,0.0,7.57668,14.90429,14.78076,9.29435,0.0,7.95926,9.99513,6.51348,2.30986
ends_with_ing,heldout,0.0,0.03591,0.0612,0.07537,0.07183,0.0,0.0203,0.03521,0.04436,0.04544,0.0,3.46923,5.59008,6.50756,5.77879,0.0,2.05414,3.25721,3.76735,3.49307
english-french,heldout,0.0,0.08335,0.18747,0.23159,0.22783,0.0,0.07398,0.10625,0.07788,0.05666,0.0,8.1491,18.40973,21.98084,21.25357,0.0,7.80977,11.59254,8.35576,6.03972
english-italian,train,0.0,0.07499,0.17547,0.23313,0.23485,0.0,0.06618,0.10367,0.08318,0.06296,0.0,7.36872,17.3365,22.40458,22.25866,0.0,7.3042,11.72298,9.35012,7.14147
english-portuguese,train,0.0,0.07908,0.18538,0.23323,0.23283,0.0,0.06777,0.10389,0.08028,0.06182,0.0,7.82372,18.34676,22.61198,22.28012,0.0,7.42955,11.65326,9.15828,7.14029
english-spanish,train,0.0,0.08676,0.19388,0.23067,0.2246,0.0,0.07121,0.10396,0.07503,0.05277,0.0,8.47148,19.22448,22.2938,21.29316,0.0,7.44777,11.45314,8.36172,5.90926
first_digit,heldout,0.0,0.06075,0.10453,0.13359,0.1303,0.0,0.03367,0.05381,0.06135,0.05467,0.0,6.04261,10.02869,12.16534,11.1192,0.0,3.61638,5.39042,5.54082,4.21345
first_three_letters,train,0.0,0.12491,0.22779,0.25372,0.23955,0.0,0.0895,0.12639,0.11162,0.09161,0.0,12.46552,23.51786,24.82484,22.55331,0.0,9.80877,14.78079,12.15116,9.3742
french-english,heldout,0.0,0.0823,0.17136,0.21238,0.2168,0.0,0.08611,0.13718,0.12661,0.11294,0.0,8.96937,18.42682,21.97893,22.32466,0.0,9.53626,15.44846,14.06964,12.69903
french_noun_gender,train,0.0,0.06176,0.10779,0.1268,0.11257,0.0,0.03284,0.06149,0.07815,0.07746,0.0,5.93173,10.3459,11.80704,9.66519,0.0,3.39449,6.23607,7.45677,6.44154
german-english,train,0.0,0.08794,0.17989,0.22174,0.2286,0.0,0.08638,0.13455,0.12751,0.11609,0.0,9.53988,19.22894,23.20651,23.95266,0.0,9.601,15.13305,14.37496,13.33993
german_noun_gender,train,0.0,0.0453,0.08803,0.11659,0.10503,0.0,0.02932,0.05247,0.06337,0.05788,0.0,4.4444,8.33144,10.34577,8.43859,0.0,3.05999,5.12294,5.46265,4.02379
gerund_to_base,heldout,0.0,0.13848,0.22682,0.254,0.2408,0.0,0.09657,0.13543,0.13197,0.11383,0.0,13.64777,22.63385,24.81624,22.98466,0.0,10.13984,14.50769,13.74877,11.45704
gerund_to_past,train,0.0,0.13278,0.22748,0.2565,0.24971,0.0,0.09174,0.13035,0.12466,0.10736,0.0,12.92561,22.12038,24.16301,23.03954,0.0,9.46811,13.4276,12.19488,10.11344
hypernym_category,train,0.0,0.04786,0.10817,0.16288,0.1834,0.0,0.04377,0.08276,0.102,0.10057,0.0,4.62248,10.45477,15.58775,17.04834,0.0,4.37873,8.36995,10.28264,9.74358
initials_two_words,heldout,0.0,0.09407,0.21348,0.28605,0.29236,0.0,0.05913,0.10934,0.10708,0.08883,0.0,8.65569,20.76862,28.04299,27.96271,0.0,5.65036,11.47922,11.69685,9.49035
iso_date_to_month,train,0.0,0.07088,0.1368,0.17965,0.17031,0.0,0.0448,0.07416,0.08353,0.07354,0.0,7.12387,13.39379,16.7321,15.05633,0.0,5.07607,7.77538,7.69177,5.74075
iso_date_year_plus_one,train,0.0,0.07582,0.17066,0.23691,0.23297,0.0,0.05209,0.08923,0.09358,0.08082,0.0,7.57821,16.55438,22.35208,20.89042,0.0,5.68581,9.06425,8.91242,6.59582
landmark-country,train,0.0,0.05092,0.119,0.16754,0.16767,0.0,0.03735,0.06979,0.07761,0.06854,0.0,4.78363,10.90549,14.61416,13.63935,0.0,3.65361,6.58834,6.6889,4.99459
language_identification,train,0.0,0.0533,0.10324,0.12896,0.11594,0.0,0.02829,0.05916,0.07571,0.07098,0.0,5.39142,10.37455,12.45045,10.0774,0.0,3.23462,6.48688,7.70918,6.06004
larger_of_pair,train,0.0,0.10051,0.16327,0.18278,0.17503,0.0,0.05651,0.07974,0.08087,0.07545,0.0,9.60333,15.14378,16.52166,15.04767,0.0,5.71794,7.59513,7.29008,6.02292
larger_than_1000,train,0.0,0.0368,0.05665,0.06327,0.05157,0.0,0.01787,0.02624,0.02902,0.02553,0.0,3.53303,4.97965,4.87756,3.03239,0.0,1.77615,2.20398,1.83889,0.81318
lowercase_first_letter,train,0.0,0.07987,0.16496,0.21529,0.20497,0.0,0.04837,0.09426,0.10408,0.08964,0.0,7.40355,15.5387,20.35728,18.7714,0.0,4.63377,9.24047,10.3198,8.37047
lowercase_word,train,0.0,0.12118,0.20331,0.2365,0.2351,0.0,0.08805,0.1312,0.13931,0.13515,0.0,12.08583,19.92647,22.47455,21.77981,0.0,9.58217,13.68957,13.7411,12.69991
national_parks,train,0.0,0.05381,0.12783,0.17228,0.14471,0.0,0.03685,0.06394,0.06724,0.05066,0.0,4.8091,11.24312,14.54898,11.032,0.0,3.19297,5.29205,4.86555,2.22956
natural_manmade,train,0.0,0.03722,0.06334,0.07492,0.06897,0.0,0.02185,0.03982,0.05101,0.05443,0.0,3.33344,5.64128,6.56977,5.85281,0.0,1.98407,3.5709,4.45596,4.53913
next_item,train,0.0,0.06072,0.12727,0.18239,0.19398,0.0,0.05006,0.08382,0.08756,0.07475,0.0,6.74794,13.41532,18.26731,19.0769,0.0,5.95826,9.4913,9.41406,7.93115
next_month_of_date,train,0.0,0.08102,0.15588,0.20733,0.20255,0.0,0.05315,0.07864,0.08091,0.07229,0.0,8.38704,15.81458,20.16633,18.73564,0.0,6.17877,8.83488,8.36977,6.56655
next_number_digits,train,0.0,0.083,0.18341,0.25227,0.25544,0.0,0.05789,0.09019,0.08383,0.06826,0.0,8.32893,17.95137,24.72031,24.32273,0.0,6.50421,9.53746,9.07102,6.86347
number_word_to_digits,train,0.0,0.13902,0.23914,0.27595,0.2546,0.0,0.09631,0.1292,0.12405,0.10138,0.0,13.86247,23.75918,27.06103,23.72785,0.0,10.68866,14.18894,13.40647,9.85385
park-country,train,0.0,0.04597,0.12022,0.17059,0.15262,0.0,0.04202,0.07195,0.07055,0.05414,0.0,4.18637,10.78761,14.50551,11.66018,0.0,3.81942,6.33863,5.34958,2.61518
past_to_base,heldout,0.0,0.1423,0.23155,0.26091,0.24774,0.0,0.09867,0.13609,0.13354,0.1161,0.0,14.07734,23.15052,25.54249,23.77707,0.0,10.68661,14.98722,14.32206,12.14801
person-instrument,train,0.0,0.05841,0.09911,0.11858,0.11291,0.0,0.03309,0.0509,0.05633,0.05209,0.0,5.92356,9.77217,10.83514,9.28675,0.0,3.63728,5.37182,5.23013,3.93421
person-sport,train,0.0,0.04994,0.1064,0.14366,0.12594,0.0,0.03271,0.05737,0.06521,0.05357,0.0,4.79731,10.0317,12.79345,9.99909,0.0,3.34274,5.70349,5.78624,3.51244
person_place_thing,heldout,0.0,0.04394,0.07934,0.10426,0.10842,0.0,0.02656,0.04697,0.0606,0.06442,0.0,3.95171,7.06333,9.08967,9.14824,0.0,2.41269,4.18868,5.21051,5.23807
plural_to_singular,train,0.0,0.12714,0.20923,0.24344,0.2366,0.0,0.09016,0.13005,0.13451,0.12282,0.0,12.41906,20.2763,22.93706,21.70899,0.0,9.19779,13.10008,12.97271,11.31792
pos_label,heldout,0.0,0.05842,0.11105,0.14724,0.14532,0.0,0.03716,0.06945,0.08991,0.09092,0.0,5.69618,10.96359,14.68494,14.02743,0.0,3.9655,7.46947,9.77034,9.34775
present-past,train,0.0,0.1265,0.2328,0.27816,0.28242,0.0,0.09104,0.13835,0.13816,0.12662,0.0,12.54504,22.79851,26.86475,27.0775,0.0,9.66808,14.35557,14.09474,12.81936
prev_number_digits,train,0.0,0.08944,0.20405,0.28111,0.27794,0.0,0.07012,0.11149,0.10638,0.08494,0.0,8.92165,20.41004,28.29561,27.0868,0.0,7.71513,12.26867,12.10933,9.06841
product-company,train,0.0,0.04143,0.10072,0.16129,0.17384,0.0,0.03304,0.06129,0.06972,0.0657,0.0,4.29383,10.27305,15.75653,15.94427,0.0,3.57129,6.63713,7.21247,6.02172
sentiment,train,0.0,0.04739,0.09683,0.13111,0.12647,0.0,0.02425,0.04931,0.06476,0.0627,0.0,4.74192,9.70495,12.82279,11.43059,0.0,2.65104,5.34216,6.71384,5.66022
singular-plural,train,0.0,0.09808,0.18629,0.22899,0.23383,0.0,0.07673,0.10803,0.10873,0.10267,0.0,9.50707,17.54242,21.12458,21.32003,0.0,8.05661,10.76247,10.41088,9.57666
singular_or_plural,train,0.0,0.05153,0.08993,0.11376,0.11566,0.0,0.02584,0.04842,0.06503,0.07087,0.0,5.00524,8.78031,11.13413,11.05405,0.0,2.76369,5.11979,6.81858,7.08068
smaller_of_pair,heldout,0.0,0.10239,0.1705,0.19399,0.18832,0.0,0.05831,0.08421,0.08595,0.08031,0.0,9.84775,15.88216,17.60858,16.3619,0.0,5.95093,8.07407,7.82213,6.60655
spanish-english,heldout,0.0,0.0908,0.18171,0.22392,0.22686,0.0,0.08816,0.1397,0.13245,0.11708,0.0,9.75677,19.29973,22.93595,23.08213,0.0,9.80589,15.66924,14.56209,12.97258
spanish_noun_gender,train,0.0,0.05742,0.0983,0.11475,0.10018,0.0,0.03194,0.05731,0.0721,0.07118,0.0,5.58571,9.48391,10.60364,8.33462,0.0,3.33915,5.81906,6.74649,5.59264
starts_with_vowel,train,0.0,0.04816,0.08445,0.1095,0.11302,0.0,0.02648,0.04744,0.06336,0.06932,0.0,4.33491,7.69836,10.10203,10.19633,0.0,2.42878,4.43085,6.01202,6.33092
third_person_to_base,train,0.0,0.12631,0.20611,0.23606,0.22682,0.0,0.08847,0.12598,0.12871,0.11651,0.0,12.344,19.97323,22.28585,20.9172,0.0,9.1357,12.80263,12.52538,10.86582
titlecase_phrase,train,0.0,0.07287,0.13514,0.15754,0.14767,0.0,0.05646,0.08308,0.08474,0.07702,0.0,6.44918,11.40653,12.49639,11.10053,0.0,5.04034,6.69002,5.80773,4.45329
uppercase_word,heldout,0.0,0.12215,0.1936,0.21313,0.20216,0.0,0.08151,0.10479,0.09869,0.08789,0.0,11.89675,18.33352,19.18033,17.72709,0.0,8.82771,10.74207,9.09697,7.59941
us-city-state,train,0.0,0.05529,0.12465,0.174,0.17391,0.0,0.04078,0.06643,0.06703,0.05796,0.0,4.98031,10.79398,14.09125,13.13264,0.0,3.70258,5.52909,4.52383,2.82208
verb_tense_label,train,0.0,0.04907,0.0928,0.12238,0.12583,0.0,0.02695,0.05249,0.06957,0.07296,0.0,4.63814,8.85309,11.65006,11.59634,0.0,2.70111,5.28875,6.94882,6.88764
verb_to_third_person,train,0.0,0.12438,0.21765,0.24878,0.2427,0.0,0.08771,0.12315,0.11992,0.10779,0.0,12.03429,20.86634,23.24405,22.31819,0.0,9.33998,12.82661,11.91836,10.38729
word_polarity,heldout,0.0,0.03948,0.0715,0.09457,0.09993,0.0,0.01927,0.03979,0.05726,0.0655,0.0,3.66852,6.71925,8.86962,9.09238,0.0,1.92859,3.97713,5.63324,6.10457
