alpha,task_group,cos_task_raw,cos_gen_raw,d_cos_task,d_cos_gen,proj_task_raw,proj_gen_raw,d_proj_task,d_proj_gen
0.0,train,0.17833,0.27486,0.0,0.0,15.97191,24.68123,0.0,0.0
0.0,heldout,0.20011,0.2752,0.0,0.0,17.79349,24.46714,0.0,0.0
0.0,all,0.18275,0.27492,0.0,0.0,16.34151,24.63779,0.0,0.0
0.5,train,0.25371,0.32887,0.07538,0.05401,23.34536,30.34904,7.37345,5.66781
0.5,heldout,0.28186,0.33229,0.08176,0.05709,25.862,30.52076,8.06851,6.05362
0.5,all,0.25942,0.32956,0.07668,0.05464,23.85599,30.38389,7.51448,5.74609
1.0,train,0.32373,0.36051,0.1454,0.08566,30.08376,33.53595,14.11185,8.85472
1.0,heldout,0.35032,0.36363,0.15021,0.08844,32.58889,33.8381,14.7954,9.37095
1.0,all,0.32912,0.36115,0.14637,0.08622,30.59205,33.59726,14.25054,8.95947
2.0,train,0.36042,0.36355,0.18209,0.0887,33.16673,33.43719,17.19482,8.75596
2.0,heldout,0.3836,0.36495,0.18349,0.08975,35.41426,33.65686,17.62077,9.18972
2.0,all,0.36512,0.36383,0.18237,0.08891,33.62275,33.48176,17.28124,8.84397
4.0,train,0.3554,0.35449,0.17707,0.07964,32.07762,31.94372,16.10571,7.26249
4.0,heldout,0.38081,0.35609,0.1807,0.08089,34.65775,32.35898,16.86426,7.89184
4.0,all,0.36056,0.35482,0.17781,0.07989,32.60112,32.02797,16.25962,7.39018
