alpha,task_group,cos_task_raw,cos_gen_raw,d_cos_task,d_cos_gen,proj_task_raw,proj_gen_raw,d_proj_task,d_proj_gen
0.0,train,0.38907,0.46549,0.0,0.0,91.18864,109.04166,0.0,0.0
0.0,heldout,0.38255,0.46494,0.0,0.0,89.66915,108.95998,0.0,0.0
0.0,all,0.38778,0.46538,0.0,0.0,90.88791,109.0255,0.0,0.0
0.5,train,0.41932,0.47016,0.03026,0.00467,99.80617,111.77494,8.61753,2.73327
0.5,heldout,0.41164,0.46745,0.02909,0.00251,97.90109,111.05716,8.23194,2.09718
0.5,all,0.4178,0.46962,0.03002,0.00424,99.42912,111.63288,8.54121,2.60738
1.0,train,0.47214,0.49091,0.08307,0.02543,114.49875,118.77295,23.31011,9.73129
1.0,heldout,0.46152,0.48604,0.07897,0.0211,112.09991,117.65694,22.43076,8.69695
1.0,all,0.47003,0.48995,0.08226,0.02457,114.02398,118.55208,23.13608,9.52658
2.0,train,0.50475,0.50607,0.11568,0.04059,125.69936,125.45637,34.51072,16.41471
2.0,heldout,0.4892,0.49261,0.10666,0.02766,120.88682,121.15302,31.21767,12.19304
2.0,all,0.50167,0.50341,0.11389,0.03803,124.74688,124.60467,33.85897,15.57917
4.0,train,0.49979,0.49969,0.11073,0.03421,124.62239,124.0766,33.43375,15.03494
4.0,heldout,0.48552,0.48765,0.10298,0.02271,119.01026,119.14685,29.34111,10.18687
4.0,all,0.49697,0.49731,0.10919,0.03193,123.51165,123.10092,32.62375,14.07542
