task,group,d_cos_task_a0.0,d_cos_task_a0.5,d_cos_task_a1.0,d_cos_task_a2.0,d_cos_task_a4.0,d_cos_gen_a0.0,d_cos_gen_a0.5,d_cos_gen_a1.0,d_cos_gen_a2.0,d_cos_gen_a4.0,d_proj_task_a0.0,d_proj_task_a0.5,d_proj_task_a1.0,d_proj_task_a2.0,d_proj_task_a4.0,d_proj_gen_a0.0,d_proj_gen_a0.5,d_proj_gen_a1.0,d_proj_gen_a2.0,d_proj_gen_a4.0
adjective_to_adverb,train,0.0,0.03857,0.11533,0.14506,0.12562,0.0,0.00066,0.05387,0.07887,0.07498,0.0,10.09251,29.07938,37.08981,30.50166,0.0,1.05791,14.37852,21.24372,18.37136
adjective_to_noun,train,0.0,0.04749,0.12338,0.15555,0.12028,0.0,0.03463,0.09053,0.10158,0.06373,0.0,12.51405,32.29381,47.74393,41.24962,0.0,9.60409,24.68236,35.13661,28.00804
adverb_to_adjective,train,0.0,0.06644,0.14417,0.1614,0.14439,0.0,0.05475,0.11645,0.11697,0.1023,0.0,17.74174,42.59792,56.84,52.13893,0.0,15.15921,36.33321,46.30053,42.2201
ag_news,train,0.0,0.04413,0.11843,0.14697,0.15041,0.0,-0.00871,0.01365,0.03955,0.05638,0.0,13.50692,36.65926,48.73559,50.14442,0.0,1.67843,12.32598,23.46455,28.27552
agent_noun_to_verb,train,0.0,0.03378,0.12321,0.17283,0.14057,0.0,0.01909,0.07752,0.10235,0.06569,0.0,8.26318,30.84074,54.31213,47.14041,0.0,4.84718,20.17971,37.66938,29.34202
animal_class,train,0.0,0.04121,0.10203,0.12481,0.12126,0.0,0.00227,0.04098,0.05314,0.05037,0.0,13.60464,32.46066,43.56685,41.51767,0.0,4.34242,17.62569,25.80213,23.99885
animal_plant_object,train,0.0,0.04646,0.10881,0.14394,0.1389,0.0,0.0062,0.04339,0.06969,0.06532,0.0,14.42932,33.32228,46.48953,43.35287,0.0,4.89214,17.48721,28.24448,25.37631
antonym,train,0.0,0.01974,0.08198,0.11788,0.11926,0.0,0.00952,0.05987,0.07897,0.07475,0.0,4.75443,21.06202,44.11972,52.71321,0.0,2.33565,15.88864,35.08518,42.20301
article_choice,train,0.0,0.04188,0.08806,0.09995,0.10369,0.0,0.00627,0.01423,0.01534,0.01614,0.0,10.06361,21.9102,26.16389,25.97054,0.0,1.63179,4.37878,5.99286,5.14252
capitalize,train,0.0,0.02917,0.09593,0.13107,0.12364,0.0,0.01753,0.06456,0.08483,0.07477,0.0,10.31167,30.44038,44.50488,41.85199,0.0,7.90761,23.44226,33.85651,30.50601
capitalize_first_letter,train,0.0,0.03212,0.08987,0.14672,0.13614,0.0,-0.00196,0.0116,0.05886,0.04544,0.0,8.98888,22.91159,35.58817,32.09056,0.0,1.31339,4.75479,15.09925,10.88201
city-country,train,0.0,0.00376,0.02301,0.02045,-0.00484,0.0,-0.03137,-0.01495,-0.01244,-0.03857,0.0,5.39821,15.88419,18.3865,9.70329,0.0,-3.16242,6.31026,10.007,1.17874
commonsense_qa,train,0.0,0.05854,0.09082,0.1156,0.117,0.0,0.03216,0.03858,0.04,0.03626,0.0,15.82368,21.04022,25.92738,28.51497,0.0,9.42622,8.70579,8.22229,9.24006
compound_first,train,0.0,0.02428,0.07213,0.13741,0.12991,0.0,0.02119,0.05665,0.10342,0.09046,0.0,5.75179,17.23977,38.97375,43.60921,0.0,5.02542,13.60698,31.1869,34.61971
compound_head,train,0.0,0.03043,0.08433,0.12441,0.12384,0.0,0.01943,0.04019,0.06814,0.06367,0.0,7.55308,23.27211,35.83288,35.27483,0.0,5.02676,13.10062,22.81754,21.27939
concrete_abstract,train,0.0,0.05803,0.13559,0.18243,0.18691,0.0,0.01803,0.05691,0.10011,0.11488,0.0,15.02668,35.97466,50.14185,50.95619,0.0,5.7719,17.54784,30.92513,34.29932
contains_letter_e,heldout,0.0,0.02681,0.06552,0.11517,0.12868,0.0,0.00523,0.01423,0.02531,0.0274,0.0,6.92237,16.29038,29.66569,34.0816,0.0,1.95171,4.31631,8.53642,10.17711
count_digits,heldout,0.0,0.03594,0.08188,0.09775,0.0912,0.0,0.02212,0.04444,0.02442,0.00244,0.0,8.73631,18.5872,22.40791,21.86184,0.0,5.64292,9.84595,5.39504,1.34518
count_words,train,0.0,0.01775,0.06871,0.12699,0.13176,0.0,0.00475,0.02282,0.03942,0.03915,0.0,4.66795,15.51208,26.13065,26.47168,0.0,1.72765,4.89429,6.00604,5.25924
country-capital,train,0.0,-0.02272,-0.00411,0.0148,0.00458,0.0,-0.10831,-0.09506,-0.08119,-0.10425,0.0,1.42425,5.84323,14.07784,11.59367,0.0,-18.77525,-15.86657,-8.84885,-14.78451
day_after_textual_date,train,0.0,0.01986,0.05487,0.0996,0.1183,0.0,0.01198,0.00731,0.00352,0.06067,0.0,5.50822,10.47205,19.37543,21.8189,0.0,3.86356,-1.02193,-3.23656,7.74339
double_no_carry,heldout,0.0,0.024,0.06261,0.10928,0.10626,0.0,0.0143,0.0474,0.09411,0.07275,0.0,5.94283,10.67871,16.18847,16.0783,0.0,3.75646,6.56038,11.39809,7.42852
double_number,train,0.0,0.00615,0.02938,0.07967,0.08272,0.0,0.00235,0.01552,0.06097,0.03658,0.0,1.69292,2.46033,9.41908,11.86514,0.0,0.87276,-1.60185,3.5988,0.41718
ends_with_ing,train,0.0,0.03352,0.07321,0.11842,0.12977,0.0,0.01011,0.01895,0.02667,0.02838,0.0,7.82851,17.43633,29.69916,33.67681,0.0,2.32737,4.71317,8.12692,9.76741
english-french,train,0.0,0.01777,0.04341,0.09817,0.10516,0.0,-0.01037,-0.03251,0.01484,0.02435,0.0,7.31819,19.94866,40.79642,44.23497,0.0,1.24957,2.55579,21.47587,25.5642
english-german,train,0.0,0.00718,0.01818,0.06936,0.06562,0.0,-0.01031,-0.05346,-0.01868,-0.03329,0.0,3.77929,10.60378,24.57904,25.54189,0.0,0.07091,-5.85435,4.01514,2.16792
