layer,cos_task_a0.0,cos_task_a0.5,cos_task_a1.0,cos_task_a2.0,cos_task_a4.0,d_cos_task_a0.0,d_cos_task_a0.5,d_cos_task_a1.0,d_cos_task_a2.0,d_cos_task_a4.0
0,0.17059,0.17059,0.17059,0.17059,0.17059,0.0,0.0,0.0,0.0,0.0
1,0.19928,0.19928,0.19928,0.19928,0.19928,0.0,0.0,0.0,0.0,0.0
2,0.23392,0.23392,0.23392,0.23392,0.23392,0.0,0.0,0.0,0.0,0.0
3,0.17427,0.17427,0.17427,0.17427,0.17427,0.0,0.0,0.0,0.0,0.0
4,0.16487,0.16487,0.16487,0.16487,0.16487,0.0,0.0,0.0,0.0,0.0
5,0.21747,0.21747,0.21747,0.21747,0.21747,0.0,0.0,0.0,0.0,0.0
6,0.22499,0.22499,0.22499,0.22499,0.22499,0.0,0.0,0.0,0.0,0.0
7,0.23208,0.23208,0.23208,0.23208,0.23208,0.0,0.0,0.0,0.0,0.0
8,0.19227,0.19227,0.19227,0.19227,0.19227,0.0,0.0,0.0,0.0,0.0
9,0.27433,0.27433,0.27433,0.27433,0.27433,0.0,0.0,0.0,0.0,0.0
10,0.26491,0.26491,0.26491,0.26491,0.26491,0.0,0.0,0.0,0.0,0.0
11,0.28065,0.28065,0.28065,0.28065,0.28065,0.0,0.0,0.0,0.0,0.0
12,0.29769,0.29769,0.29769,0.29769,0.29769,0.0,0.0,0.0,0.0,0.0
13,0.25991,0.26347,0.26472,0.26535,0.26557,0.0,0.00356,0.00481,0.00544,0.00566
14,0.3282,0.3409,0.34476,0.34502,0.34231,0.0,0.0127,0.01657,0.01682,0.01411
15,0.3071,0.32088,0.32733,0.32935,0.32647,0.0,0.01378,0.02023,0.02225,0.01937
16,0.31088,0.329,0.33966,0.34596,0.34103,0.0,0.01812,0.02878,0.03509,0.03015
17,0.30956,0.33688,0.36289,0.38381,0.38435,0.0,0.02732,0.05333,0.07425,0.07479
18,0.29791,0.3298,0.36553,0.39106,0.38876,0.0,0.03188,0.06762,0.09315,0.09085
19,0.31522,0.35623,0.39862,0.42319,0.41551,0.0,0.04101,0.0834,0.10797,0.10029
20,0.32779,0.3581,0.40515,0.44049,0.43808,0.0,0.03031,0.07736,0.1127,0.11029
21,0.32932,0.35674,0.40424,0.43671,0.43152,0.0,0.02741,0.07492,0.10739,0.1022
22,0.33477,0.37097,0.43259,0.47093,0.46806,0.0,0.03619,0.09782,0.13615,0.13329
23,0.35358,0.38526,0.44073,0.47307,0.46907,0.0,0.03169,0.08715,0.11949,0.11549
24,0.38778,0.4178,0.47003,0.50167,0.49697,0.0,0.03002,0.08226,0.11389,0.10919
25,0.37,0.39967,0.45178,0.48881,0.48257,0.0,0.02967,0.08178,0.11881,0.11257
26,0.39136,0.40734,0.44288,0.47544,0.47397,0.0,0.01598,0.05152,0.08408,0.08261
27,0.30076,0.24607,0.17016,0.15644,0.15797,0.0,-0.05469,-0.1306,-0.14432,-0.14279
