role,layer,W,stable_rank_raw,stable_rank_norm,first_sv_share_norm,pairwise_cos_mean,pairwise_cos_std,align_with_mean_axis_mean,mean_axis_resultant_len
label,0,60,12.3890,15.1933,0.0658,0.0181,0.0872,0.1858,0.1858
label,1,60,9.9406,9.9506,0.1005,0.0514,0.0885,0.2593,0.2593
label,2,60,12.0907,11.7873,0.0848,0.0401,0.0765,0.2368,0.2368
label,3,60,8.2309,8.1443,0.1228,0.0788,0.0920,0.3068,0.3068
label,4,60,5.1306,5.3034,0.1886,0.1387,0.1202,0.3913,0.3913
label,5,60,4.6371,4.9324,0.2027,0.1535,0.1241,0.4094,0.4094
label,6,60,3.9796,4.3885,0.2279,0.1729,0.1398,0.4321,0.4321
label,7,60,3.3386,3.6826,0.2716,0.2210,0.1464,0.4837,0.4837
label,8,60,3.4074,3.6979,0.2704,0.2201,0.1449,0.4828,0.4828
label,9,60,3.6356,3.9082,0.2559,0.2081,0.1366,0.4704,0.4704
label,10,60,3.9474,4.2220,0.2369,0.1908,0.1288,0.4519,0.4519
label,11,60,4.2318,4.5079,0.2218,0.1771,0.1225,0.4369,0.4369
label,12,60,4.0352,4.3317,0.2309,0.1837,0.1296,0.4442,0.4442
label,13,60,4.0564,4.3752,0.2286,0.1806,0.1298,0.4408,0.4408
label,14,60,4.2918,4.6111,0.2169,0.1695,0.1258,0.4282,0.4282
label,15,60,4.4698,4.7850,0.2090,0.1624,0.1219,0.4200,0.4200
label,16,60,4.7750,5.0678,0.1973,0.1523,0.1168,0.4079,0.4079
label,17,60,4.9159,5.1742,0.1933,0.1491,0.1149,0.4040,0.4040
label,18,60,5.0711,5.3134,0.1882,0.1448,0.1120,0.3989,0.3989
label,19,60,5.3425,5.5526,0.1801,0.1375,0.1088,0.3897,0.3897
label,20,60,5.5261,5.7147,0.1750,0.1328,0.1083,0.3838,0.3838
label,21,60,5.5946,5.7706,0.1733,0.1309,0.1079,0.3813,0.3813
label,22,60,5.5919,5.7781,0.1731,0.1302,0.1081,0.3804,0.3804
label,23,60,5.7093,5.9230,0.1688,0.1261,0.1056,0.3750,0.3750
label,24,60,5.9381,6.1452,0.1627,0.1204,0.1040,0.3674,0.3674
label,25,60,6.3153,6.5585,0.1525,0.1109,0.1006,0.3546,0.3546
label,26,60,6.3461,6.7571,0.1480,0.1040,0.1046,0.3448,0.3448
label,27,60,3.7613,4.6205,0.2164,0.1229,0.1735,0.3708,0.3708
final,0,60,9.2545,13.6968,0.0730,-0.0026,0.1132,0.1188,0.1188
final,1,60,7.3540,9.0873,0.1100,-0.0016,0.1482,0.1231,0.1231
final,2,60,6.1033,7.1724,0.1394,0.0001,0.1629,0.1294,0.1294
final,3,60,7.5128,8.4272,0.1187,0.0070,0.1375,0.1534,0.1534
final,4,60,10.0291,11.1696,0.0895,0.0327,0.1146,0.2210,0.2210
final,5,60,9.4001,10.3784,0.0964,0.0437,0.1244,0.2443,0.2443
final,6,60,8.9213,9.5665,0.1045,0.0585,0.1296,0.2725,0.2725
final,7,60,7.2369,7.9657,0.1255,0.0717,0.1344,0.2952,0.2952
final,8,60,4.3965,5.0612,0.1976,0.1419,0.1543,0.3953,0.3953
final,9,60,4.4065,5.2063,0.1921,0.1386,0.1462,0.3911,0.3911
final,10,60,4.8760,5.7753,0.1732,0.1200,0.1399,0.3669,0.3669
final,11,60,5.0380,5.7705,0.1733,0.1221,0.1358,0.3698,0.3698
final,12,60,5.2086,5.9503,0.1681,0.1204,0.1329,0.3675,0.3675
final,13,60,6.6141,7.6829,0.1302,0.0915,0.1220,0.3265,0.3265
final,14,60,6.8844,8.0533,0.1242,0.0842,0.1291,0.3153,0.3153
final,15,60,6.8887,8.0842,0.1237,0.0805,0.1354,0.3095,0.3095
final,16,60,7.2574,8.7036,0.1149,0.0729,0.1306,0.2972,0.2972
final,17,60,7.1727,8.3524,0.1197,0.0701,0.1366,0.2926,0.2926
final,18,60,6.8254,8.0390,0.1244,0.0650,0.1369,0.2838,0.2838
final,19,60,6.7050,8.0712,0.1239,0.0599,0.1331,0.2750,0.2750
final,20,60,6.1308,7.5493,0.1325,0.0600,0.1380,0.2751,0.2751
final,21,60,6.0791,7.5143,0.1331,0.0587,0.1367,0.2728,0.2728
final,22,60,6.0623,7.4319,0.1346,0.0567,0.1368,0.2691,0.2691
final,23,60,6.5406,7.9671,0.1255,0.0529,0.1284,0.2620,0.2620
final,24,60,6.7173,8.1247,0.1231,0.0535,0.1258,0.2632,0.2632
final,25,60,6.5659,7.9025,0.1265,0.0526,0.1280,0.2616,0.2616
final,26,60,5.6454,6.8496,0.1460,0.0546,0.1436,0.2652,0.2652
final,27,60,3.0609,3.9302,0.2544,0.1074,0.2288,0.3498,0.3498
