condition,mean_acc
unsteered,0.0019
meanfree_a0.5,0.0168
meanfree_a1.0,0.1497
meanfree_a2.0,0.3572
meanfree_a4.0,0.3299
meanfree_a8.0,0.2256
meanfree_best,0.3915
