task,group,unsteered,meanfree_a0.5,meanfree_a1.0,meanfree_a2.0,meanfree_a4.0,meanfree_a8.0,meanfree_best
adjective_to_adverb,train,0.0,0.0,0.06,0.1667,0.38,0.2867,0.38
adjective_to_noun,train,0.0,0.0133,0.08,0.2333,0.3933,0.4,0.4
ag_news,heldout,0.0,0.0,0.1067,0.3,0.2467,0.1,0.3
agent_noun_to_verb,train,0.0,0.02,0.1333,0.4467,0.5267,0.5267,0.5267
animal_class,train,0.0,0.0867,0.3267,0.4533,0.3467,0.16,0.4533
animal_plant_object,train,0.0,0.0,0.0667,0.2667,0.1667,0.08,0.2667
antonym,train,0.0,0.0067,0.02,0.0867,0.0667,0.1267,0.1267
article_choice,train,0.0,0.0067,0.04,0.1733,0.2333,0.1067,0.2333
capitalize,train,0.0,0.0,0.16,0.5933,0.72,0.7133,0.72
capitalize_first_letter,train,0.0,0.0,0.04,0.2667,0.08,0.0133,0.2667
city-country,train,0.0133,0.02,0.12,0.1133,0.0933,0.0467,0.12
compound_first,train,0.0,0.02,0.06,0.16,0.2667,0.2533,0.2667
concrete_abstract,train,0.0,0.0,0.0933,0.3,0.2,0.08,0.3
contains_letter_e,train,0.0067,0.0067,0.1533,0.3867,0.2533,0.0667,0.3867
country-capital,train,0.0,0.02,0.3133,0.6533,0.6267,0.6333,0.6533
day_after_textual_date,train,0.0,0.0,0.06,0.1733,0.16,0.04,0.1733
ends_with_ing,heldout,0.0,0.0133,0.12,0.38,0.1733,0.04,0.38
english-french,heldout,0.0,0.0067,0.1133,0.2667,0.3067,0.18,0.3067
english-italian,train,0.0,0.0,0.0933,0.26,0.22,0.22,0.26
english-portuguese,train,0.0,0.0,0.1133,0.3133,0.3933,0.3267,0.3933
english-spanish,train,0.0,0.0067,0.0733,0.2933,0.2733,0.22,0.2933
first_digit,heldout,0.0,0.0,0.04,0.1467,0.0467,0.0133,0.1467
first_three_letters,train,0.0,0.0,0.08,0.2133,0.3133,0.22,0.3133
french-english,heldout,0.02,0.1133,0.1933,0.38,0.4267,0.4,0.4267
french_noun_gender,train,0.0,0.02,0.2933,0.5133,0.3867,0.0867,0.5133
german-english,train,0.0333,0.16,0.26,0.4,0.4533,0.38,0.4533
german_noun_gender,train,0.0,0.0,0.1,0.24,0.1867,0.0933,0.24
gerund_to_base,heldout,0.0,0.02,0.24,0.5267,0.66,0.5,0.66
gerund_to_past,train,0.0,0.0,0.0933,0.3867,0.5533,0.4333,0.5533
hypernym_category,train,0.0,0.0,0.06,0.1667,0.1267,0.1533,0.1667
initials_two_words,heldout,0.0,0.0,0.08,0.5067,0.5,0.2867,0.5067
iso_date_to_month,train,0.0,0.0,0.0667,0.1533,0.14,0.0267,0.1533
iso_date_year_plus_one,train,0.0,0.0,0.0467,0.2533,0.24,0.08,0.2533
landmark-country,train,0.0133,0.02,0.1,0.22,0.2067,0.1133,0.22
language_identification,train,0.0067,0.0067,0.18,0.3067,0.1467,0.0267,0.3067
larger_of_pair,train,0.0,0.0,0.0933,0.1467,0.08,0.0267,0.1467
larger_than_1000,train,0.0,0.0067,0.1667,0.3,0.18,0.0933,0.3
lowercase_first_letter,train,0.0,0.0,0.0267,0.22,0.1333,0.02,0.22
lowercase_word,train,0.0,0.0933,0.42,0.7933,0.7933,0.5467,0.7933
national_parks,train,0.0,0.02,0.1933,0.3467,0.2533,0.1133,0.3467
natural_manmade,train,0.0,0.0,0.0267,0.18,0.02,0.0133,0.18
next_item,train,0.0,0.0067,0.0267,0.2733,0.2733,0.2333,0.2733
next_month_of_date,train,0.0,0.0,0.0467,0.1267,0.1,0.02,0.1267
next_number_digits,train,0.0,0.0,0.2533,0.6533,0.4333,0.1467,0.6533
number_word_to_digits,train,0.0,0.0133,0.36,0.4867,0.3133,0.1733,0.4867
park-country,train,0.0,0.0067,0.0733,0.1933,0.18,0.04,0.1933
past_to_base,heldout,0.0,0.0533,0.2267,0.5867,0.7067,0.4733,0.7067
person-instrument,train,0.0,0.0467,0.1867,0.2333,0.1467,0.1,0.2333
person-sport,train,0.0067,0.0267,0.36,0.5133,0.4467,0.1733,0.5133
person_place_thing,heldout,0.0,0.0067,0.0533,0.3733,0.3267,0.1933,0.3733
plural_to_singular,train,0.0,0.0333,0.22,0.6267,0.7,0.7067,0.7067
pos_label,heldout,0.0,0.0,0.2267,0.3267,0.2267,0.0533,0.3267
present-past,train,0.0,0.0067,0.2,0.5933,0.74,0.7,0.74
prev_number_digits,train,0.0,0.0067,0.3133,0.6133,0.5867,0.12,0.6133
product-company,train,0.0067,0.0067,0.1067,0.22,0.2067,0.0933,0.22
sentiment,train,0.0,0.0133,0.36,0.5,0.4467,0.1467,0.5
singular-plural,train,0.0,0.02,0.24,0.7467,0.7933,0.7933,0.7933
singular_or_plural,train,0.0,0.0067,0.24,0.38,0.1933,0.0333,0.38
smaller_of_pair,heldout,0.0,0.0,0.1267,0.2533,0.0733,0.0267,0.2533
spanish-english,heldout,0.02,0.1533,0.1867,0.3867,0.5133,0.44,0.5133
spanish_noun_gender,train,0.0,0.0,0.2,0.5133,0.28,0.0333,0.5133
starts_with_vowel,train,0.0,0.0,0.06,0.28,0.0533,0.0,0.28
third_person_to_base,train,0.0067,0.04,0.2067,0.5933,0.7533,0.7,0.7533
titlecase_phrase,train,0.0,0.0,0.04,0.1867,0.0867,0.1,0.1867
uppercase_word,heldout,0.0,0.0,0.3467,0.7467,0.86,0.7533,0.86
us-city-state,train,0.0,0.0133,0.1533,0.32,0.1533,0.0333,0.32
verb_tense_label,train,0.0,0.0,0.06,0.1467,0.1333,0.08,0.1467
verb_to_third_person,train,0.0,0.0133,0.22,0.5933,0.6867,0.7467,0.7467
word_polarity,heldout,0.0,0.0,0.1267,0.4933,0.3733,0.2067,0.4933
