family,context,target,n,unsteered,steered,lo,hi,unsteered_target_rate,steered_target_rate,judge_ok_unsteered,judge_ok_steered,unscorable_steered,margin_unsteered,margin_steered,n_evidence,k3_ceiling
js_strict_eq,alt,nat,40,0.1,0.75,0.5981,0.8581,0.125,0.825,0.925,0.925,0.15,-2.2672,5.4562,3.1,0.79
js_strict_eq,nat,alt,40,0.0,0.525,0.375,0.6706,0.0,0.575,0.925,0.95,0.25,-4.9938,3.2125,3.1,0.66
py_optional,alt,nat,40,0.075,0.425,0.2851,0.5781,0.075,0.475,0.9,0.925,0.5,-0.8656,7.5469,12.05,0.625
py_optional,nat,alt,40,0.05,0.275,0.1611,0.4284,0.05,0.3,0.925,0.875,0.525,-7.5406,-1.1281,10.075,0.555
py_join_concat,alt,nat,40,0.15,0.425,0.2851,0.5781,0.175,0.725,0.95,0.625,0.2,-4.4055,2.1672,58.975,0.7
py_join_concat,nat,alt,40,0.025,0.425,0.2851,0.5781,0.05,0.525,0.85,0.75,0.2,-6.3641,0.7766,17.1,0.64
comma_space,alt,nat,40,0.3,0.825,0.6805,0.9125,0.3,0.9,0.95,0.925,0.075,-0.9906,4.9625,7.325,0.905
comma_space,nat,alt,40,0.025,0.5,0.352,0.648,0.025,0.65,0.975,0.825,0.1,-8.5453,-0.3156,9.875,0.625
py_const_naming,alt,nat,40,0.0,0.4,0.2635,0.554,0.0,0.525,0.675,0.6,0.45,-5.0383,1.1145,8.575,0.635
py_const_naming,nat,alt,40,0.0,0.175,0.0875,0.3195,0.0,0.2,0.875,0.75,0.325,-4.2055,-1.0758,11.175,0.605
py_paren_if,alt,nat,40,0.15,0.425,0.2851,0.5781,0.175,0.725,0.725,0.625,0.275,-3.0969,4.25,6.65,0.66
py_paren_if,nat,alt,40,0.0,0.275,0.1611,0.4284,0.0,0.3,0.85,0.75,0.425,-5.4969,1.4734,6.05,0.585
py_with_open,alt,nat,40,0.025,0.65,0.4951,0.7787,0.025,0.7,0.925,0.875,0.275,-4.9195,3.8375,32.95,0.8
py_with_open,nat,alt,40,0.0,0.375,0.2422,0.5297,0.0,0.45,0.95,0.725,0.375,-6.4625,2.1289,23.925,0.73
rust_question,alt,nat,40,0.225,0.425,0.2851,0.5781,0.275,0.9,0.925,0.475,0.1,-0.6297,5.1813,64.075,0.845
rust_question,nat,alt,40,0.0,0.025,0.0044,0.1288,0.0,0.1,0.925,0.65,0.075,-5.3469,-4.5156,3.975,0.585
py_literal_ctor,alt,nat,40,0.075,0.7,0.5457,0.8193,0.075,0.7,0.85,0.9,0.3,-3.4781,6.4,6.0,0.63
py_literal_ctor,nat,alt,40,0.0,0.525,0.375,0.6706,0.0,0.6,0.925,0.8,0.35,-3.9656,3.1281,3.0,0.61
line_wrap,alt,nat,40,0.0,0.6,0.446,0.7365,0.0,0.65,1.0,0.95,0.275,-7.2359,1.3719,8.7,0.56
line_wrap,nat,alt,40,0.175,0.375,0.2422,0.5297,0.2,0.4,0.875,0.8,0.55,-1.8906,4.5437,23.675,0.56
float_literals,alt,nat,40,0.125,0.6,0.446,0.7365,0.175,0.65,0.875,0.925,0.175,-1.5609,3.7187,3.0,0.585
float_literals,nat,alt,40,0.25,0.625,0.4703,0.7578,0.25,0.75,0.975,0.775,0.2,-7.1625,2.45,6.7,0.55
js_var,alt,nat,40,0.025,0.625,0.4703,0.7578,0.025,0.775,0.9,0.775,0.225,-5.2469,8.8297,3.0,0.66
js_var,nat,alt,40,0.0,0.65,0.4951,0.7787,0.0,0.825,0.925,0.8,0.175,-6.5219,7.7563,3.0,0.605
bash_subst,alt,nat,40,0.075,0.675,0.5202,0.7992,0.125,0.825,0.775,0.825,0.175,-2.6031,8.5883,7.125,0.59
bash_subst,nat,alt,40,0.0,0.525,0.375,0.6706,0.0,0.575,0.925,0.875,0.3,-7.8641,3.2906,6.6,0.495
comment_case,alt,nat,40,0.025,0.425,0.2851,0.5781,0.025,0.425,0.875,0.95,0.45,-4.0174,3.9105,57.0,0.475
comment_case,nat,alt,40,0.05,0.275,0.1611,0.4284,0.075,0.35,0.825,0.85,0.5,-5.959,1.3912,57.15,0.551
blank_lines,alt,nat,40,0.0,0.55,0.3983,0.6929,0.0,0.65,0.8,0.7,0.275,-4.9906,1.9969,3.0,0.625
blank_lines,nat,alt,40,0.0,0.525,0.375,0.6706,0.0,0.75,0.725,0.6,0.25,-2.9906,6.0766,3.15,0.645
py_comprehension,alt,nat,40,0.175,0.45,0.3071,0.6017,0.225,0.625,0.875,0.7,0.275,-1.9594,2.0813,39.65,0.64
py_comprehension,nat,alt,40,0.125,0.225,0.1232,0.375,0.125,0.25,0.85,0.725,0.225,-4.3984,-1.5,17.825,0.455
py_private,alt,nat,40,0.05,0.3,0.1807,0.4543,0.05,0.3,0.975,0.95,0.7,-3.6797,8.0141,3.05,0.425
py_private,nat,alt,40,0.025,0.275,0.1611,0.4284,0.025,0.35,0.975,0.875,0.625,-5.8094,6.1094,3.05,0.405
comment_language,alt,nat,40,0.05,0.475,0.3294,0.625,0.1,0.55,0.725,0.725,0.45,-5.5801,4.9174,63.9,0.553
comment_language,nat,alt,40,0.0,0.2,0.105,0.3476,0.0,0.325,0.825,0.725,0.525,-9.6971,0.4434,45.875,0.462
php_array,alt,nat,40,0.025,0.425,0.2851,0.5781,0.025,0.5,0.775,0.775,0.5,-4.4773,3.3719,8.425,0.405
php_array,nat,alt,40,0.075,0.5,0.352,0.648,0.075,0.775,0.8,0.7,0.175,-2.5484,5.3,5.425,0.685
py_not_in,alt,nat,40,0.35,0.4,0.2635,0.554,0.4,0.5,0.875,0.875,0.15,0.3297,0.5859,3.15,0.655
py_not_in,nat,alt,40,0.0,0.025,0.0044,0.1288,0.0,0.025,0.925,0.875,0.275,-3.3703,-3.1891,3.725,0.37
py_abbrev,alt,nat,40,0.125,0.325,0.2008,0.4798,0.125,0.5,0.875,0.65,0.3,-2.7574,1.6164,7.325,0.285
py_abbrev,nat,alt,40,0.225,0.45,0.3071,0.6017,0.275,0.775,0.9,0.525,0.125,-1.9031,3.1359,7.275,0.415
