target,unsteered,steered,k3_ceiling,unsteered_target_rate,steered_target_rate,judge_ok_unsteered,judge_ok_steered,unscorable_steered,n_fams_gain_ge_20,n_fams_at_ceiling
nat,0.09,0.6627,0.7446,0.1005,0.7618,0.9032,0.8573,0.17,52,29
alt,0.0336,0.4995,0.6776,0.0377,0.5827,0.91,0.8255,0.2295,48,19
both,0.0618,0.5811,0.7111,0.0691,0.6723,0.9066,0.8414,0.1998,51,21
