layer,best_alpha,alpha_pinned,r2_train_insample_uniform,r2_train_unseenprompts_uniform,r2_train_unseenprompts_oracle,r2_test_uniform,r2_train_insample_weighted,r2_train_unseenprompts_weighted,r2_test_weighted
0,3162.2776601683795,False,0.6774,0.6602,0.7276,0.2598,0.6988,0.6825,0.3074
1,1000.0,False,0.7385,0.712,0.7276,0.3305,0.7578,0.7332,0.3825
2,1000.0,False,0.7507,0.7188,0.7276,0.3464,0.7693,0.7398,0.3976
3,1000.0,False,0.7657,0.7312,0.7276,0.4001,0.7835,0.7517,0.4498
4,1000.0,False,0.7727,0.7347,0.7276,0.4264,0.7901,0.7552,0.4767
5,1000.0,False,0.779,0.7374,0.7276,0.4437,0.796,0.7578,0.494
6,1000.0,False,0.7871,0.7401,0.7276,0.4641,0.8036,0.7604,0.5144
7,1000.0,False,0.7926,0.7421,0.7276,0.4764,0.8087,0.7624,0.5265
8,1000.0,False,0.7982,0.7427,0.7276,0.4858,0.8139,0.763,0.5354
9,1000.0,False,0.8024,0.7423,0.7276,0.486,0.8179,0.7626,0.5361
10,1000.0,False,0.8059,0.7424,0.7276,0.4885,0.8211,0.7627,0.5395
11,3162.2776601683795,False,0.7809,0.7444,0.7276,0.493,0.7981,0.7646,0.5417
12,3162.2776601683795,False,0.7839,0.7448,0.7276,0.4969,0.8009,0.765,0.5457
13,3162.2776601683795,False,0.7858,0.7446,0.7276,0.4979,0.8027,0.7649,0.5472
14,3162.2776601683795,False,0.7873,0.7445,0.7276,0.4961,0.8041,0.7648,0.5456
15,3162.2776601683795,False,0.7893,0.7443,0.7276,0.4957,0.806,0.7646,0.5462
16,3162.2776601683795,False,0.7913,0.7438,0.7276,0.4936,0.8078,0.7642,0.5445
17,3162.2776601683795,False,0.7933,0.7433,0.7276,0.4929,0.8097,0.7638,0.5443
18,3162.2776601683795,False,0.7954,0.7428,0.7276,0.4893,0.8116,0.7633,0.5409
19,3162.2776601683795,False,0.7983,0.7421,0.7276,0.4862,0.8143,0.7626,0.5382
20,3162.2776601683795,False,0.8013,0.7412,0.7276,0.4849,0.817,0.7618,0.5372
21,3162.2776601683795,False,0.8035,0.7403,0.7276,0.4784,0.819,0.761,0.5311
22,3162.2776601683795,False,0.8053,0.7395,0.7276,0.4741,0.8207,0.7603,0.5274
23,3162.2776601683795,False,0.8074,0.7386,0.7276,0.4706,0.8227,0.7594,0.524
24,10000.0,False,0.7798,0.7405,0.7276,0.4717,0.7971,0.761,0.5223
25,10000.0,False,0.7813,0.7401,0.7276,0.4686,0.7985,0.7607,0.5195
26,10000.0,False,0.7829,0.7396,0.7276,0.4644,0.8,0.7601,0.5154
27,10000.0,False,0.7832,0.7392,0.7276,0.4617,0.8002,0.7598,0.5126
