layer,best_lambda,loo_train_r2,heldout_r2_trainmean,heldout_r2_testmean,heldout_mean_cos
0,31.622776601683796,0.4012,0.4051,0.3431,0.8137
1,31.622776601683796,0.4544,0.4803,0.4241,0.844
2,31.622776601683796,0.4692,0.4981,0.4439,0.8503
3,31.622776601683796,0.5331,0.5571,0.5098,0.8699
4,10.0,0.5615,0.5915,0.5475,0.8825
5,10.0,0.5764,0.606,0.5633,0.8874
6,3.162277660168379,0.5997,0.6223,0.5808,0.8933
7,3.162277660168379,0.6087,0.6262,0.5853,0.8948
8,10.0,0.6125,0.6302,0.59,0.8964
9,10.0,0.6142,0.6299,0.5895,0.8962
10,10.0,0.6148,0.6298,0.5896,0.8964
11,3.162277660168379,0.6155,0.6334,0.5936,0.8966
12,3.162277660168379,0.6172,0.6365,0.597,0.8983
13,3.162277660168379,0.6168,0.6375,0.598,0.8984
14,10.0,0.6155,0.6331,0.593,0.8971
15,10.0,0.6137,0.6299,0.5892,0.8964
16,10.0,0.611,0.627,0.5858,0.8951
17,10.0,0.6091,0.6248,0.5832,0.8946
18,31.622776601683796,0.6064,0.621,0.5788,0.8927
19,31.622776601683796,0.6021,0.6186,0.5763,0.892
20,31.622776601683796,0.6,0.6184,0.5761,0.8917
21,10.0,0.5965,0.613,0.5701,0.8898
22,31.622776601683796,0.5937,0.612,0.5691,0.8895
23,31.622776601683796,0.5919,0.6114,0.5683,0.8892
24,10.0,0.5899,0.6073,0.5639,0.8879
25,10.0,0.5882,0.6024,0.5586,0.8866
26,31.622776601683796,0.5838,0.5975,0.5533,0.8852
27,31.622776601683796,0.5766,0.5935,0.5487,0.8846
