layer,alpha,train_perprompt,train_centroid,train_centroid_refall,test_perprompt,test_centroid,test_centroid_refall
0,3162.2776601683795,0.9041,0.9164,0.9167,0.3479,0.3627,0.4051
1,1000.0,0.9594,0.9778,0.9779,0.4391,0.4633,0.5004
2,1000.0,0.9636,0.9846,0.9847,0.4591,0.4862,0.5216
3,1000.0,0.9745,0.9963,0.9963,0.5364,0.5628,0.5924
4,1000.0,0.974,0.998,0.998,0.5702,0.5989,0.6262
5,1000.0,0.9717,0.9988,0.9988,0.5903,0.6224,0.6482
6,1000.0,0.9674,0.9993,0.9993,0.611,0.6498,0.6741
7,1000.0,0.9638,0.9995,0.9995,0.6224,0.6656,0.6886
8,1000.0,0.9596,0.9996,0.9996,0.6307,0.6796,0.7014
9,1000.0,0.9558,0.9997,0.9997,0.6266,0.6811,0.7031
10,1000.0,0.9529,0.9997,0.9997,0.626,0.6845,0.7063
11,3162.2776601683795,0.971,0.9992,0.9992,0.6498,0.6843,0.706
12,3162.2776601683795,0.9691,0.9994,0.9994,0.6526,0.6897,0.711
13,3162.2776601683795,0.9679,0.9994,0.9994,0.6532,0.6921,0.7133
14,3162.2776601683795,0.967,0.9995,0.9995,0.6494,0.6898,0.711
15,3162.2776601683795,0.9657,0.9995,0.9995,0.6468,0.6894,0.7108
16,3162.2776601683795,0.9645,0.9996,0.9996,0.6433,0.6875,0.7092
17,3162.2776601683795,0.9632,0.9996,0.9996,0.6418,0.6878,0.7096
18,3162.2776601683795,0.9619,0.9996,0.9996,0.6362,0.6839,0.706
19,3162.2776601683795,0.9599,0.9997,0.9997,0.6308,0.6807,0.7031
20,3162.2776601683795,0.9575,0.9997,0.9997,0.6277,0.6809,0.7032
21,3162.2776601683795,0.9559,0.9997,0.9997,0.6175,0.6726,0.6955
22,3162.2776601683795,0.9547,0.9997,0.9997,0.6113,0.6676,0.6911
23,3162.2776601683795,0.9531,0.9997,0.9997,0.6065,0.665,0.6886
24,10000.0,0.9725,0.9991,0.9991,0.6268,0.6594,0.6833
25,10000.0,0.9718,0.9992,0.9992,0.6219,0.6555,0.6796
26,10000.0,0.9706,0.9992,0.9992,0.6157,0.6507,0.6752
27,10000.0,0.9702,0.9992,0.9992,0.6119,0.6475,0.6722
