layer,train_accuracy,test_accuracy,train_log_loss,test_log_loss
0,1.0,0.5478339350180506,0.0015040469760195954,0.7224753897080801
1,1.0,0.5848375451263538,0.0015610849227587942,0.7815873134329493
2,1.0,0.5929602888086642,0.001530618524428696,0.7579958147559797
3,1.0,0.6010830324909747,0.0015138905886126117,0.769607375041577
4,1.0,0.5911552346570397,0.0014779190746077417,0.7605323343399805
5,1.0,0.6868231046931408,0.0014516448082748361,0.6025488521362661
6,1.0,0.7725631768953068,0.0013837901927825525,0.4780702230197005
7,1.0,0.8167870036101083,0.0013098016230358779,0.39807435152928555
8,1.0,0.9296028880866426,0.001196553396835017,0.2144430851572178
9,1.0,0.9494584837545126,0.0011442701793200163,0.16051648838443996
10,1.0,0.9611913357400722,0.0011185536291131155,0.13673570175801938
11,1.0,0.9810469314079422,0.0010457543757937356,0.09849498765899824
12,1.0,0.9864620938628159,0.0010359453485118786,0.08881336294712497
13,1.0,0.9864620938628159,0.0010169667540218755,0.0833914048215479
14,1.0,0.9828519855595668,0.0010212960982610227,0.08970289903133592
15,1.0,0.98014440433213,0.0010479108402622213,0.09754551388386361
16,1.0,0.9783393501805054,0.0010708551862392101,0.1061889278779045
17,1.0,0.9747292418772563,0.001097669134963055,0.11762926465014395
18,1.0,0.9729241877256317,0.0011045039873146618,0.1279273204977868
19,1.0,0.9666064981949458,0.001120755995734607,0.14441103744901224
20,1.0,0.9657039711191335,0.0011305352779173018,0.14456855950110176
21,1.0,0.9675090252707581,0.0011336587265305066,0.14168853039386595
22,1.0,0.9602888086642599,0.0011460641329677033,0.15137921905624468
23,1.0,0.9648014440433214,0.0011481015146718662,0.15452983186848215
24,1.0,0.9638989169675091,0.0011529802997490627,0.15517822021990219
25,1.0,0.9620938628158845,0.001151038952776847,0.1561734367531864
26,1.0,0.9620938628158845,0.0011592599512638,0.16085424523430567
27,1.0,0.9620938628158845,0.001166230938728826,0.16054267632100094
28,1.0,0.9593862815884476,0.001173948165938648,0.1693781956105732
