alpha,position,cos_task_raw,cos_gen_raw,d_cos_task,d_cos_gen,d_cos_excess,proj_task_raw,d_proj_task,d_proj_gen
0.0,cue2,0.20643,0.29852,0.0,0.0,0.0,19.7077,0.0,0.0
0.0,cue3,0.196,0.29304,0.0,0.0,0.0,18.38703,0.0,0.0
0.0,cue4,0.18749,0.28018,0.0,0.0,0.0,17.06294,0.0,0.0
0.0,cue5,0.18509,0.27674,0.0,0.0,0.0,16.64355,0.0,0.0
0.0,cue6,0.18367,0.27548,0.0,0.0,0.0,16.46947,0.0,0.0
0.0,query_cue,0.18273,0.2749,0.0,0.0,0.0,16.33911,0.0,0.0
0.5,cue2,0.25982,0.32858,0.05339,0.03006,0.02333,25.12691,5.41921,3.27618
0.5,cue3,0.2248,0.30954,0.0288,0.0165,0.0123,21.20771,2.82068,1.70444
0.5,cue4,0.2076,0.29283,0.02012,0.01265,0.00747,18.98301,1.92007,1.27332
0.5,cue5,0.2019,0.28758,0.01681,0.01084,0.00598,18.23232,1.58877,1.08129
0.5,cue6,0.19862,0.28532,0.01495,0.00984,0.00511,17.8755,1.40603,0.97354
0.5,query_cue,0.19599,0.2837,0.01326,0.0088,0.00446,17.581,1.24189,0.86848
1.0,cue2,0.29347,0.34272,0.08704,0.04421,0.04283,28.18396,8.47626,4.41308
1.0,cue3,0.24769,0.32015,0.05169,0.02711,0.02458,23.32441,4.93738,2.64117
1.0,cue4,0.22268,0.29994,0.03519,0.01976,0.01543,20.33836,3.27542,1.88248
1.0,cue5,0.21442,0.29364,0.02933,0.0169,0.01243,19.34665,2.7031,1.59806
1.0,cue6,0.20954,0.29062,0.02587,0.01514,0.01074,18.84577,2.3763,1.42516
1.0,query_cue,0.20553,0.28833,0.02279,0.01342,0.00937,18.42432,2.08521,1.25887
2.0,cue2,0.29419,0.33897,0.08776,0.04046,0.0473,27.84547,8.13777,3.57407
2.0,cue3,0.25002,0.32052,0.05402,0.02748,0.02653,23.41394,5.02691,2.50904
2.0,cue4,0.22287,0.29908,0.03538,0.0189,0.01649,20.26653,3.20359,1.68242
2.0,cue5,0.21443,0.29275,0.02934,0.01601,0.01333,19.27545,2.6319,1.41747
2.0,cue6,0.2094,0.28962,0.02573,0.01414,0.01159,18.76719,2.29772,1.24301
2.0,query_cue,0.20551,0.2874,0.02278,0.0125,0.01028,18.36489,2.02578,1.09276
4.0,cue2,0.27381,0.32794,0.06738,0.02942,0.03795,25.67643,5.96873,2.21937
4.0,cue3,0.23934,0.31597,0.04333,0.02293,0.0204,22.35758,3.97055,2.01016
4.0,cue4,0.21591,0.29555,0.02843,0.01537,0.01306,19.58682,2.52388,1.301
4.0,cue5,0.20889,0.28972,0.0238,0.01298,0.01082,18.7345,2.09095,1.08966
4.0,cue6,0.20458,0.28685,0.02091,0.01137,0.00954,18.29329,1.82382,0.93934
4.0,query_cue,0.20157,0.28504,0.01884,0.01014,0.0087,17.97579,1.63668,0.83196
