analysis,n_rows,n90_pcs,n95_pcs,stable_rank_raw,stable_rank_centered
cosine_perhead__natural_r_task,55,24,31,,
cosine_perhead__natural_pooled_perprompt,8250,196,478,3.15,6.04
cosine_perhead__natural_within_task_median,150,89,111,,
cosine_perhead__natural_task_mean_of_r,55,24,31,,
