variant,k,best_alpha,r2_train_uniform,r2_test_uniform,r2_train_weighted,r2_test_weighted
1,377,31622.776601683792,0.6378,0.2935,0.659,0.3404
2,377,10000.0,0.697,0.3431,0.7173,0.3948
3,377,10000.0,0.7033,0.3591,0.7237,0.4109
4,377,10000.0,0.7066,0.3614,0.727,0.4136
5,377,10000.0,0.7082,0.3647,0.7286,0.4169
6,377,10000.0,0.7097,0.3686,0.7301,0.4212
7,377,10000.0,0.7103,0.3673,0.7308,0.4198
8,377,10000.0,0.7122,0.3691,0.7326,0.4216
9,377,10000.0,0.7139,0.3727,0.7343,0.4249
10,377,10000.0,0.7199,0.3757,0.74,0.4278
avg,377,1000.0,0.7549,0.4515,0.7737,0.5029
