task,arm,row,k,op,start_layer,mean_delta_all,sem_all,n_all,mean_delta_test40,sem_test40,n_test40
antonym,pcasub_matched_k4_zero,cue1,4,zero,0,-0.4102048873901367,0.13760730036208282,8,nan,nan,0
antonym,pcasub_matched_k4_zero,cue1,4,zero,20,-0.00425633043050766,0.0029429840397031497,8,nan,nan,0
antonym,pcasub_matched_k4_zero,target1,4,zero,0,-0.40454936027526855,0.12476814804705769,8,nan,nan,0
antonym,pcasub_matched_k4_zero,target1,4,zero,20,0.00974956899881363,0.009201390648510058,8,nan,nan,0
antonym,pcasub_matched_k4_zero,final_cue,4,zero,0,-1.4791306257247925,1.1829221944574362,8,nan,nan,0
antonym,pcasub_matched_k4_zero,final_cue,4,zero,20,-0.30492889881134033,0.8058033207499633,8,nan,nan,0
antonym,pcasub_matched_k4_mean,cue1,4,mean,0,0.02141232043504715,0.028272969991502188,8,nan,nan,0
antonym,pcasub_matched_k4_mean,cue1,4,mean,20,-0.0009454041719436646,0.0008519619934275297,8,nan,nan,0
antonym,pcasub_matched_k4_mean,target1,4,mean,0,-0.05007603019475937,0.030080232124005388,8,nan,nan,0
antonym,pcasub_matched_k4_mean,target1,4,mean,20,0.0011794641613960266,0.0008638170293421712,8,nan,nan,0
antonym,pcasub_matched_k4_mean,final_cue,4,mean,0,0.0433279350399971,0.10515161390408674,8,nan,nan,0
antonym,pcasub_matched_k4_mean,final_cue,4,mean,20,0.175682932138443,0.08997908561495298,8,nan,nan,0
antonym,pcasub_icl10_cf_k0_zero,cue1,0,zero,0,-0.036457277834415436,0.017477571044330942,8,nan,nan,0
antonym,pcasub_icl10_cf_k0_zero,cue1,0,zero,20,0.002722322940826416,0.0014325580453590013,8,nan,nan,0
antonym,pcasub_icl10_cf_k0_zero,target1,0,zero,0,-0.04195234179496765,0.03871922707978722,8,nan,nan,0
antonym,pcasub_icl10_cf_k0_zero,target1,0,zero,20,0.000331684947013855,0.002586082550879375,8,nan,nan,0
antonym,pcasub_icl10_cf_k0_zero,final_cue,0,zero,0,-1.6463854312896729,0.4267827390908304,8,nan,nan,0
antonym,pcasub_icl10_cf_k0_zero,final_cue,0,zero,20,-0.807396650314331,0.3781952199247441,8,nan,nan,0
