icl_example_index,token_role,layer,feature_dim,target_dim,best_alpha,cv_mse,alpha_pinned,train_sample_count,test_sample_count,train_mse,test_mse,train_mean_squared_l2,test_mean_squared_l2,test_r2,test_r2_testmean_baseline,train_r2
1,pre_label_token,0,4096,4096,0.1,0.21920011937618256,True,3400,1190,0.19782809913158417,0.21711736246317376,810.303955078125,889.3127494747899,9.954497570685561e-08,-0.14167278159544217,0.0
1,pre_label_token,1,4096,4096,31622776.60168379,0.2190553992986679,False,3400,1190,0.19437193870544434,0.21785998304351037,796.1474609375,892.3544511554621,-0.0034202648974968053,-0.1455777189712668,0.01747052335493038
1,pre_label_token,2,4096,4096,100000000.0,0.21915888786315918,True,3400,1190,0.19653922319412231,0.21741107652167313,805.0247192382812,890.5157694327731,-0.0013526896835294178,-0.14321722439060358,0.00651513077828525
1,pre_label_token,3,4096,4096,31622776.60168379,0.21893835067749023,False,3400,1190,0.19377939403057098,0.21804975301277738,793.7203979492188,893.131775210084,-0.0042943080795962985,-0.146575590381542,0.02046577366302349
1,pre_label_token,4,4096,4096,31622776.60168379,0.2189958691596985,False,3400,1190,0.1942215859889984,0.21792574169255105,795.5316772460938,892.6238445378151,-0.003723136311135633,-0.14592349905496227,0.018230540344963297
1,pre_label_token,5,4096,4096,10000000.0,0.218866229057312,False,3400,1190,0.1886609047651291,0.21889829715760817,772.7550659179688,896.6074185924369,-0.00820253564249529,-0.1510375078585462,0.04633919249437657
1,pre_label_token,6,4096,4096,31622776.60168379,0.21908125281333923,False,3400,1190,0.1944390833377838,0.21768714359828403,796.4224853515625,891.6465664390756,-0.0026242003816967507,-0.14466887369071313,0.017131114379996037
1,pre_label_token,7,4096,4096,31622776.60168379,0.2190622240304947,False,3400,1190,0.19443893432617188,0.21765720784163275,796.421875,891.5238904936974,-0.0024863221699698013,-0.1445114618735397,0.017131867617845353
1,pre_label_token,8,4096,4096,31622776.60168379,0.219090536236763,False,3400,1190,0.1944834440946579,0.21764132235230518,796.6041870117188,891.458856355042,-0.002413156728173549,-0.14442793087177241,0.01690687547223302
1,pre_label_token,9,4096,4096,31622776.60168379,0.21908484399318695,False,3400,1190,0.19460555911064148,0.21764881550764836,797.1043701171875,891.4895680147059,-0.002447668729020691,-0.14446733228770015,0.016289597054659266
1,pre_label_token,10,4096,4096,31622776.60168379,0.21915693581104279,False,3400,1190,0.19474433362483978,0.21762499608913388,797.6726684570312,891.3919708508404,-0.002337961168680236,-0.14434208213965638,0.015588106645523792
1,pre_label_token,11,4096,4096,100000000.0,0.21920447051525116,True,3400,1190,0.1968599110841751,0.21727761340742352,806.3381958007812,889.9691110819327,-0.0007379848094009045,-0.14251543249723708,0.004894087602616448
1,pre_label_token,12,4096,4096,100000000.0,0.21921005845069885,True,3400,1190,0.19687412679195404,0.21727565957718536,806.3964233398438,889.9610622373949,-0.0007289858513190861,-0.14250515863070956,0.004822228711784726
1,pre_label_token,13,4096,4096,100000000.0,0.21921518445014954,True,3400,1190,0.19690892100334167,0.2172629380426487,806.5388793945312,889.9090139180672,-0.0006703929634634953,-0.14243826471879095,0.0046463476739525555
1,pre_label_token,14,4096,4096,100000000.0,0.21921098232269287,True,3400,1190,0.19695016741752625,0.21725247166737788,806.7078247070312,889.8661239495798,-0.0006221868959699339,-0.14238322915814705,0.0044378514372418465
1,pre_label_token,15,4096,4096,100000000.0,0.21922282874584198,True,3400,1190,0.19697555899620056,0.2172546050127815,806.8118896484375,889.8748555672269,-0.0006320126656229608,-0.14239444697303494,0.004309499707705999
1,pre_label_token,16,4096,4096,100000000.0,0.21922238171100616,True,3400,1190,0.1969742327928543,0.21725724805302982,806.8064575195312,889.8856880252101,-0.0006441859895580659,-0.14240834492701682,0.004316203524565632
1,pre_label_token,17,4096,4096,100000000.0,0.21922138333320618,True,3400,1190,0.197005495429039,0.21725216072146633,806.9345092773438,889.8648240546219,-0.0006207547402128366,-0.1423815941047375,0.004158174223763966
1,pre_label_token,18,4096,4096,100000000.0,0.21922647953033447,True,3400,1190,0.19701291620731354,0.21724985266933922,806.9649047851562,889.8554162289915,-0.0006101243057272665,-0.14236945762582054,0.004120662978864376
1,pre_label_token,19,4096,4096,100000000.0,0.21922989189624786,True,3400,1190,0.1970502734184265,0.21723914907759978,807.1179809570312,889.811587447479,-0.0005608256658002908,-0.14231317470484384,0.003931826250022641
1,pre_label_token,20,4096,4096,100000000.0,0.2192431539297104,True,3400,1190,0.1971239447593689,0.2172253632745823,807.4197387695312,889.7550551470588,-0.0004973309664875192,-0.1422406845276467,0.003559425457285048
1,pre_label_token,21,4096,4096,100000000.0,0.21924269199371338,True,3400,1190,0.1971307247877121,0.21721660549901112,807.4474487304688,889.7192423844538,-0.0004569943734116233,-0.1421946333326456,0.003525153135137904
1,pre_label_token,22,4096,4096,100000000.0,0.21924728155136108,True,3400,1190,0.197160005569458,0.21721435675100118,807.5673217773438,889.7100446428572,-0.0004466370820344068,-0.14218280869381195,0.0033771418977330825
1,pre_label_token,23,4096,4096,100000000.0,0.2192474603652954,True,3400,1190,0.19717858731746674,0.21720926781662372,807.6434936523438,889.6891609768908,-0.00042319845044302973,-0.14215604944342264,0.0032832131379143537
1,pre_label_token,24,4096,4096,100000000.0,0.21924720704555511,True,3400,1190,0.19719600677490234,0.21720467094613724,807.71484375,889.6703518907563,-0.0004020261684258841,-0.14213187762291302,0.003195159633320843
1,pre_label_token,25,4096,4096,100000000.0,0.21924623847007751,True,3400,1190,0.19719412922859192,0.21720626895167247,807.707275390625,889.6768776260504,-0.0004093862678580251,-0.1421402804489409,0.0032046504302231105
1,pre_label_token,26,4096,4096,100000000.0,0.21924681961536407,True,3400,1190,0.19719354808330536,0.21720607340836726,807.7046508789062,889.6760766806723,-0.0004084856338251175,-0.1421392522194771,0.0032075880578357197
1,pre_label_token,27,4096,4096,100000000.0,0.21924316883087158,True,3400,1190,0.19719691574573517,0.21720045233974938,807.7186279296875,889.6530593487395,-0.00038259609650515003,-0.14210969483644842,0.003190564882439517
1,pre_label_token,28,4096,4096,100000000.0,0.21924330294132233,True,3400,1190,0.1971910148859024,0.21719817954952977,807.6943969726562,889.64375,-0.0003721280714352737,-0.14209774377595963,0.0032203931012753095
1,first_label_token,0,4096,4096,100000000.0,0.21923044323921204,True,3400,1190,0.19736500084400177,0.21714572105087152,808.4070434570312,889.428899684874,-0.000130514536519577,-0.14182190015202245,0.002340912588329358
1,first_label_token,1,4096,4096,100000000.0,0.21924355626106262,True,3400,1190,0.19730006158351898,0.2171642575945173,808.1410522460938,889.5048253676471,-0.0002158902134818952,-0.14191937124832332,0.002669173643092826
1,first_label_token,2,4096,4096,100000000.0,0.21923817694187164,True,3400,1190,0.19724604487419128,0.21717166419790573,807.9197998046875,889.535162815126,-0.00025000357303595067,-0.14195831754629196,0.002942222363496172
1,first_label_token,3,4096,4096,100000000.0,0.21923817694187164,True,3400,1190,0.19720447063446045,0.2171684024714622,807.74951171875,889.5217699579832,-0.00023498070207894628,-0.1419411663417116,0.0031523757234754868
1,first_label_token,4,4096,4096,100000000.0,0.21922951936721802,True,3400,1190,0.19716103374958038,0.2171757273313378,807.5715942382812,889.5517857142858,-0.00026871756707835814,-0.14197968280605178,0.003371944556572304
1,first_label_token,5,4096,4096,100000000.0,0.21921677887439728,True,3400,1190,0.19711501896381378,0.21718839276738527,807.3831176757812,889.603643644958,-0.0003270520763178908,-0.14204628173410794,0.00360454440446345
1,first_label_token,6,4096,4096,100000000.0,0.21920844912528992,True,3400,1190,0.19708329439163208,0.21719654467927307,807.253173828125,889.6370732668067,-0.0003645981803412912,-0.14208914710339338,0.003764908742598161
1,first_label_token,7,4096,4096,3162277.6601683795,0.21886466443538666,False,3400,1190,0.176701620221138,0.21961590262020336,723.7698364257812,899.5467174369747,-0.011507685368984388,-0.15481090771599937,0.10679210386788385
1,first_label_token,8,4096,4096,10000000.0,0.2191675454378128,False,3400,1190,0.19012437760829926,0.21797701571168018,778.74951171875,892.8338497899159,-0.003959294366131072,-0.1461931143053441,0.038941492927962784
1,first_label_token,9,4096,4096,3162277.6601683795,0.21909412741661072,False,3400,1190,0.17572225630283356,0.2202306699352104,719.7584228515625,902.0648306197479,-0.01433918279892521,-0.15804355158471384,0.11174268430920442
1,first_label_token,10,4096,4096,10000000.0,0.21913430094718933,False,3400,1190,0.1899077147245407,0.2181887698774578,777.8619995117188,893.7012014180672,-0.004934592436705687,-0.14730658567730193,0.040036700760973654
1,first_label_token,11,4096,4096,10000000.0,0.21916314959526062,False,3400,1190,0.18996430933475494,0.21811117605000985,778.0938110351562,893.3833639705882,-0.004577210517343833,-0.14689857242671644,0.03975062102577587
1,first_label_token,12,4096,4096,31622776.60168379,0.21919330954551697,False,3400,1190,0.1953083574771881,0.21739322117396764,799.9830322265625,890.4426404936975,-0.0012704514611896478,-0.14312333524120513,0.012737026061803602
1,first_label_token,13,4096,4096,3162277.6601683795,0.21906283497810364,False,3400,1190,0.17596398293972015,0.2201196766701065,720.7484741210938,901.6101759453782,-0.013827969633861681,-0.15745991337046927,0.11052078186992653
1,first_label_token,14,4096,4096,3162277.6601683795,0.21898137032985687,False,3400,1190,0.1760840117931366,0.22027129966671727,721.2400512695312,902.2312434348739,-0.014526315357102249,-0.15825719575420227,0.10991404878224409
1,first_label_token,15,4096,4096,10000000.0,0.21913674473762512,False,3400,1190,0.19022038578987122,0.21809483696432674,779.1427612304688,893.3164259453781,-0.004501955899881338,-0.14681265626971762,0.03845618178160182
1,first_label_token,16,4096,4096,10000000.0,0.21915170550346375,False,3400,1190,0.19035407900810242,0.21799864889192982,779.6903076171875,892.9224461659663,-0.00405893254269496,-0.1463068685108584,0.03778037678313051
1,first_label_token,17,4096,4096,31622776.60168379,0.21919456124305725,False,3400,1190,0.19540390372276306,0.21740863543598593,800.3743286132812,890.5057838760504,-0.001341446522611811,-0.143204388378527,0.012254049952775792
1,first_label_token,18,4096,4096,100000000.0,0.219204843044281,True,3400,1190,0.19706106185913086,0.21720294471548385,807.162109375,889.6632943802521,-0.0003940754893001497,-0.1421228005480566,0.0038772918297269587
1,first_label_token,19,4096,4096,100000000.0,0.21920515596866608,True,3400,1190,0.19708701968193054,0.21719824366208887,807.2684326171875,889.6439797794118,-0.00037242336128207043,-0.142098080900374,0.0037460777963634895
1,first_label_token,20,4096,4096,100000000.0,0.2192077338695526,True,3400,1190,0.19709831476211548,0.21719691973774374,807.314697265625,889.6385898109244,-0.00036632562594518525,-0.14209111928121754,0.0036889823673799116
1,first_label_token,21,4096,4096,100000000.0,0.2192070037126541,True,3400,1190,0.19711098074913025,0.2171950412397625,807.3665771484375,889.6308954831933,-0.0003576736334331976,-0.14208124153587676,0.003624957150181851
1,first_label_token,22,4096,4096,100000000.0,0.2192097306251526,True,3400,1190,0.19711770117282867,0.21719508932418183,807.3941040039062,889.6311055672269,-0.00035789510081851716,-0.1420814943791875,0.0035909861231744333
1,first_label_token,23,4096,4096,100000000.0,0.2192087173461914,True,3400,1190,0.19712430238723755,0.21719366442255614,807.421142578125,889.6252429096638,-0.0003513322839727717,-0.14207400178907847,0.003557617686446468
1,first_label_token,24,4096,4096,100000000.0,0.2192094922065735,True,3400,1190,0.19712792336940765,0.2171954002700934,807.4359741210938,889.6323792016807,-0.0003593272565756145,-0.14208312943259727,0.0035393140067063733
1,first_label_token,25,4096,4096,100000000.0,0.21920816600322723,True,3400,1190,0.1971302628517151,0.21719801445969011,807.445556640625,889.6430803571428,-0.0003713677000796167,-0.14209687568059248,0.0035274881724709495
1,first_label_token,26,4096,4096,100000000.0,0.21920692920684814,True,3400,1190,0.19712918996810913,0.21719943615568785,807.441162109375,889.6488445378151,-0.0003779157524328447,-0.14210435141448086,0.0035329114849865784
1,first_label_token,27,4096,4096,100000000.0,0.21920421719551086,True,3400,1190,0.19712844491004944,0.21719943134724592,807.4380493164062,889.6488773634454,-0.00037789360569440156,-0.14210432613014978,0.0035366776742334904
1,first_label_token,28,4096,4096,10000000.0,0.21916481852531433,False,3400,1190,0.19109313189983368,0.21803364793793495,782.7174682617188,893.0658088235294,-0.004220131270074923,-0.14649090472865578,0.034044543021518714
1,last_label_token,0,4096,4096,100000000.0,0.2192278653383255,True,3400,1190,0.19731232523918152,0.2171516995470063,808.1912841796875,889.4533679096638,-0.00015805031473581366,-0.1418533370036612,0.0026071821680881957
1,last_label_token,1,4096,4096,100000000.0,0.21925105154514313,True,3400,1190,0.1972091645002365,0.21717637166255663,807.7687377929688,889.5544445903362,-0.0002716852300388428,-0.14198307090641604,0.003128648731219763
1,last_label_token,2,4096,4096,100000000.0,0.21924379467964172,True,3400,1190,0.1971469521522522,0.21718702075862084,807.513916015625,889.5980304621849,-0.0003207328735959081,-0.14203906727164073,0.003443125533339475
1,last_label_token,3,4096,4096,100000000.0,0.21924303472042084,True,3400,1190,0.19712640345096588,0.2171835218157087,807.4298095703125,889.5836987920168,-0.0003046174302057114,-0.14202066870672736,0.0035469970327701716
1,last_label_token,4,4096,4096,100000000.0,0.21923542022705078,True,3400,1190,0.19711090624332428,0.21718637963302997,807.3662719726562,889.5954175420168,-0.00031777997512771883,-0.1420356960274971,0.0036253337691065646
