layer,demo1_input,demo1_cue,demo1_label,demo2_input,demo2_cue,demo2_label,demo3_input,demo3_cue,demo3_label,demo4_input,demo4_cue,demo4_label,demo5_input,demo5_cue,demo5_label,demo6_input,demo6_cue,demo6_label,demo7_input,demo7_cue,demo7_label,demo8_input,demo8_cue,demo8_label,demo9_input,demo9_cue,demo9_label,demo10_input,demo10_cue,demo10_label,query_input,query_cue
0,22.35183,18.61182,23.74880,20.70833,18.05877,23.28065,20.47332,17.98083,23.11588,20.39490,17.95832,23.08224,20.38194,17.90712,23.11509,20.38895,17.88203,23.12764,20.39726,17.87644,23.11751,20.38654,17.88414,23.10008,20.35456,17.88297,23.07388,20.36499,17.89017,23.09110,20.32346,17.89103
1,21.17278,20.45077,25.24089,20.84518,20.05814,25.53440,20.97714,20.01427,25.74422,21.05721,19.94570,25.89353,21.14927,19.93390,26.02098,21.20130,19.94221,26.11579,21.23249,19.97396,26.15990,21.24253,19.98060,26.13720,21.20144,19.97913,26.16359,21.24798,19.99012,26.19441,21.19880,20.00215
2,21.03157,17.97132,25.91107,20.64594,17.89476,26.00474,20.75748,18.29638,26.27905,20.84303,18.56604,26.49591,20.95346,18.73697,26.69767,21.01702,18.89143,26.80174,21.06301,19.02034,26.86919,21.09841,19.07882,26.92005,21.10121,19.10902,26.95844,21.19728,19.16100,27.04412,21.15436,19.19672
3,24.71058,20.77554,31.06034,24.10576,20.47718,31.14719,24.30926,21.12850,31.71599,24.49088,21.56504,32.05843,24.64248,21.78058,32.30604,24.74771,21.93849,32.42654,24.80989,22.08087,32.52425,24.88874,22.16870,32.60130,24.93202,22.22665,32.64362,25.02950,22.26748,32.77101,24.98492,22.27604
4,27.67353,22.77917,35.82306,28.79790,25.21388,38.62867,29.85596,27.67133,40.20832,30.53155,28.65568,41.07552,30.96616,29.12232,41.62355,31.23183,29.36376,41.93042,31.42237,29.51990,42.21228,31.56518,29.59583,42.40962,31.65240,29.64994,42.54626,31.81538,29.69057,42.78160,31.79762,29.69013
5,31.12070,25.82614,39.80508,31.37654,28.09262,42.09265,32.39331,30.11614,43.66208,33.14557,30.60632,44.53794,33.58980,30.75017,44.97665,33.78361,30.73476,45.13532,33.90062,30.68695,45.27262,33.92097,30.61620,45.31352,33.94189,30.53863,45.34938,34.03459,30.46083,45.49318,33.92243,30.36351
6,32.54225,26.70361,45.06415,34.93181,28.05016,51.43613,36.83188,31.64907,54.71992,37.81620,32.91058,56.36612,38.36046,33.56874,57.17429,38.56996,33.98352,57.47890,38.69037,34.23457,57.69460,38.70167,34.38383,57.84886,38.68713,34.44927,57.85179,38.80876,34.49787,58.05608,38.71370,34.50118
7,32.58544,25.62538,45.72745,35.42833,29.08170,51.35661,37.65842,32.56288,54.44466,38.41310,33.48818,55.82867,38.71423,33.69130,56.46628,38.68688,33.73354,56.64498,38.68961,33.79068,56.74408,38.57827,33.75492,56.77187,38.46342,33.73259,56.63113,38.48761,33.68786,56.67849,38.31204,33.62435
8,33.20152,25.12539,48.61964,36.93521,29.17808,54.87329,39.42882,33.21349,57.68194,40.12856,33.92769,58.64164,40.27305,33.99247,59.10658,40.10664,33.97758,59.24185,40.03869,34.04028,59.30048,39.93801,34.00244,59.32928,39.80633,33.97738,59.15093,39.83176,33.90473,59.20321,39.64371,33.83479
9,32.91972,24.48209,48.68485,37.45655,28.74867,55.71561,40.31907,32.63644,58.66880,40.84534,33.05651,59.48962,40.92712,32.95979,59.70155,40.77212,32.91355,59.64039,40.71821,32.94781,59.54895,40.61911,32.92683,59.44711,40.53406,32.91245,59.23175,40.58579,32.88296,59.20993,40.40771,32.82888
10,31.68046,26.69707,48.04355,36.76706,29.65852,54.77637,39.54148,34.34058,57.44485,39.98074,34.86482,58.05056,39.93795,34.78650,58.11094,39.71203,34.75890,58.04422,39.61077,34.79808,57.92374,39.46789,34.76357,57.80592,39.37817,34.73149,57.58230,39.38675,34.65774,57.52013,39.20158,34.56038
