property,framing,ctx,style_k0,n_style_k0,judge_k0,n_judge_k0,exact_k0,n_exact_k0,joint_k0,n_joint_k0,unscorable_k0,n_unscorable_k0,style_k1,n_style_k1,judge_k1,n_judge_k1,exact_k1,n_exact_k1,joint_k1,n_joint_k1,unscorable_k1,n_unscorable_k1,style_k2,n_style_k2,judge_k2,n_judge_k2,exact_k2,n_exact_k2,joint_k2,n_joint_k2,unscorable_k2,n_unscorable_k2,style_k3,n_style_k3,judge_k3,n_judge_k3,exact_k3,n_exact_k3,joint_k3,n_joint_k3,unscorable_k3,n_unscorable_k3,style_k4,n_style_k4,judge_k4,n_judge_k4,exact_k4,n_exact_k4,joint_k4,n_joint_k4,unscorable_k4,n_unscorable_k4,style_k5,n_style_k5,judge_k5,n_judge_k5,exact_k5,n_exact_k5,joint_k5,n_joint_k5,unscorable_k5,n_unscorable_k5,style_k4plus,joint_k4plus,judge_all,exact_all,scorable_all,judge_fail,n
curly_quotes,trans,alt,0.066,152,0.802,167,0.395,167,0.059,152,0.09,167,0.946,168,0.841,170,0.212,170,0.798,168,0.012,170,0.847,163,0.852,169,0.414,169,0.736,163,0.036,169,0.976,167,0.867,173,0.324,173,0.868,167,0.035,173,0.901,161,0.819,171,0.439,171,0.758,161,0.058,171,0.982,169,0.815,173,0.237,173,0.817,169,0.023,173,0.956,0.786,0.823,0.311,0.96,0,1292
double_space,plain,nat,1.0,166,,0,0.0,200,,0,0.17,200,1.0,153,,0,0.0,200,,0,0.235,200,1.0,150,,0,0.0,200,,0,0.25,200,0.987,149,,0,0.0,200,,0,0.255,200,0.987,149,,0,0.0,200,,0,0.255,200,1.0,165,,0,0.0,200,,0,0.175,200,0.991,,,0.0,0.785,,1600
double_space,trans,nat,0.995,198,0.905,200,0.275,200,0.904,198,0.01,200,0.995,198,0.88,200,0.27,200,0.879,198,0.01,200,0.985,200,0.86,200,0.225,200,0.85,200,0.0,200,0.975,200,0.83,200,0.255,200,0.82,200,0.0,200,1.0,199,0.87,200,0.26,200,0.869,199,0.005,200,0.985,199,0.845,200,0.255,200,0.834,199,0.005,200,0.992,0.837,0.854,0.258,0.995,0,1600
double_space,plain,alt,0.0,176,,0,0.0,200,,0,0.12,200,0.572,145,,0,0.0,200,,0,0.275,200,0.782,156,,0,0.0,200,,0,0.22,200,0.849,146,,0,0.0,200,,0,0.27,200,0.842,158,,0,0.005,200,,0,0.21,200,0.868,159,,0,0.0,200,,0,0.205,200,0.864,,,0.001,0.784,,1600
double_space,trans,alt,0.0,195,0.87,200,0.325,200,0.0,195,0.025,200,0.685,200,0.88,200,0.24,200,0.61,200,0.0,200,0.925,199,0.88,200,0.275,200,0.814,199,0.005,200,0.94,200,0.86,200,0.26,200,0.805,200,0.0,200,0.899,199,0.83,200,0.25,200,0.749,199,0.005,200,0.93,199,0.83,200,0.225,200,0.769,199,0.005,200,0.932,0.743,0.836,0.259,0.995,0,1600
em_dash,plain,nat,1.0,1,,0,0.0,99,,0,0.99,99,1.0,49,,0,0.0,105,,0,0.533,105,1.0,20,,0,0.0,105,,0,0.81,105,1.0,38,,0,0.0,105,,0,0.638,105,1.0,23,,0,0.0,60,,0,0.617,60,1.0,12,,0,0.0,37,,0,0.676,37,1.0,,,0.0,0.286,,548
em_dash,trans,nat,0.044,45,0.889,99,0.121,99,0.044,45,0.545,99,0.974,78,0.857,105,0.162,105,0.872,78,0.257,105,0.931,72,0.8,105,0.162,105,0.764,72,0.314,105,0.964,84,0.81,105,0.21,105,0.833,84,0.2,105,1.0,49,0.867,60,0.183,60,0.918,49,0.183,60,1.0,28,0.838,37,0.189,37,0.857,28,0.243,37,0.991,0.879,0.843,0.177,0.704,0,548
em_dash,plain,alt,,0,,0,0.0,99,,0,1.0,99,1.0,46,,0,0.0,105,,0,0.562,105,1.0,12,,0,0.0,105,,0,0.886,105,1.0,42,,0,0.019,105,,0,0.6,105,1.0,24,,0,0.0,60,,0,0.6,60,1.0,15,,0,0.0,37,,0,0.595,37,1.0,,,0.004,0.283,,548
em_dash,trans,alt,0.978,45,0.768,99,0.141,99,0.844,45,0.545,99,1.0,67,0.914,105,0.152,105,0.94,67,0.362,105,0.986,70,0.848,105,0.124,105,0.929,70,0.333,105,0.987,78,0.848,105,0.229,105,0.885,78,0.257,105,1.0,47,0.883,60,0.167,60,0.936,47,0.217,60,1.0,28,0.919,37,0.243,37,0.929,28,0.243,37,1.0,0.924,0.856,0.17,0.666,0,548
num_words,plain,nat,0.75,12,,0,0.0,81,,0,0.852,81,0.892,37,,0,0.0,83,,0,0.554,83,0.72,25,,0,0.0,85,,0,0.706,85,0.905,42,,0,0.0,85,,0,0.506,85,0.857,28,,0,0.0,85,,0,0.671,85,0.857,28,,0,0.0,85,,0,0.671,85,0.877,,,0.0,0.329,,599
