doc_id,words_en,words_es,ratio,em_dash,double_space,curly,allcaps_sent,paras_en,paras_es
d066_1,310,361,1.165,0,0,0,0,2,2
d067_0,280,322,1.15,0,0,0,0,1,1
d067_1,358,403,1.126,0,0,0,0,2,2
d068_0,279,340,1.219,0,0,0,0,2,2
d068_1,314,367,1.169,0,0,0,0,2,2
d069_0,274,301,1.099,0,0,0,0,1,1
d069_1,253,279,1.103,0,0,0,0,1,1
d070_0,266,316,1.188,0,0,0,0,2,2
d070_1,291,340,1.168,0,0,0,0,2,2
d071_0,291,359,1.234,0,0,0,0,2,2
d071_1,311,362,1.164,0,0,0,0,1,1
d072_0,271,316,1.166,0,0,0,0,1,1
d072_1,342,392,1.146,0,0,0,0,1,1
d073_0,340,387,1.138,0,0,0,0,2,2
d073_1,291,337,1.158,0,0,0,0,1,1
d074_0,307,373,1.215,0,0,0,0,2,2
d074_1,316,387,1.225,0,0,0,0,2,2
d075_0,364,438,1.203,0,0,0,0,2,2
d075_1,358,419,1.17,0,0,0,0,2,2
d076_0,312,365,1.17,0,0,0,0,2,2
d076_1,329,387,1.176,0,0,0,0,2,2
d077_0,283,332,1.173,0,0,0,0,1,1
d077_1,276,316,1.145,0,0,0,0,1,1
d078_0,356,425,1.194,0,0,0,0,2,2
d078_1,324,378,1.167,0,0,0,0,2,2
dlg000_0,328,403,1.229,0,0,0,0,1,1
dlg000_1,268,306,1.142,0,0,0,0,1,1
dlg000_2,355,376,1.059,0,0,0,0,2,2
dlg000_3,404,466,1.153,0,0,0,0,2,2
dlg001_0,288,330,1.146,0,0,0,0,2,2
dlg001_1,412,473,1.148,0,0,0,0,2,2
dlg001_2,360,419,1.164,0,0,0,0,1,1
dlg001_3,428,499,1.166,0,0,0,0,2,2
dlg002_0,283,301,1.064,0,0,0,0,1,1
dlg002_1,289,319,1.104,0,0,0,0,1,1
dlg002_2,302,333,1.103,0,0,0,0,2,2
dlg002_3,299,351,1.174,0,0,0,0,1,1
dlg003_0,339,377,1.112,0,0,0,0,2,2
dlg003_1,313,369,1.179,0,0,0,0,2,2
dlg003_2,334,377,1.129,0,0,0,0,2,2
dlg003_3,368,436,1.185,0,0,0,0,2,2
dlg004_0,348,403,1.158,0,0,0,0,1,1
dlg004_1,374,438,1.171,0,0,0,0,1,1
dlg004_2,424,453,1.068,0,0,0,0,2,2
dlg004_3,365,427,1.17,0,0,0,0,1,1
dlg005_0,426,482,1.131,0,0,0,0,2,2
dlg005_1,344,404,1.174,0,0,0,0,1,1
dlg005_2,336,366,1.089,0,0,0,0,1,1
dlg005_3,349,408,1.169,0,0,0,0,1,1
dlg006_0,302,369,1.222,0,0,0,0,1,1
dlg006_1,328,390,1.189,0,0,0,0,2,2
dlg006_2,348,401,1.152,0,0,0,0,2,2
dlg006_3,347,436,1.256,0,0,0,0,2,2
dlg007_0,380,434,1.142,0,0,0,0,2,2
dlg007_1,353,400,1.133,0,0,0,0,1,1
dlg007_2,338,383,1.133,0,0,0,0,1,1
dlg007_3,336,379,1.128,0,0,0,0,1,1
dlg008_0,312,359,1.151,0,0,0,0,1,1
dlg008_1,343,408,1.19,0,0,0,0,1,1
dlg008_2,350,393,1.123,0,0,0,0,1,1
dlg008_3,315,368,1.168,0,0,0,0,1,1
dlg009_0,368,423,1.149,0,0,0,0,2,2
