task,baseline,cosine_M__zero,cosine_M__mean,dot_M__zero,dot_M__mean,cosine_perhead__zero,cosine_perhead__mean,dot_perhead__zero,dot_perhead__mean
adjective_to_adverb,0.7267,0.1867,0.1733,0.08,0.1333,0.0267,0.04,0.0733,0.1467
adjective_to_noun,0.32,0.2067,0.2667,0.1267,0.2467,0.12,0.34,0.2,0.3
agent_noun_to_verb,0.5733,0.34,0.3933,0.22,0.4267,0.2,0.36,0.1533,0.42
animal_class,0.68,0.2067,0.3,0.0667,0.2,0.0467,0.0933,0.04,0.12
animal_plant_object,0.68,0.2,0.3867,0.0533,0.16,0.0133,0.0267,0.0133,0.06
antonym,0.32,0.2067,0.2133,0.1733,0.1733,0.0733,0.08,0.0867,0.1933
article_choice,0.4867,0.3333,0.34,0.2,0.2333,0.0667,0.0333,0.1067,0.0533
capitalize,0.8533,0.6333,0.6867,0.16,0.12,0.1933,0.1867,0.12,0.0667
capitalize_first_letter,0.6267,0.28,0.1867,0.1533,0.04,0.0267,0.0,0.0333,0.0067
city-country,0.7467,0.4733,0.5333,0.36,0.44,0.06,0.1667,0.1067,0.1667
compound_first,0.56,0.4133,0.5,0.36,0.5667,0.2867,0.5667,0.2067,0.5
concrete_abstract,0.5733,0.22,0.3333,0.0267,0.0733,0.0,0.0267,0.0267,0.0267
contains_letter_e,0.4333,0.34,0.4333,0.1533,0.1267,0.02,0.0267,0.0467,0.0933
country-capital,0.6533,0.4867,0.2133,0.42,0.2267,0.12,0.0067,0.1333,0.0267
day_after_textual_date,0.98,0.58,0.76,0.3667,0.64,0.0333,0.3,0.08,0.16
english-italian,0.58,0.2133,0.3067,0.2,0.3933,0.26,0.1933,0.0667,0.3333
english-portuguese,0.5333,0.3933,0.4533,0.2733,0.4733,0.2667,0.2867,0.2133,0.4067
english-spanish,0.54,0.28,0.3533,0.22,0.3867,0.22,0.3,0.1933,0.44
first_three_letters,0.2933,0.2133,0.2133,0.1467,0.2533,0.1067,0.18,0.08,0.14
french_noun_gender,0.5733,0.0467,0.1933,0.0,0.02,0.0,0.0,0.0,0.0067
german-english,0.6,0.4267,0.5467,0.2867,0.3533,0.2667,0.5,0.2667,0.4333
german_noun_gender,0.4733,0.3,0.1733,0.18,0.1067,0.04,0.0133,0.0,0.0333
gerund_to_past,0.5067,0.0933,0.1333,0.0667,0.1267,0.0333,0.06,0.0467,0.14
hypernym_category,0.44,0.1467,0.2067,0.0533,0.0467,0.0067,0.02,0.02,0.0133
iso_date_to_month,0.9667,0.64,0.86,0.26,0.66,0.0333,0.22,0.0867,0.32
iso_date_year_plus_one,0.8667,0.4067,0.5133,0.2067,0.46,0.1333,0.2267,0.06,0.1867
landmark-country,0.48,0.2867,0.3933,0.22,0.3,0.0533,0.0733,0.0533,0.0867
language_identification,0.7067,0.2733,0.22,0.0133,0.0267,0.0133,0.0067,0.0067,0.0067
larger_of_pair,0.5,0.4267,0.4933,0.2267,0.56,0.1667,0.38,0.06,0.48
larger_than_1000,0.58,0.4933,0.58,0.1333,0.4267,0.0467,0.2,0.0733,0.3933
lowercase_first_letter,0.66,0.3467,0.4133,0.22,0.3333,0.0467,0.1267,0.04,0.2
lowercase_word,0.9067,0.7333,0.8333,0.2867,0.7267,0.22,0.6933,0.2667,0.76
national_parks,0.5,0.3333,0.4,0.2867,0.2933,0.0067,0.0667,0.06,0.1333
natural_manmade,0.6333,0.4533,0.5467,0.1,0.2333,0.0667,0.0533,0.0667,0.0533
next_item,0.5067,0.1467,0.14,0.0867,0.0533,0.04,0.0467,0.04,0.06
next_month_of_date,0.7533,0.1733,0.2267,0.1733,0.22,0.02,0.04,0.1,0.06
next_number_digits,0.8933,0.68,0.7,0.4333,0.6933,0.1267,0.24,0.16,0.5
number_word_to_digits,0.72,0.6733,0.6467,0.3067,0.6933,0.16,0.5467,0.1333,0.5667
park-country,0.4267,0.2,0.3067,0.1867,0.22,0.0133,0.0467,0.0267,0.0533
person-instrument,0.2267,0.1267,0.2467,0.06,0.2,0.0,0.0333,0.02,0.0467
person-sport,0.64,0.1333,0.3,0.0733,0.2267,0.0,0.0,0.0,0.0333
plural_to_singular,0.7933,0.3933,0.62,0.1733,0.52,0.2267,0.46,0.2,0.6067
present-past,0.7133,0.1733,0.1867,0.1,0.16,0.0267,0.0733,0.04,0.1267
prev_number_digits,0.8067,0.5267,0.62,0.3267,0.66,0.0733,0.1667,0.16,0.4933
product-company,0.4867,0.3133,0.3867,0.2533,0.14,0.1267,0.0467,0.1067,0.0467
sentiment,0.72,0.0533,0.4667,0.0,0.0733,0.0,0.0,0.0,0.0
singular-plural,0.8467,0.4933,0.5467,0.06,0.1133,0.0333,0.0667,0.02,0.1
singular_or_plural,0.6333,0.3533,0.44,0.0333,0.0267,0.0133,0.0067,0.02,0.0133
spanish_noun_gender,0.5667,0.0667,0.14,0.0133,0.0133,0.0,0.0,0.0,0.0
starts_with_vowel,0.46,0.3267,0.4667,0.04,0.0933,0.0,0.0,0.0333,0.0133
third_person_to_base,0.8533,0.4867,0.6333,0.2667,0.5933,0.1467,0.5533,0.2933,0.6067
titlecase_phrase,0.94,0.5733,0.5533,0.0667,0.0067,0.0533,0.0133,0.02,0.0
us-city-state,0.6667,0.1533,0.4,0.2267,0.34,0.0333,0.0867,0.06,0.2267
verb_tense_label,0.4,0.24,0.2333,0.0933,0.1867,0.0533,0.0733,0.06,0.0867
verb_to_third_person,0.6867,0.3733,0.36,0.08,0.0933,0.0933,0.0533,0.08,0.1067
