property,layer,alpha,strict,baseline,coherent_best_alpha
all_caps,2,2.0,0.008,0.033,0.875
all_caps,2,4.0,0.05,0.033,0.875
all_caps,2,8.0,0.05,0.033,0.875
all_caps,2,16.0,0.067,0.033,0.875
all_caps,2,32.0,0.167,0.033,0.875
all_caps,4,2.0,0.058,0.033,0.95
all_caps,4,4.0,0.208,0.033,0.95
all_caps,4,8.0,0.15,0.033,0.95
all_caps,4,16.0,0.283,0.033,0.95
all_caps,4,32.0,0.333,0.033,0.95
all_caps,6,2.0,0.042,0.033,0.95
all_caps,6,4.0,0.15,0.033,0.95
all_caps,6,8.0,0.117,0.033,0.95
all_caps,6,16.0,0.442,0.033,0.95
all_caps,6,32.0,0.658,0.033,0.95
all_caps,8,2.0,0.042,0.033,0.975
all_caps,8,4.0,0.15,0.033,0.975
all_caps,8,8.0,0.333,0.033,0.975
all_caps,8,16.0,0.35,0.033,0.975
all_caps,8,32.0,0.633,0.033,0.975
all_caps,10,2.0,0.167,0.033,0.875
all_caps,10,4.0,0.408,0.033,0.875
all_caps,10,8.0,0.342,0.033,0.875
all_caps,10,16.0,0.608,0.033,0.875
all_caps,10,32.0,0.475,0.033,0.875
all_caps,12,2.0,0.117,0.033,0.875
all_caps,12,4.0,0.225,0.033,0.875
all_caps,12,8.0,0.2,0.033,0.875
all_caps,12,16.0,0.592,0.033,0.875
all_caps,12,32.0,0.6,0.033,0.875
all_caps,16,2.0,0.108,0.033,0.7
all_caps,16,4.0,0.183,0.033,0.7
all_caps,16,8.0,0.342,0.033,0.7
all_caps,16,16.0,0.733,0.033,0.7
all_caps,16,32.0,0.867,0.033,0.7
all_caps,20,2.0,0.217,0.033,0.8
all_caps,20,4.0,0.3,0.033,0.8
all_caps,20,8.0,0.658,0.033,0.8
all_caps,20,16.0,0.775,0.033,0.8
all_caps,20,32.0,0.892,0.033,0.8
all_caps,24,2.0,0.092,0.033,0.9
all_caps,24,4.0,0.225,0.033,0.9
all_caps,24,8.0,0.375,0.033,0.9
all_caps,24,16.0,0.542,0.033,0.9
all_caps,24,32.0,0.65,0.033,0.9
ampersand,2,2.0,0.0,0.0,1.0
ampersand,2,4.0,0.0,0.0,1.0
ampersand,2,8.0,0.0,0.0,1.0
ampersand,2,16.0,0.0,0.0,1.0
ampersand,2,32.0,0.0,0.0,1.0
ampersand,4,2.0,0.0,0.0,1.0
ampersand,4,4.0,0.0,0.0,1.0
ampersand,4,8.0,0.0,0.0,1.0
ampersand,4,16.0,0.0,0.0,1.0
ampersand,4,32.0,0.0,0.0,1.0
ampersand,6,2.0,0.0,0.0,1.0
ampersand,6,4.0,0.0,0.0,1.0
ampersand,6,8.0,0.0,0.0,1.0
ampersand,6,16.0,0.0,0.0,1.0
ampersand,6,32.0,0.0,0.0,1.0
ampersand,8,2.0,0.0,0.0,1.0
ampersand,8,4.0,0.0,0.0,1.0
ampersand,8,8.0,0.0,0.0,1.0
ampersand,8,16.0,0.0,0.0,1.0
ampersand,8,32.0,0.0,0.0,1.0
ampersand,10,2.0,0.0,0.0,1.0
ampersand,10,4.0,0.0,0.0,1.0
ampersand,10,8.0,0.0,0.0,1.0
ampersand,10,16.0,0.0,0.0,1.0
ampersand,10,32.0,0.0,0.0,1.0
ampersand,12,2.0,0.0,0.0,1.0
ampersand,12,4.0,0.008,0.0,1.0
ampersand,12,8.0,0.0,0.0,1.0
ampersand,12,16.0,0.05,0.0,1.0
ampersand,12,32.0,0.292,0.0,1.0
ampersand,16,2.0,0.0,0.0,1.0
ampersand,16,4.0,0.008,0.0,1.0
ampersand,16,8.0,0.042,0.0,1.0
ampersand,16,16.0,0.217,0.0,1.0
ampersand,16,32.0,0.142,0.0,1.0
ampersand,20,2.0,0.058,0.0,1.0
ampersand,20,4.0,0.175,0.0,1.0
ampersand,20,8.0,0.375,0.0,1.0
ampersand,20,16.0,0.983,0.0,1.0
ampersand,20,32.0,1.0,0.0,1.0
ampersand,24,2.0,0.117,0.0,1.0
ampersand,24,4.0,0.333,0.0,1.0
ampersand,24,8.0,0.825,0.0,1.0
ampersand,24,16.0,1.0,0.0,1.0
ampersand,24,32.0,1.0,0.0,1.0
contractions,2,2.0,0.067,0.075,1.0
contractions,2,4.0,0.058,0.075,1.0
contractions,2,8.0,0.025,0.075,1.0
contractions,2,16.0,0.033,0.075,1.0
contractions,2,32.0,0.1,0.075,1.0
contractions,4,2.0,0.067,0.075,1.0
contractions,4,4.0,0.017,0.075,1.0
contractions,4,8.0,0.067,0.075,1.0
contractions,4,16.0,0.033,0.075,1.0
contractions,4,32.0,0.1,0.075,1.0
contractions,6,2.0,0.075,0.075,1.0
contractions,6,4.0,0.042,0.075,1.0
contractions,6,8.0,0.042,0.075,1.0
contractions,6,16.0,0.092,0.075,1.0
contractions,6,32.0,0.183,0.075,1.0
contractions,8,2.0,0.067,0.075,1.0
contractions,8,4.0,0.067,0.075,1.0
contractions,8,8.0,0.108,0.075,1.0
contractions,8,16.0,0.108,0.075,1.0
contractions,8,32.0,0.125,0.075,1.0
contractions,10,2.0,0.05,0.075,1.0
contractions,10,4.0,0.092,0.075,1.0
contractions,10,8.0,0.083,0.075,1.0
contractions,10,16.0,0.092,0.075,1.0
contractions,10,32.0,0.117,0.075,1.0
contractions,12,2.0,0.058,0.075,1.0
contractions,12,4.0,0.092,0.075,1.0
contractions,12,8.0,0.067,0.075,1.0
contractions,12,16.0,0.15,0.075,1.0
contractions,12,32.0,0.192,0.075,1.0
contractions,16,2.0,0.092,0.075,1.0
contractions,16,4.0,0.092,0.075,1.0
contractions,16,8.0,0.133,0.075,1.0
contractions,16,16.0,0.133,0.075,1.0
contractions,16,32.0,0.192,0.075,1.0
contractions,20,2.0,0.092,0.075,1.0
contractions,20,4.0,0.142,0.075,1.0
contractions,20,8.0,0.1,0.075,1.0
contractions,20,16.0,0.158,0.075,1.0
contractions,20,32.0,0.2,0.075,1.0
contractions,24,2.0,0.083,0.075,1.0
contractions,24,4.0,0.158,0.075,1.0
contractions,24,8.0,0.108,0.075,1.0
contractions,24,16.0,0.208,0.075,1.0
contractions,24,32.0,0.592,0.075,1.0
curly_quotes,2,2.0,0.008,0.008,0.975
curly_quotes,2,4.0,0.008,0.008,0.975
curly_quotes,2,8.0,0.0,0.008,0.975
curly_quotes,2,16.0,0.017,0.008,0.975
curly_quotes,2,32.0,0.008,0.008,0.975
curly_quotes,4,2.0,0.025,0.008,1.0
curly_quotes,4,4.0,0.017,0.008,1.0
curly_quotes,4,8.0,0.008,0.008,1.0
curly_quotes,4,16.0,0.0,0.008,1.0
curly_quotes,4,32.0,0.008,0.008,1.0
curly_quotes,6,2.0,0.0,0.008,1.0
curly_quotes,6,4.0,0.0,0.008,1.0
curly_quotes,6,8.0,0.008,0.008,1.0
curly_quotes,6,16.0,0.008,0.008,1.0
curly_quotes,6,32.0,0.008,0.008,1.0
curly_quotes,8,2.0,0.008,0.008,1.0
curly_quotes,8,4.0,0.0,0.008,1.0
curly_quotes,8,8.0,0.008,0.008,1.0
curly_quotes,8,16.0,0.033,0.008,1.0
curly_quotes,8,32.0,0.008,0.008,1.0
curly_quotes,10,2.0,0.025,0.008,1.0
curly_quotes,10,4.0,0.017,0.008,1.0
curly_quotes,10,8.0,0.033,0.008,1.0
curly_quotes,10,16.0,0.008,0.008,1.0
curly_quotes,10,32.0,0.017,0.008,1.0
curly_quotes,12,2.0,0.0,0.008,1.0
curly_quotes,12,4.0,0.017,0.008,1.0
curly_quotes,12,8.0,0.0,0.008,1.0
curly_quotes,12,16.0,0.008,0.008,1.0
curly_quotes,12,32.0,0.025,0.008,1.0
curly_quotes,16,2.0,0.017,0.008,1.0
curly_quotes,16,4.0,0.017,0.008,1.0
curly_quotes,16,8.0,0.008,0.008,1.0
curly_quotes,16,16.0,0.025,0.008,1.0
curly_quotes,16,32.0,0.0,0.008,1.0
curly_quotes,20,2.0,0.008,0.008,0.95
curly_quotes,20,4.0,0.017,0.008,0.95
curly_quotes,20,8.0,0.05,0.008,0.95
curly_quotes,20,16.0,0.033,0.008,0.95
curly_quotes,20,32.0,0.008,0.008,0.95
curly_quotes,24,2.0,0.008,0.008,1.0
curly_quotes,24,4.0,0.017,0.008,1.0
curly_quotes,24,8.0,0.025,0.008,1.0
curly_quotes,24,16.0,0.042,0.008,1.0
curly_quotes,24,32.0,0.0,0.008,1.0
double_space,2,2.0,0.0,0.0,1.0
double_space,2,4.0,0.0,0.0,1.0
double_space,2,8.0,0.0,0.0,1.0
double_space,2,16.0,0.0,0.0,1.0
double_space,2,32.0,0.008,0.0,1.0
double_space,4,2.0,0.0,0.0,0.975
double_space,4,4.0,0.0,0.0,0.975
double_space,4,8.0,0.017,0.0,0.975
double_space,4,16.0,0.133,0.0,0.975
double_space,4,32.0,0.475,0.0,0.975
double_space,6,2.0,0.017,0.0,0.975
double_space,6,4.0,0.192,0.0,0.975
double_space,6,8.0,0.642,0.0,0.975
double_space,6,16.0,0.7,0.0,0.975
double_space,6,32.0,0.642,0.0,0.975
double_space,8,2.0,0.208,0.0,0.975
double_space,8,4.0,0.667,0.0,0.975
double_space,8,8.0,0.667,0.0,0.975
double_space,8,16.0,0.617,0.0,0.975
double_space,8,32.0,0.758,0.0,0.975
double_space,10,2.0,0.292,0.0,1.0
double_space,10,4.0,0.692,0.0,1.0
double_space,10,8.0,0.542,0.0,1.0
double_space,10,16.0,0.6,0.0,1.0
double_space,10,32.0,0.892,0.0,1.0
double_space,12,2.0,0.533,0.0,1.0
double_space,12,4.0,0.758,0.0,1.0
double_space,12,8.0,0.692,0.0,1.0
double_space,12,16.0,0.858,0.0,1.0
double_space,12,32.0,0.992,0.0,1.0
double_space,16,2.0,0.633,0.0,1.0
double_space,16,4.0,0.825,0.0,1.0
double_space,16,8.0,0.842,0.0,1.0
double_space,16,16.0,0.975,0.0,1.0
double_space,16,32.0,1.0,0.0,1.0
double_space,20,2.0,0.683,0.0,1.0
double_space,20,4.0,0.892,0.0,1.0
double_space,20,8.0,0.958,0.0,1.0
double_space,20,16.0,0.992,0.0,1.0
double_space,20,32.0,1.0,0.0,1.0
double_space,24,2.0,0.8,0.0,1.0
double_space,24,4.0,0.9,0.0,1.0
double_space,24,8.0,0.975,0.0,1.0
double_space,24,16.0,1.0,0.0,1.0
double_space,24,32.0,0.992,0.0,1.0
em_dash,2,2.0,0.01,0.0,1.0
em_dash,2,4.0,0.0,0.0,1.0
em_dash,2,8.0,0.0,0.0,1.0
em_dash,2,16.0,0.0,0.0,1.0
em_dash,2,32.0,0.0,0.0,1.0
em_dash,4,2.0,0.01,0.0,1.0
em_dash,4,4.0,0.0,0.0,1.0
em_dash,4,8.0,0.0,0.0,1.0
em_dash,4,16.0,0.0,0.0,1.0
em_dash,4,32.0,0.0,0.0,1.0
em_dash,6,2.0,0.0,0.0,1.0
em_dash,6,4.0,0.0,0.0,1.0
em_dash,6,8.0,0.0,0.0,1.0
em_dash,6,16.0,0.019,0.0,1.0
em_dash,6,32.0,0.019,0.0,1.0
em_dash,8,2.0,0.0,0.0,1.0
em_dash,8,4.0,0.0,0.0,1.0
em_dash,8,8.0,0.0,0.0,1.0
em_dash,8,16.0,0.01,0.0,1.0
em_dash,8,32.0,0.01,0.0,1.0
em_dash,10,2.0,0.0,0.0,1.0
em_dash,10,4.0,0.01,0.0,1.0
em_dash,10,8.0,0.01,0.0,1.0
em_dash,10,16.0,0.019,0.0,1.0
em_dash,10,32.0,0.0,0.0,1.0
em_dash,12,2.0,0.01,0.0,1.0
em_dash,12,4.0,0.0,0.0,1.0
em_dash,12,8.0,0.01,0.0,1.0
em_dash,12,16.0,0.0,0.0,1.0
em_dash,12,32.0,0.0,0.0,1.0
em_dash,16,2.0,0.01,0.0,1.0
em_dash,16,4.0,0.0,0.0,1.0
em_dash,16,8.0,0.019,0.0,1.0
em_dash,16,16.0,0.019,0.0,1.0
em_dash,16,32.0,0.048,0.0,1.0
em_dash,20,2.0,0.0,0.0,1.0
em_dash,20,4.0,0.019,0.0,1.0
em_dash,20,8.0,0.086,0.0,1.0
em_dash,20,16.0,0.076,0.0,1.0
em_dash,20,32.0,0.457,0.0,1.0
em_dash,24,2.0,0.01,0.0,1.0
em_dash,24,4.0,0.067,0.0,1.0
em_dash,24,8.0,0.095,0.0,1.0
em_dash,24,16.0,0.59,0.0,1.0
em_dash,24,32.0,1.0,0.0,1.0
num_words,2,2.0,0.059,0.059,0.975
num_words,2,4.0,0.059,0.059,0.975
num_words,2,8.0,0.071,0.059,0.975
num_words,2,16.0,0.024,0.059,0.975
num_words,2,32.0,0.106,0.059,0.975
num_words,4,2.0,0.071,0.059,0.975
num_words,4,4.0,0.035,0.059,0.975
num_words,4,8.0,0.071,0.059,0.975
num_words,4,16.0,0.082,0.059,0.975
num_words,4,32.0,0.118,0.059,0.975
num_words,6,2.0,0.071,0.059,1.0
num_words,6,4.0,0.094,0.059,1.0
num_words,6,8.0,0.118,0.059,1.0
num_words,6,16.0,0.071,0.059,1.0
num_words,6,32.0,0.2,0.059,1.0
